| Government | Sweden |
| --- | --- |
| Country name: | conventional long form: Kingdom of Sweden |
| Country name: | conventional short form: Sweden |
| Country name: | local long form: Konungariket Sverige |
| Country name: | local short form: Sverige |
| Government type: | constitutional monarchy |
| Capital: | name: Stockholm |
| Capital: | geographic coordinates: 59 20 N, 18 03 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 21 counties (lan, singular and plural); Blekinge, Dalarna, Gavleborg, Gotland, Halland, Jamtland, Jonkoping, Kalmar, Kronoberg, Norrbotten, Orebro, Ostergotland, Skane, Sodermanland, Stockholm, Uppsala, Varmland, Vasterbotten, Vasternorrland, Vastmanland, Vastra Gotaland |
| Independence: | 6 June 1523 (Gustav VASA elected king) |
| National holiday: | Swedish Flag Day, 6 June (1916); National Day, 6 June (1983) |
| Constitution: | 1 January 1975 |
| Legal system: | civil law system influenced by Roman-Germanic law and customary law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King CARL XVI GUSTAF (since 19 September 1973); Heir Apparent Princess VICTORIA Ingrid Alice Desiree, daughter of the monarch (born 14 July 1977) |
| Executive branch: | head of government: Prime Minister Fredrik REINFELDT (since 5 October 2006); Deputy Prime Minister Jan BJORKLUND (since 5 October 2010) |
| Executive branch: | cabinet: Cabinet appointed by the prime minister |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: the monarchy is hereditary; following legislative elections, the leader of the majority party or the leader of the majority coalition usually becomes the prime minister |
| Legislative branch: | unicameral Parliament or Riksdag (349 seats; members are elected by popular vote on a proportional representation basis to serve four-year terms) |
| Legislative branch: | elections: last held on 19 September 2010 (next to be held in September 2014) |
| Legislative branch: | election results: percent of vote by party - Social Democrats 30.7%, Moderates 30.1%, Greens 7.3%, Liberal People's Party 7.1%, Center Party 6.6%, Sweden Democrats 5.7%, Christian Democrats 5.6%, Left Party 5.6%, others 1.3%; seats by party - Social Democrats 112, Moderates 107, Greens 25, Liberal People's Party 24, Center Party 23, Sweden Democrats 20, Christian Democrats 19, Left Party 19 |
| Judicial branch: | Supreme Court or Hogsta Domstolen (judges are appointed by the prime minister and the cabinet) |
| Political parties and leaders: | Center Party [Maud OLOFSSON]; Christian Democratic Party [Goran HAGGLUND]; Environment Party the Greens [no formal leader but party spokespersons are Maria WETTERSTRAND and Peter ERIKSSON]; Left Party or V (formerly Communist) [Lars OHLY]; Liberal People's Party [Jan BJORKLUND]; Moderate Party [Fredrik REINFELDT]; Social Democratic Party [Mona SAHLIN]; Sweden Democrats [Jimmie AKESSON] |
| Political pressure groups and leaders: | Children's Rights in Society; Swedish Confederation of Professional Employees or TCO; Swedish Federation of Trade Unions or LO |
| Political pressure groups and leaders: | other: media |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Arctic Council, Australia Group, BIS, CBSS, CD, CE, CERN, EAPC, EBRD, EIB, ESA, EU, FAO, FATF, G-9, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MONUSCO, NC, NEA, NIB, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, PFP, Schengen Convention, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNISFA, UNMISS, UNMOGIP, UNRWA, UNTSO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Jonas HAFSTROM |
| Diplomatic representation in the US: | chancery: The House of Sweden, 2900 K Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 467-2600 |
| Diplomatic representation in the US: | FAX: [1] (202) 467-2699 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Matthew W. BARZUN |
| Diplomatic representation from the US: | embassy: Dag Hammarskjolds Vag 31, SE-11589 Stockholm |
| Diplomatic representation from the US: | mailing address: American Embassy Stockholm, US Department of State, 5750 Stockholm Place, Washington, DC 20521-5750 |
| Diplomatic representation from the US: | telephone: [46] (08) 783 53 00 |
| Diplomatic representation from the US: | FAX: [46] (08) 661 19 64 |
| Flag description: | blue with a golden yellow cross extending to the edges of the flag; the vertical part of the cross is shifted to the hoist side in the style of the Dannebrog (Danish flag); the colors reflect those of the Swedish coat of arms - three gold crowns on a blue field |
| National symbol(s): | three crowns; lion |
| National anthem: | name: "Du Gamla, Du Fria" (Thou Ancient, Thou Free) |
| National anthem: | lyrics/music: Richard DYBECK/traditional |
| National anthem: | note: in use since 1844; the anthem, also known as "Sang till Norden" (Song of the North), is based on a Swedish folk tune; it has never been officially adopted by the government; "Kungssangen" (The King's Song) serves as the royal anthem and is played in the presence of the royal family and during certain state ceremonies |
