| Government | SWEDEN |
| --- | --- |
| Country name: | conventional long form: Kingdom of Sweden |
| Country name: | conventional short form: Sweden |
| Country name: | local long form: Konungariket Sverige |
| Country name: | local short form: Sverige |
| Government type: | constitutional monarchy |
| Capital: | name: Stockholm |
| Capital: | geographic coordinates: 59 20 N, 18 03 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 21 counties (lan, singular and plural); Blekinge, Dalarna, Gavleborg, Gotland, Halland, Jamtland, Jonkoping, Kalmar, Kronoberg, Norrbotten, Orebro, Ostergotland, Skane, Sodermanland, Stockholm, Uppsala, Varmland, Vasterbotten, Vasternorrland, Vastmanland, Vastra Gotaland |
| Independence: | 6 June 1523 (Gustav VASA elected king) |
| National holiday: | National Day, 6 June (1983); note - from 1916 to 1982 this date was celebrated as Swedish Flag Day |
| Constitution: | several previous; latest adopted 1 January 1975; amended several times, last in 2015 (2015) |
| Legal system: | civil law system influenced by Roman-Germanic law and customary law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King CARL XVI GUSTAF (since 19 September 1973); Heir Apparent Princess VICTORIA Ingrid Alice Desiree, daughter of the monarch (born 14 July 1977) |
| Executive branch: | head of government: Prime Minister Stefan LOFVEN (since 3 October 2014); Deputy Prime Minister Asa ROMSON (since 3 October 2014) |
| Executive branch: | cabinet: Cabinet appointed by the prime minister |
| Executive branch: | elections/appointments: the monarchy is hereditary; following legislative elections, the leader of the majority party or majority coalition usually becomes the prime minister |
| Legislative branch: | description: unicameral Parliament or Riksdag (349 seats; 310 members directly elected in multi-seat constituencies by proportional representation vote and 39 members in "at-large" seats directly elected by proportional representation vote; members serve 4-year terms) |
| Legislative branch: | elections: last held on 14 September 2014 (next to be held in September 2018) |
| Legislative branch: | election results: percent of vote by party - SAP 31.0%, M 23.3%, SD 12.9%, MP 6.9%, C 6.1%, V 5.7%, FP 5.4%, KD 4.5%, others 4.1%; seats by party - SAP 113, M 84, SD 49, MP 25, C 22, V 21, FP 19, KD 16 |
