| Government | Sweden |
| --- | --- |
| Country name: | conventional long form: Kingdom of Sweden |
| Country name: | conventional short form: Sweden |
| Country name: | local long form: Konungariket Sverige |
| Country name: | local short form: Sverige |
| Government type: | constitutional monarchy |
| Capital: | Stockholm |
| Administrative divisions: | 21 counties (lan, singular and plural); Blekinge, Dalarnas, Gavleborgs, Gotlands, Hallands, Jamtlands, Jonkopings, Kalmar, Kronobergs, Norrbottens, Orebro, Ostergotlands, Skane, Sodermanlands, Stockholms, Uppsala, Varmlands, Vasterbottens, Vasternorrlands, Vastmanlands, Vastra Gotalands |
| Independence: | 6 June 1523 (Gustav VASA elected king) |
| National holiday: | Flag Day, 6 June |
| Constitution: | 1 January 1975 |
| Legal system: | civil law system influenced by customary law; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King CARL XVI GUSTAF (since 19 September 1973); Heir Apparent Princess VICTORIA Ingrid Alice Desiree, daughter of the monarch (born 14 July 1977) |
| Executive branch: | head of government: Prime Minister Goran PERSSON (since 21 March 1996) |
| Executive branch: | cabinet: Cabinet appointed by the prime minister |
| Executive branch: | elections: the monarchy is hereditary; following legislative elections, the prime minister is elected by the parliament; election last held 15 September 2002 (next to be held NA September 2006) |
| Executive branch: | election results: Goran PERSSON reelected prime minister with 131 out of 349 votes |
| Legislative branch: | unicameral Parliament or Riksdag (349 seats; members are elected by popular vote on a proportional representation basis to serve four-year terms) |
| Legislative branch: | elections: last held 15 September 2002 (next to be held September 2006) |
| Legislative branch: | election results: percent of vote by party - Social Democrats 39.8%, Moderates 15.2%, Liberal Party 13.3%, Christian Democrats 9.1%, Left Party 8.3%, Center Party 6.1%, Greens 4.6%; seats by party - Social Democrats 144, Moderates 55, Liberal Party 48, Christian Democrats 33, Left Party 30, Center Party 22, Greens 17 |
| Judicial branch: | Supreme Court or Hogsta Domstolen (judges are appointed by the prime minister and the cabinet) |
| Political parties and leaders: | Center Party [Maud OLOFSSON]; Christian Democratic Party [Goran HAGGLUND]; Green Party [no formal leader but party spokespersons are Maria WETTERSTRAND and Peter ERIKSSON]; Left Party or V (formerly Communist) [Lars OHLY]; Liberal People's Party [Lars LEIJONBORG]; Moderate Party (conservative) [Fredrik REINFELDT]; Social Democratic Party [Goran PERSSON] |
| Political pressure groups and leaders: | NA |
| International organization participation: | AfDB, AsDB, Australia Group, BIS, CBSS, CE, CERN, EAPC, EBRD, EIB, ESA, EU, FAO, G- 6, G- 9, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MIGA, MONUC, NAM (guest), NC, NEA, NIB, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, PFP, UN, UNAMSIL, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNMEE, UNMIK, UNMIL, UNMISET, UNMOGIP, UNOMIG, UNTSO, UPU, WCO, WEU (observer), WFTU, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Jan ELIASSON |
| Diplomatic representation in the US: | chancery: 1501 M Street NW, Washington, DC 20005-1702 |
| Diplomatic representation in the US: | telephone: [1] (202) 467-2600 |
| Diplomatic representation in the US: | FAX: [1] (202) 467-2699 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles and New York |
| Diplomatic representation from the US: | chief of mission: Ambassador M. Teel BIVINS |
| Diplomatic representation from the US: | embassy: Dag Hammarskjolds VAG 31, SE-11589 Stockholm |
| Diplomatic representation from the US: | mailing address: American Embassy Stockholm, Department of State, 5750 Stockholm Place, Washington, DC 20521-5750 (pouch) |
| Diplomatic representation from the US: | telephone: [46] (08) 783 53 00 |
| Diplomatic representation from the US: | FAX: [46] (08) 661 19 64 |
| Flag description: | blue with a golden yellow cross extending to the edges of the flag; the vertical part of the cross is shifted to the hoist side in the style of the Dannebrog (Danish flag) |
