| Government | Luxembourg |
| --- | --- |
| Country name: | conventional long form: Grand Duchy of Luxembourg |
| Country name: | conventional short form: Luxembourg |
| Country name: | local long form: Grand Duche de Luxembourg |
| Country name: | local short form: Luxembourg |
| Government type: | constitutional monarchy |
| Capital: | name: Luxembourg |
| Capital: | geographic coordinates: 49 36 N, 6 07 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 3 districts; Diekirch, Grevenmacher, Luxembourg |
| Independence: | 1839 (from the Netherlands) |
| National holiday: | National Day (Birthday of Grand Duchess Charlotte) 23 June; note - the actual date of birth was 23 January 1896, but the festivities were shifted by five months to allow observance during a more favorable time of year |
| Constitution: | 17 October 1868; occasional revisions |
| Legal system: | based on civil law system; accepts compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: Grand Duke HENRI (since 7 October 2000); Heir Apparent Prince GUILLAUME (son of the monarch) |
| Executive branch: | head of government: Prime Minister Jean-Claude JUNCKER (since 1 January 1995); Deputy Prime Minister Jean ASSELBORN (since 31 July 2004) |
| Executive branch: | cabinet: Council of Ministers recommended by the prime minister and appointed by the monarch |
| Executive branch: | elections: none; the monarch is hereditary; following popular elections to the Chamber of Deputies, the leader of the majority party or the leader of the majority coalition is usually appointed prime minister by the monarch; the deputy prime minister is appointed by the monarch; they are responsible to the Chamber of Deputies |
| Executive branch: | note: government coalition - CSV and LSAP |
| Legislative branch: | unicameral Chamber of Deputies or Chambre des Deputes (60 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held 13 June 2004 (next to be held by June 2009) |
| Legislative branch: | election results: percent of vote by party - CSV 36.1%, LSAP 23.4%, DP 16.1%, Green Party 11.6%, ADR 10%, other 2.8%; seats by party - CSV 24, LSAP 14, DP 10, Green Party 7, ADR 5 |
| Legislative branch: | note: there is also a Council of State that serves as an advisory body to the Chamber of Deputies; the Council of State has 21 members appointed by the Grand Duke on the advice of the prime minister |
| Judicial branch: | judicial courts and tribunals (3 Justices of the Peace, 2 district courts, and 1 Supreme Court of Appeals); administrative courts and tribunals (State Prosecutor's Office, administrative courts and tribunals, and the Constitutional Court); judges for all courts are appointed for life by the monarch |
| Political parties and leaders: | Action Committee for Democracy and Justice or ADR [Gast GIBERYEN]; Christian Social People's Party or CSV [Francois BILTGEN] (also known as Christian Social Party or PCS); Democratic Party or DP [Claude MEISCH]; Green Party [Francois BAUSCH]; Luxembourg Socialist Workers' Party or LSAP [Alex BODRY]; dei Lenk/la Gauche (the Left); other minor parties |
| Political pressure groups and leaders: | ABBL (bankers' association); ALEBA (financial sector trade union); Centrale Paysanne (federation of agricultural producers); CEP (professional sector chamber); CGFP (trade union representing civil service); Chambre de Commerce (Chamber of Commerce); Chambre des Metiers (Chamber of Artisans); FEDIL (federation of industrialists); Greenpeace (environment protection); LCGP (center-right trade union); Mouvement Ecologique (protection of ecology); OGBL (center-left trade union) |
| International organization participation: | ACCT, AsDB, Australia Group, Benelux, CE, EAPC, EBRD, EIB, EMU, ESA, EU, FAO, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, NATO, NEA, NSG, OAS (observer), OECD, OIF, OPCW, OSCE, PCA, Schengen Convention, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNRWA, UPU, WCL, WCO, WEU, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Joseph WEYLAND |
| Diplomatic representation in the US: | chancery: 2200 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 265-4171/72 |
| Diplomatic representation in the US: | FAX: [1] (202) 328-8270 |
| Diplomatic representation in the US: | consulate(s) general: New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Ann WAGNER |
| Diplomatic representation from the US: | embassy: 22 Boulevard Emmanuel Servais, L-2535 Luxembourg City |
| Diplomatic representation from the US: | mailing address: American Embassy Luxembourg, Unit 1410, APO AE 09126-1410 (official mail); American Embassy Luxembourg, PSC 9, Box 9500, APO AE 09123 (personal mail) |
| Diplomatic representation from the US: | telephone: [352] 46 01 23 |
| Diplomatic representation from the US: | FAX: [352] 46 14 01 |
| Flag description: | three equal horizontal bands of red (top), white, and light blue; similar to the flag of the Netherlands, which uses a darker blue and is shorter; design was based on the flag of France |
