| Government | HONG KONG |
| Political pressure groups and leaders: | Hong Kong Alliance in Support of the Patriotic Democratic Movement in China [LEE Cheuk-yan, chairman] |
| Political pressure groups and leaders: | Hong Kong and Kowloon Trade Union Council (pro-Taiwan) |
| Political pressure groups and leaders: | Hong Kong General Chamber of Commerce |
| Political pressure groups and leaders: | Hong Kong Professional Teachers' Union [FUNG Wai-wah, president] |
| Political pressure groups and leaders: | Neighborhood and Workers' Service Center or NWSC [LEUNG Yui-chung, Legislative Council of Hong Kong member] (pro-democracy) |
| International organization participation: | ADB, APEC, BIS, FATF, ICC (national committees), IHO, IMF, IMO (associate), Interpol (subbureau), IOC, ISO (correspondent), ITUC (NGOs), UNWTO (associate), UPU, WCO, WMO, WTO |
| Diplomatic representation in the US: | none (Special Administrative Region of China); Hong Kong Economic and Trade Office (HKETO) carries out normal liaison and communication with the US Government and other US entities |
| Diplomatic representation in the US: | commissioner: Clement C.M. LEUNG |
| Diplomatic representation in the US: | office: 1520 18th Street NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] 202 331-8947 |
| Diplomatic representation in the US: | FAX: [1] 202 331-8958 |
| Diplomatic representation in the US: | HKETO offices: New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Consul General Clifford A. HART Jr. (since 30 July 2013); note - also accredited to Macau |
| Diplomatic representation from the US: | consulate(s) general: 26 Garden Road, Hong Kong |
| Diplomatic representation from the US: | mailing address: Unit 8000, Box 1, DPO AP 96521-0006 |
| Diplomatic representation from the US: | telephone: [852] 2523-9011 |
| Diplomatic representation from the US: | FAX: [852] 2845-1598 |
| Flag description: | red with a stylized, white, five-petal Bauhinia flower in the center; each petal contains a small, red, five-pointed star in its middle; the red color is the same as that on the Chinese flag and represents the motherland; the fragrant Bauhinia - developed in Hong Kong the late 19th century - has come to symbolize the region; the five stars echo those on the flag of China |
| National symbol(s): | orchid tree flower; national colors: red, white |
| National anthem: | note: as a Special Administrative Region of China, "Yiyongjun Jinxingqu" is the official anthem (see China) |
