| Government | HONG KONG |
| others: | Professional Teachers Union or PTU |
| others: | note: political blocks include: pro-democracy - Civic Party, Democratic Party, Labor Party, LSD, NWSC, PP, Professional Commons, PTU; pro-Beijing - DAB, FTU, Liberal Party, NPP, BPA; localist - ALLinHK, CP, Democracy Groundwork, Demosisto; there is no political party ordinance, so there are no registered political parties; politically active groups register as societies or companies |
| Political pressure groups and leaders: | Chinese General Chamber of Commerce (pro-China) |
| Political pressure groups and leaders: | Chinese Manufacturers' Association of Hong Kong |
| Political pressure groups and leaders: | Civic Act-up (pro-democracy) |
| Political pressure groups and leaders: | Federation of Hong Kong Industries |
| Political pressure groups and leaders: | Hong Kong Alliance in Support of the Patriotic Democratic Movement in China [Albert HO] (pro-China) |
| Political pressure groups and leaders: | Hong Kong and Kowloon Trade Union Council or HKTUC (pro-democracy) |
| Political pressure groups and leaders: | Hong Kong General Chamber of Commerce or HKGCC |
| Political pressure groups and leaders: | Hong Kong Professional Teachers' Union or HKPTU [FUNG Wai-wah] |
| International organization participation: | ADB, APEC, BIS, FATF, ICC (national committees), IHO, IMF, IMO (associate), Interpol (subbureau), IOC, ISO (correspondent), ITUC (NGOs), UNWTO (associate), UPU, WCO, WMO, WTO |
| Diplomatic representation in the US: | none (Special Administrative Region of China); Hong Kong Economic and Trade Office (HKETO) carries out normal liaison activities and communication with the US Government and other US entities |
| Diplomatic representation in the US: | commissioner: Clement C.M. LEUNG |
| Diplomatic representation in the US: | office: 1520 18th Street NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] 202 331-8947 |
| Diplomatic representation in the US: | FAX: [1] 202 331-8958 |
| Diplomatic representation in the US: | HKETO offices: New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Consul General Kurt W. TONG (since 27 August 2016); note - also accredited to Macau |
| Diplomatic representation from the US: | consulate(s) general: 26 Garden Road, Hong Kong |
| Diplomatic representation from the US: | mailing address: Unit 8000, Box 1, DPO AP 96521-0006 |
| Diplomatic representation from the US: | telephone: [852] 2523-9011 |
| Diplomatic representation from the US: | FAX: [852] 2845-1598 |
| Flag description: | red with a stylized, white, five-petal Bauhinia flower in the center; each petal contains a small, red, five-pointed star in its middle; the red color is the same as that on the Chinese flag and represents the motherland; the fragrant Bauhinia - developed in Hong Kong the late 19th century - has come to symbolize the region; the five stars echo those on the flag of China |
| National symbol(s): | orchid tree flower; national colors: red, white |
| National anthem: | note: as a Special Administrative Region of China, "Yiyongjun Jinxingqu" is the official anthem (see China) |
