| Government | Hong Kong |
| --- | --- |
| Country name: | conventional long form: Hong Kong Special Administrative Region |
| Country name: | conventional short form: Hong Kong |
| Country name: | official long form: Xianggang Tebie Xingzhengqu |
| Country name: | official short form: Xianggang |
| Country name: | abbreviation: HK |
| Dependency status: | special administrative region of China |
| Government type: | limited democracy |
| Administrative divisions: | none (special administrative region of China) |
| Independence: | none (special administrative region of China) |
| National holiday: | National Day (Anniversary of the Founding of the People's Republic of China), 1 October (1949); note - 1 July 1997 is celebrated as Hong Kong Special Administrative Region Establishment Day |
| Constitution: | The Basic Law, approved March 1990 by China's National People's Congress, is Hong Kong's charter |
| Legal system: | mixed legal system of common law based on the English model and Chinese customary law (in matters of family and land tenure) |
| Suffrage: | 18 years of age in direct elections for half the legislature and a majority of seats in 18 district councils; universal for permanent residents living in the territory of Hong Kong for the past seven years; note - in indirect elections, suffrage is limited to about 220,000 members of functional constituencies for the other half of the legislature and an 1,200-member election committee for the chief executive drawn from broad sectoral groupings, central government bodies, municipal organizations, and elected Hong Kong officials |
| Executive branch: | chief of state: President of China HU Jintao (since 15 March 2003) |
| Executive branch: | head of government: Chief Executive LEUNG Chun-ying (since 1 July 2012) |
| Executive branch: | cabinet: Executive Council or ExCo consists of 15 official members and 14 non-official members |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: chief executive elected for five-year term by a 800-member electoral committee; the election of Donald TSANG was held on 25 March 2007; on 25 March 2012 LEUNG Chun-ying [C.Y.LEUNG] was elected chief executive by a 1,193-member electoral committee; he will take office on 1 July 2012; (next election to be held in March 2017) |
| Executive branch: | note: the Legislative Council voted in June 2010 to expand the electoral committee to 1,200 seats for the 2012 election |
| Executive branch: | election results: LEUNG Chun-ying was elected with 689 votes; Henry TANG received 285 votes, and Albert HO received 76 of the 1,132 votes cast; 82 ballots were deemed invalid most were blank |
| Legislative branch: | unicameral Legislative Council or LegCo (60 seats; 30 members indirectly elected by functional constituencies, 30 elected by popular vote; members serve four-year terms) |
| Legislative branch: | note: the LegCo voted in June 2010 to expand to 70 seats for the 2012 election; the measure was approved by the National People's Congress Standing Committee in August 2010; the 10 new seats will be elected by popular vote |
| Legislative branch: | elections: last held on 7 September 2008 (next to be held on 9 September 2012) |
| Legislative branch: | election results: percent of vote by block - pro-democracy 57%; pro-Beijing 40%, independent 3%; seats by parties - (pro-Beijing 35) DAB 13, Liberal Party 7, FTU 1, others 14; (pro-democracy 23) Democratic Party 8, Civic Party 5, CTU 3, League of Social Democrats 3, ADPL 2, The Frontier 1, NWSC 1; others 11; independents 2 |
| Judicial branch: | Court of Final Appeal, High Court (Court of Appeal and the Court of the First Instance), district courts, magistrates' courts, and other special courts |
| Political parties and leaders: | parties: Association for Democracy and People's Livelihood or ADPL [LIU Sung Lee]; Civic Party [LEONG Ka-kit]; Democratic Alliance for the Betterment and Progress of Hong Kong or DAB [TAM Yiu Cheng]; Democratic Party [Albert HO Chun-yan]; Labor Party [LEE Cheuk-yan]; League of Social Democrats or LSD [LEONG Kwok-hung]; Liberal Party [Miriam LAU Kin-yee]; New People's Party [Regina IP Lau Su-yee]; People Power [Raymond WONG Yuk-man]; The Frontier (disbanded) |
| Political parties and leaders: | others: Confederation of Trade Unions or CTU; Federation of Trade Unions or FTU; Neighborhood and Workers Service Center or NWSC |
| Political parties and leaders: | note: political blocs include: pro-democracy - ADPL, Civic Party, Democratic Party, League of Social Democrats, People Power; pro-Beijing - DAB, Liberal Party, New People's Party, The Professional Forum (an informal group of three generally pro-government and pro-business LegCo members from functional constituencies and one independent elected from a geographic constituency), and Economic Synergy; there is no political party ordinance, so there are no registered political parties; politically active groups register as societies or companies |
| Political pressure groups and leaders: | Chinese General Chamber of Commerce (pro-China); Chinese Manufacturers' Association of Hong Kong; Confederation of Trade Unions or CTU (pro-democracy) [LEE Cheuk-yan, general secretary]; Federation of Hong Kong Industries; Federation of Trade Unions or FTU (pro-China) [CHENG Yiu-tong, executive councilor]; Hong Kong Alliance in Support of the Patriotic Democratic Movement in China [LEE Cheuk-yan, chairman]; Hong Kong and Kowloon Trade Union Council (pro-Taiwan); Hong Kong General Chamber of Commerce; Hong Kong Professional Teachers' Union [FUNG Wai-wah, president]; Neighborhood and Workers' Service Center or NWSC [LEUNG Yiu-chung, LegCo member] (pro-democracy); Civic Act-up [Cyd HO Sau-lan, LegCo member] (pro-democracy) |
| International organization participation: | ADB, APEC, BIS, FATF, ICC (national committees), IHO, IMF, IMO (associate), Interpol (subbureau), IOC, ISO (correspondent), ITUC (NGOs), UNWTO (associate), UPU, WCO, WTO |
| Diplomatic representation in the US: | none (special administrative region of China); Hong Kong Economic and Trade Office (HKETO) carries out normal liaison and communication with the US Government and other US entities |
| Diplomatic representation in the US: | representative: Donald TONG |
| Diplomatic representation in the US: | office: 1520 18th Street NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] 202 331-8947 |
| Diplomatic representation in the US: | FAX: [1] 202 331-0318 |
| Diplomatic representation in the US: | HKETO offices: New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Consul General Stephen M. YOUNG |
| Diplomatic representation from the US: | consulate(s) general: 26 Garden Road, Hong Kong |
| Diplomatic representation from the US: | mailing address: PSC 461, Box 1, FPO AP 96521-0006 |
| Diplomatic representation from the US: | telephone: [852] 2523-9011 |
