| Government | Hong Kong |
| Political parties and leaders: | Labor Party [Steven KWOK Wing-kin]; |
| Political parties and leaders: | League of Social Democrats or LSD [Avery NG Man-yuen]; |
| Political parties and leaders: | Liberal Party [Felix CHUNG Kwok-pan]; |
| Political parties and leaders: | Neighborhood and Workers Service Center or NWSC [LEUNG Yui-chung]; |
| Political parties and leaders: | New People's Party or NPP [Regina IP Lau Su-yee]; |
| Political parties and leaders: | People Power or PP [Raymond CHAN]; |
| Political parties and leaders: | Youngspiration [Sixtus "Baggio" LEUNG Chung-hang]; |
| Political parties and leaders: | others: |
| Political parties and leaders: | Professional Commons [Charles Peter MOK] (think tank); |
| Political parties and leaders: | Professional Teachers Union or PTU |
| Political parties and leaders: | note: political blocks include: pro-democracy - Civic Party, Democratic Party, Labor Party, LSD, NWSC, PP, Professional Commons, PTU; pro-Beijing - DAB, FTU, Liberal Party, NPP, BPA; localist - ALLinHK, CP, Democracy Groundwork, Demosisto; there is no political party ordinance, so there are no registered political parties; politically active groups register as societies or companies |
| International organization participation: | ADB, APEC, BIS, FATF, ICC (national committees), IHO, IMF, IMO (associate), Interpol (subbureau), IOC, ISO (correspondent), ITUC (NGOs), UNWTO (associate), UPU, WCO, WMO, WTO |
| Diplomatic representation in the US: | telephone: [1] 202 331-8947 |
| Diplomatic representation in the US: | FAX: [1] 202 331-8958 |
| Diplomatic representation in the US: | commissioner: |
| Diplomatic representation in the US: | Eddie MAK (since 3 July 2018) |
| Diplomatic representation in the US: | office: 1520 18th Street NW, Washington, DC 20036 |
| Diplomatic representation in the US: | HKETO offices: New York, San Francisco |
| Diplomatic representation in the US: | none (Special Administrative Region of China); Hong Kong Economic and Trade Office (HKETO) carries out normal liaison activities and communication with the US Government and other US entities |
| Diplomatic representation from the US: | chief of mission: Consul General Kurt W. TONG (since 27 August 2016); note - also accredited to Macau |
| Diplomatic representation from the US: | mailing address: Unit 8000, Box 1, DPO AP 96521-0006 |
| Diplomatic representation from the US: | telephone: [852] 2523-9011 |
| Diplomatic representation from the US: | FAX: [852] 2845-1598 |
| Diplomatic representation from the US: | consulate(s) general: 26 Garden Road, Hong Kong |
| Flag description: | red with a stylized, white, five-petal Bauhinia flower in the center; each petal contains a small, red, five-pointed star in its middle; the red color is the same as that on the Chinese flag and represents the motherland; the fragrant Bauhinia - developed in Hong Kong the late 19th century - has come to symbolize the region; the five stars echo those on the flag of China |
| National symbol(s): | orchid tree flower; national colors: red, white |
| National anthem: | note: as a Special Administrative Region of China, "Yiyongjun Jinxingqu" is the official anthem (see China) |
