| Government | Romania |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Romania |
| Country name: | local short form: Romania |
| Country name: | local long form: none |
| Government type: | republic |
| Capital: | Bucharest |
| Administrative divisions: | 41 counties (judete, singular - judet) and 1 municipality* (municipiu); Alba, Arad, Arges, Bacau, Bihor, Bistrita-Nasaud, Botosani, Braila, Brasov, Bucuresti*, Buzau, Calarasi, Caras-Severin, Cluj, Constanta, Covasna, Dimbovita, Dolj, Galati, Gorj, Giurgiu, Harghita, Hunedoara, Ialomita, Iasi, Ilfov, Maramures, Mehedinti, Mures, Neamt, Olt, Prahova, Salaj, Satu Mare, Sibiu, Suceava, Teleorman, Timis, Tulcea, Vaslui, Vilcea, Vrancea |
| Independence: | 9 May 1877 (independence proclaimed from Turkey; independence recognized 13 July 1878 by the Treaty of Berlin; kingdom proclaimed 26 March 1881); 30 December 1947 (republic proclaimed) |
| National holiday: | Unification Day (of Romania and Transylvania), 1 December (1918) |
| Constitution: | 8 December 1991; revision came into force 29 October 2003 |
| Legal system: | former mixture of civil law system and communist legal theory; is now based on the constitution of France's Fifth Republic |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Traian BASESCU (since 20 December 2004) |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 28 November 2004, with runoff between the top two candidates held 12 December 2004 (next to be held 28 November 2009 and 12 December 2009); prime minister appointed by the president |
| Executive branch: | head of government: Prime Minister Calin Popescu TARICEANU (since 29 December 2004) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister |
| Executive branch: | election results: percent of vote - Traian BASESCU 51.23%, Adrian NASTASE 48.77% |
| Legislative branch: | bicameral Parliament or Parlament consists of the Senate or Senat (137 seats; members are elected by direct, popular vote on a proportional representation basis to serve four-year terms) and the Chamber of Deputies or Adunarea Deputatilor (332 seats; members are elected by direct, popular vote on a proportional representation basis to serve four-year terms) |
| Legislative branch: | elections: Senate - last held 28 November 2004 (next to be held 28 November 2008); Chamber of Deputies - last held 28 November 2004 (next to be held 28 November 2008) |
| Legislative branch: | election results: Senate - percent of vote by alliance/party - PSD-PUR 37.1%, PNL-PD 31.8%, PRM 13.6%, UDMR 6.2%; seats by party - PSD 46, PNL 28, PD 21, PRM 21, PUR 11, UMDR 10; Chamber of Deputies - percent of vote by alliance/party - PSD-PUR 36.6%, PNL-PD 31.3%%, PRM 12.9%, UDMR 6.2%; seats by party - PSD 113, PNL 64, PD 48, PRM 48, UDMR 22, PUR 19, ethnic minorities 18 |
| Judicial branch: | Supreme Court of Justice (judges are appointed by the president on the recommendation of the Superior Council of Magistrates) |
| Political parties and leaders: | Democratic Party or PD [Emil BOC]; Democratic Union of Hungarians in Romania or UDMR [Bela MARKO]; Humanist Party or PUR [Dan VOICULESCU]; National Liberal Party or PNL [Calin Popescu TARICEANU]; Romania Mare Party (Greater Romanian Party) or PRM [Corneliu Vadim TUDOR]; Social Democratic Party or PSD [Adrian NASTASE], formerly known as the Party of Social Democracy in Romania or PDSR |
| Political pressure groups and leaders: | various human rights and professional associations |
| International organization participation: | ACCT, Australia Group, BIS, BSEC, CE, CEI, EAPC, EBRD, EU (applicant), FAO, G- 9, G-77, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAIA (observer), MIGA, MONUC, NAM (guest), NSG, OAS (observer), ONUB, OPCW, OSCE, PCA, PFP, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNIDO, UNMEE, UNMIK, UNMIL, UNOCI, UPU, WCL, WCO, WEU (associate affiliate), WFTU, WHO, WIPO, WMO, WToO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Sorin Dumitru DUCARU |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, and New York |
| Diplomatic representation in the US: | FAX: [1] (202) 232-4748 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-4846, 4848, 4851 |
| Diplomatic representation in the US: | chancery: 1607 23rd Street NW, Washington, DC 20008 |
| Diplomatic representation from the US: | chief of mission: Ambassador Dr. Jack Dyer CROUCH II |
| Diplomatic representation from the US: | embassy: Strada Tudor Arghezi 7-9, Bucharest |
| Diplomatic representation from the US: | mailing address: American Embassy Bucharest, Department of State, 5260 Bucharest Place, Washington, DC 20521-5260 (pouch) |
| Diplomatic representation from the US: | telephone: [40] (21) 210-4042 |
| Diplomatic representation from the US: | FAX: [40] (21) 210-0395 |
| Diplomatic representation from the US: | branch office(s): Cluj-Napoca |
| Flag description: | three equal vertical bands of blue (hoist side), yellow, and red; the national coat of arms that used to be centered in the yellow band has been removed; now similar to the flag of Chad, also resembles the flags of Andorra and Moldova |
