| Government | VIRGIN ISLANDS |
| --- | --- |
| Country name: | conventional long form: United States Virgin Islands |
| Country name: | conventional short form: Virgin Islands |
| Country name: | former: Danish West Indies |
| Country name: | abbreviation: USVI |
| Country name: | note: the myriad islets, cays, and rocks surrounding the major islands reminded Christopher COLUMBUS in 1493 of Saint Ursula and her 11,000 virgin followers (Santa Ursula y las Once Mil Virgenes), which over time shortened to the Virgins (las Virgenes) |
| Dependency status: | organized, unincorporated territory of the US with policy relations between the Virgin Islands and the US under the jurisdiction of the Office of Insular Affairs, US Department of the Interior |
| Government type: | presidential democracy; a self-governing territory of the US |
| Capital: | name: Charlotte Amalie |
| Capital: | geographic coordinates: 18 21 N, 64 56 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | none (territory of the US); there are no first-order administrative divisions as defined by the US Government, but there are 3 islands at the second order; Saint Croix, Saint John, Saint Thomas |
| Independence: | none (territory of the US) |
| National holiday: | Transfer Day (from Denmark to the US), 31 March (1917) |
| Constitution: | 22 July 1954 - the Revised Organic Act of the Virgin Islands functions as a constitution for this territory of the US; revised 1962, 2000 (2016) |
| Constitution: | Legal system: |
