| Government | Virgin Islands |
| --- | --- |
| Country name: | conventional long form: United States Virgin Islands |
| Country name: | conventional short form: Virgin Islands |
| Country name: | former: Danish West Indies |
| Country name: | abbreviation: USVI |
| Dependency status: | organized, unincorporated territory of the US with policy relations between the Virgin Islands and the US under the jurisdiction of the Office of Insular Affairs, US Department of the Interior |
| Government type: | NA |
| Capital: | name: Charlotte Amalie |
| Capital: | geographic coordinates: 18 21 N, 64 56 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | none (territory of the US); there are no first-order administrative divisions as defined by the US Government, but there are three islands at the second order; Saint Croix, Saint John, Saint Thomas |
| Independence: | none (territory of the US) |
| National holiday: | Transfer Day (from Denmark to the US), 31 March (1917) |
| Constitution: | 22 July 1954 - the Revised Organic Act of the Virgin Islands functions as a constitution for this territory of the US (2013) |
| Legal system: | US common law |
| Suffrage: | 18 years of age; universal; note - island residents are US citizens but do not vote in US presidential elections |
| Executive branch: | chief of state: President Barack H. OBAMA (since 20 January 2009); Vice President Joseph R. BIDEN (since 20 January 2009) |
| Executive branch: | head of government: Governor John DeJONGH (since 1 January 2007) |
| Executive branch: | cabinet: NA |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: under the US Constitution, residents of unincorporated territories, such as the Virgin Islands, do not vote in elections for US president and vice president; however, they may vote in the Democratic and Republican presidential primary elections; governor and lieutenant governor elected on the same ticket by popular vote for four-year terms (eligible for a second term); election last held on 2 November 2010 (next to be held in November 2014) |
| Executive branch: | election results: John DeJONGH reelected governor; percent of vote - John DeJONGH 56.3%, Kenneth MAPP 43.6% |
| Legislative branch: | unicameral Senate (15 seats; members are elected by popular vote to serve two-year terms) |
| Legislative branch: | elections: last held on 6 November 2012 (next to be held in November 2014) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - Democratic Party 10, ICM 2, independent 3 |
| Legislative branch: | note: the Virgin Islands elects one non-voting representative to the US House of Representatives; election last held 6 November 2012 (next to be held on November 2014) |
| Judicial branch: | highest court(s): Supreme Court of the Virgin Islands (consists of the chief justice and 2 associate justices); note - court established by US Congress in 2004 and assumed appellate jurisdiction in 2007 |
| Judicial branch: | judge selection and term of office: justices appointed by the governor and confirmed by the Virgin Islands Senate; justices initially serve renewable 10-year terms; chief justice elected to position by peers for a 3-year term |
| Judicial branch: | subordinate courts: Superior Court (renamed in 2004 vice the Territorial Court); US Court of Appeals for the Third Circuit (has appellate jurisdiction over the District Court of the Virgin Islands; it is a territorial court and is not associated with a US federal judicial district); District Court of the Virgin Islands |
| Political parties and leaders: | Democratic Party [Arturo WATLINGTON] |
| Political parties and leaders: | Independent Citizens' Movement or ICM [Usie RICHARDS] |
| Political parties and leaders: | Republican Party [Gary SPRAUVE] |
| Political pressure groups and leaders: | NA |
| International organization participation: | IOC, UPU, WFTU (NGOs) |
| Diplomatic representation in the US: | none (territory of the US) |
| Diplomatic representation from the US: | none (territory of the US) |
| Flag description: | white field with a modified US coat of arms in the center between the large blue initials V and I; the coat of arms shows a yellow eagle holding an olive branch in its right talon and three arrows in the left with a superimposed shield of seven red and six white vertical stripes below a blue panel; white is a symbol of purity, the letters stand for the Virgin Islands |
| National anthem: | name: "Virgin Islands March" |
| National anthem: | lyrics/music: multiple/Alton Augustus ADAMS, Sr. |
| National anthem: | note: adopted 1963; serves as a local anthem; as a territory of the United States, "The Star-Spangled Banner" is official (see United States) |
