| Government | Finland |
| --- | --- |
| Country name: | conventional long form: Republic of Finland |
| Country name: | conventional short form: Finland |
| Country name: | local long form: Suomen tasavalta/Republiken Finland |
| Country name: | local short form: Suomi/Finland |
| Government type: | republic |
| Capital: | name: Helsinki |
| Capital: | geographic coordinates: 60 10 N, 24 56 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 6 provinces (laanit, singular - laani); Ahvenanmaan Laani (Aland), Etela-Suomen Laani (Southern Finland), Ita-Suomen Laani (Eastern Finland), Lansi-Suomen Laani (Western Finland), Lapin Laani (Lapland), Oulun Laani |
| Independence: | 6 December 1917 (from Russia) |
| National holiday: | Independence Day, 6 December (1917) |
| Constitution: | 1 March 2000 |
| Legal system: | civil law system based on Swedish law; the president may request the Supreme Court to review laws; accepts compulsory ICJ jurisdiction with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Tarja HALONEN (since 1 March 2000) |
| Executive branch: | head of government: Prime Minister Matti VANHANEN (since 24 June 2003); Deputy Prime Minister Jyrki KATAINEN (since 19 April 2007) |
| Executive branch: | cabinet: Council of State or Valtioneuvosto appointed by the president, responsible to parliament |
| Executive branch: | elections: president elected by popular vote for a six-year term (eligible for a second term); election last held 15 January 2006 (next to be held in January 2012); the president appoints the prime minister and deputy prime minister from the majority party or the majority coalition after parliamentary elections and the parliament must approve the appointment; Prime Minister VANHANEN reelected 17 April 2007 |
| Executive branch: | election results: percent of vote - Tarja HALONEN (SDP) 46.3%, Sauli NIINISTO (Kok) 24.1%, Matti VANHANEN (Kesk) 18.6%, Heidi HAUTALA (VIHR) 3.5%; a runoff election between HALONEN and NIINISTO was held 29 January 2006 - HALONEN 51.8%, NIINISTO 48.2%; Matti VANHANEN reelected prime minister; election results 121-71 |
| Executive branch: | note: government coalition - Kesk, KOK, VIHR, and SFP |
| Legislative branch: | unicameral Parliament or Eduskunta (200 seats; members are elected by popular vote on a proportional basis to serve four-year terms) |
| Legislative branch: | elections: last held 18 March 2007 (next to be held March 2011) |
| Legislative branch: | election results: percent of vote by party - Kesk 23.1%, Kok 22.3%, SDP 21.4%, VAS 8.8%, VIHR 8.5%, KD 4.9%, SFP 4.5%, True Finns 4.1%, other 3.4%; seats by party - Kesk 51, Kok 50, SDP 45, VAS 17, VIHR 15, SFP 9, KD 7, True Finns 5, other 1 |
| Judicial branch: | Supreme Court or Korkein Oikeus (judges appointed by the president) |
| Political parties and leaders: | Center Party or Kesk [Matti VANHANEN]; Christian Democrats or KD [Paivi RASANEN]; Green Party or VIHR [Tarja CRONBERG]; Left Alliance or VAS [Martti KORHONEN] (composed of People's Democratic League and Democratic Alternative); National Coalition Party (conservative) or Kok [Jyrki KATAINEN]; Social Democratic Party or SDP [Jutta URPILAINEN]; Swedish People's Party or SFP [Stefan WALLIN]; True Finns [Timo SOINI] |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Arctic Council, Australia Group, BIS, CBSS, CE, CERN, EAPC, EBRD, EIB, EMU, ESA, EU, FAO, G-9, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, NAM (guest), NC, NEA, NIB, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, PFP, Schengen Convention, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNMIS, UNMOGIP, UNTSO, UPU, WCO, WEU (observer), WFTU, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Pekka LINTU |
| Diplomatic representation in the US: | chancery: 3301 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 298-5800 |
| Diplomatic representation in the US: | FAX: [1] (202) 298-6030 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Barbara BARRETT |
| Diplomatic representation from the US: | embassy: Itainen Puistotie 14B, 00140 Helsinki |
| Diplomatic representation from the US: | mailing address: APO AE 09723 |
| Diplomatic representation from the US: | telephone: [358] (9) 616250 |
| Diplomatic representation from the US: | FAX: [358] (9) 6162 5800 |
| Flag description: | white with a blue cross extending to the edges of the flag; the vertical part of the cross is shifted to the hoist side in the style of the Dannebrog (Danish flag); the blue represents the thousands of lakes scattered across the country, while the white is for the snow that covers the land in winter |
