| Government | VENEZUELA |
| --- | --- |
| Country name: | conventional long form: Bolivarian Republic of Venezuela |
| Country name: | conventional short form: Venezuela |
| Country name: | local long form: Republica Bolivariana de Venezuela |
| Country name: | local short form: Venezuela |
| Country name: | etymology: native stilt-houses built on Lake Maracaibo reminded early explorers Alonso de OJEDA and Amerigo VESPUCCI in 1499 of buildings in Venice and so they named the region "Venezuola," which in Italian means "Little Venice" |
| Government type: | federal presidential republic |
| Capital: | name: Caracas |
| Capital: | geographic coordinates: 10 29 N, 66 52 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 23 states (estados, singular - estado), 1 capital district* (distrito capital), and 1 federal dependency** (dependencia federal); Amazonas, Anzoategui, Apure, Aragua, Barinas, Bolivar, Carabobo, Cojedes, Delta Amacuro, Dependencias Federales (Federal Dependencies)**, Distrito Capital (Capital District)*, Falcon, Guarico, Lara, Merida, Miranda, Monagas, Nueva Esparta, Portuguesa, Sucre, Tachira, Trujillo, Vargas, Yaracuy, Zulia |
| Administrative divisions: | note: the federal dependency consists of 11 federally controlled island groups with a total of 72 individual islands |
| Independence: | 5 July 1811 (from Spain) |
| National holiday: | Independence Day, 5 July (1811) |
| Constitution: | many previous; latest adopted 15 December 1999, effective 30 December 1999; amended 2009 (2016) |
| Legal system: | civil law system based on the Spanish civil code |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCT jurisdiction |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent: yes |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Nicolas MADURO Moros (since 19 April 2013); Executive Vice President Aristobulo ISTURIZ (since 6 January 2016); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Nicolas MADURO Moros (since 19 April 2013); Executive Vice President Aristobulo ISTURIZ (since 6 January 2016) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections/appointments: president directly elected by simple majority popular vote for a 6-year term (no term limits); election last held on 14 April 2013 - a special election held following the death of President Hugo CHAVEZ Frias on 5 March 2013 (next election expected in late 2018 or early 2019 pending official convocation by the country's electoral body) |
| Executive branch: | election results: Nicolas MADURO Moros elected president; percent of vote - Nicolas MADURO Moros (PSUV) 50.6%, Henrique CAPRILES Radonski (PJ) 49.1%, other 0.3% |
| Legislative branch: | description: unicameral National Assembly or Asamblea Nacional (167 seats; 113 members directly elected in single- and multi-seat constituencies by simple majority vote, 51 directly elected in multi-seat constituencies by proportional representation vote, and 3 seats reserved for indigenous peoples of Venezuela; members serve 5-year terms) |
| Legislative branch: | elections: last held on 6 December 2015 (next expected to be held in 2020) |
| Legislative branch: | election results: percent of vote by party - MUD (opposition coalition) 56.3%, PSUV (pro-government) 40.9%, other 2.8%; seats by party - MUD 112, PSUV 55 |
| Judicial branch: | highest court(s): Supreme Tribunal of Justice (consists of 32 judges organized into 6 divisions - constitutional, political administrative, electoral, civil appeals, criminal appeals, and social (mainly agrarian and labor issues) |
| Judicial branch: | judge selection and term of office: judges proposed by the Committee of Judicial Postulation (an independent body of organizations dealing with legal issues and of the organs of citizen power) and appointed by the National Assembly; judges serve non-renewable 12-year terms |
| Judicial branch: | subordinate courts: Superior or Appeals Courts (Tribunales Superiores); District Tribunals (Tribunales de Distrito); Courts of First Instance (Tribunales de Primera Instancia); Parish Courts (Tribunales de Parroquia); Justices of the Peace (Justicia de Paz) Network |
| Political parties and leaders: | A New Time or UNT [Enrique MARQUEZ] |
| Political parties and leaders: | Brave People's Alliance or ABP [Richard BLANCO] |
| Political parties and leaders: | Christian Democrats or COPEI [Roberto ENRIQUEZ] |
| Political parties and leaders: | Coalition of opposition parties -- The Democratic Unity Table or MUD [Jesus "Chuo" TORREALBA] |
| Political parties and leaders: | Communist Party of Venezuela or PCV [Oscar FIGUERA] |
| Political parties and leaders: | Democratic Action or AD [Henry RAMOS ALLUP] |
| Political parties and leaders: | Fatherland for All or PPT [Rafael UZCATEGUI] |
| Political parties and leaders: | For Social Democracy or PODEMOS [Didalco Antonio BOLIVAR GRATEROL] |
| Political parties and leaders: | Justice First or PJ [Julio BORGES] |
| Political parties and leaders: | Movement Toward Socialism or MAS [Segundo MELENDEZ] |
| Political parties and leaders: | Popular Will or VP [Leopoldo LOPEZ] |
| Political parties and leaders: | Progressive Wave or AP [Henri FALCON] |
| Political parties and leaders: | The Radical Cause or La Causa R [Americo DE GRAZIA] |
| Political parties and leaders: | United Socialist Party of Venezuela or PSUV [Nicolas MADURO] |
