| Government | Venezuela |
| --- | --- |
| Country name: | conventional long form: Bolivarian Republic of Venezuela |
| Country name: | conventional short form: Venezuela |
| Country name: | local long form: Republica Bolivariana de Venezuela |
| Country name: | local short form: Venezuela |
| Government type: | federal republic |
| Capital: | name: Caracas |
| Capital: | geographic coordinates: 10 29 N, 66 52 W |
| Capital: | time difference: UTC-4.5 (half an hour ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 23 states (estados, singular - estado), 1 capital district* (distrito capital), and 1 federal dependency** (dependencia federal); Amazonas, Anzoategui, Apure, Aragua, Barinas, Bolivar, Carabobo, Cojedes, Delta Amacuro, Dependencias Federales (Federal Dependencies)**, Distrito Capital (Capital District)*, Falcon, Guarico, Lara, Merida, Miranda, Monagas, Nueva Esparta, Portuguesa, Sucre, Tachira, Trujillo, Vargas, Yaracuy, Zulia |
| Administrative divisions: | note: the federal dependency consists of 11 federally controlled island groups with a total of 72 individual islands |
| Independence: | 5 July 1811 (from Spain) |
| National holiday: | Independence Day, 5 July (1811) |
| Constitution: | many previous; latest adopted 15 December 1999, effective 30 December 1999; amended 2009 (2013) |
| Legal system: | civil law system based on the Spanish civil code |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; state party to the ICCT |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Nicolas MADURO Moros (since 8 March 2013); Executive Vice President Jorge Alberto ARREAZA Montserrat (since 8 March 2013); note - the president is both chief of state and head of government; former Executive Vice President Nicolas MADURO Moros assumed presidential responsibilites after the death of President Hugo CHAVEZ Frias on 5 March 2013, and was officially sworn in on 8 March 2013 |
| Executive branch: | head of government: President Nicolas MADURO Moros (since 8 March 2013); Executive Vice President Jorge Alberto ARREAZA Montserrat (since 8 March 2013) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a six-year term (eligible for unlimited reelection); election last held on 14 April 2013; note - this was a special election held following the death of President Hugo CHAVEZ Frias on 5 March 2013; the next scheduled election after this is expected to be held in October 2018 pending official convocation by the country's electoral body) |
| Executive branch: | note: in 1999, a National Constituent Assembly drafted a new constitution that increased the presidential term to six years; an election was subsequently held on 30 July 2000 under the terms of this constitution; in 2009, a national referendum approved the elimination of term limits on all elected officials, including the presidency |
| Executive branch: | election results: Nicolas MADURO Moros elected president; percent of vote - Nicolas MADURO Moros 50.08%, Henrique CAPRILES Radonski 49%, other 0.92%; note - official results pending |
| Legislative branch: | unicameral National Assembly or Asamblea Nacional (165 seats; members elected by popular vote on a proportional basis to serve five-year terms; three seats reserved for the indigenous peoples of Venezuela) |
| Legislative branch: | elections: last held on 26 September 2010 (next to be held in 2015) |
| Legislative branch: | election results: percent of vote by party - pro-government 48.9%, opposition coalition 47.9%, other 3.2%; seats by party - pro-government 98, opposition 65, other 2 |
| Judicial branch: | highest court(s): Supreme Tribunal of Justice (consists of 32 judges organized into six divisions -  constitutional, political administrative, electoral, civil appeals, criminal appeals, and social (mainly agrarian and labor issues) |
| Judicial branch: | judge selection and term of office: judges proposed by the Committee of Judicial Postulation (an independent body of organizations dealing with legal issues and of the organs of citizen power) and appointed by the National Assembly; judges serve non-renewable 12-year terms |
| Judicial branch: | subordinate courts: Superior or Appeals Courts (Tribunales Superiores); District Tribunals (Tribunales de Distrito); Courts of First Instance (Tribunales de Primera Instancia); Parish Courts (Tribunales de Parroquia); Justices of the Peace (Justicia de Paz) Network |
| Political parties and leaders: | A New Time or UNT [Omar BARBOZA] |
| Political parties and leaders: | Brave People's Alliance or ABP [Antonio LEDEZMA] |
| Political parties and leaders: | Christian Democrats or COPEI [Roberto ENRIQUEZ] |
| Political parties and leaders: | Communist Party of Venezuela or PCV [Oscar FIGUERA] |
| Political parties and leaders: | Democratic Action or AD [Henry RAMOS ALLUP] |
| Political parties and leaders: | Fatherland for All or PPT [Rafael UZCATEGUI] |
| Political parties and leaders: | For Social Democracy or PODEMOS [Ismael GARCIA] |
| Political parties and leaders: | Justice First [Julio BORGES] |
| Political parties and leaders: | Movement Toward Socialism or MAS [Nicolas SOSA] |
| Political parties and leaders: | Popular Will or VP [Leopoldo LOPEZ] |
| Political parties and leaders: | Progressive Wave or AP [Henri FALCON] |
| Political parties and leaders: | The Democratic Unity Table or MUD [Ramon Guillermo AVELEDO] |
| Political parties and leaders: | The Radical Cause [Daniel SANTOLO] |
| Political parties and leaders: | United Socialist Party of Venezuela or PSUV [Hugo CHAVEZ] |
| Political parties and leaders: | Venezuelan Progressive Movement or MPV [Simon CALZADILLA] |
