| Government | Venezuela |
| --- | --- |
| Country name: | conventional long form: Bolivarian Republic of Venezuela |
| Country name: | conventional short form: Venezuela |
| Country name: | local short form: Venezuela |
| Country name: | local long form: Republica Bolivariana de Venezuela |
| Government type: | federal republic |
| Capital: | Caracas |
| Administrative divisions: | 23 states (estados, singular - estado), 1 federal district* (distrito federal), and 1 federal dependency** (dependencia federal); Amazonas, Anzoategui, Apure, Aragua, Barinas, Bolivar, Carabobo, Cojedes, Delta Amacuro, Dependencias Federales**, Distrito Federal*, Falcon, Guarico, Lara, Merida, Miranda, Monagas, Nueva Esparta, Portuguesa, Sucre, Tachira, Trujillo, Vargas, Yaracuy, Zulia |
| Administrative divisions: | note: the federal dependency consists of 11 federally controlled island groups with a total of 72 individual islands |
| Independence: | 5 July 1811 (from Spain) |
| National holiday: | Independence Day, 5 July (1811) |
| Constitution: | 30 December 1999 |
| Legal system: | based on organic laws as of July 1999; open, adversarial court system; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Hugo CHAVEZ Frias (since 3 February 1999); Vice President Jose Vicente RANGEL (since 28 April 2002); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Hugo CHAVEZ Frias (since 3 February 1999); Vice President Jose Vicente RANGEL (since 28 April 2002); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | election results: Hugo CHAVEZ Frias reelected president; percent of vote - 60% |
| Executive branch: | elections: president elected by popular vote for a six-year term; election last held 30 July 2000 (next to be held NA 2006) |
| Legislative branch: | unicameral National Assembly or Asamblea Nacional (165 seats; members elected by popular vote to serve five-year terms; three seats reserved for the indigenous peoples of Venezuela) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - pro-government 108 (MVR 92, MAS 6, indigenous 3, other 7), opposition 57 (AD 33, COPEI 6, Justice First 5, other 13) |
| Legislative branch: | elections: last held 30 July 2000 (next to be held NA 2005) |
| Judicial branch: | Supreme Tribunal of Justice or Tribuna Suprema de Justicia (magistrates are elected by the National Assembly for a single 12-year term) |
| Political parties and leaders: | Democratic Action or AD [Claudio FERMIN]; Fifth Republic Movement or MVR [Garcia PONCE]; Homeland for All or PPT [Jose ALBORNIZ]; Justice First [Julio BORGES]; Movement Toward Socialism or MAS [Hector MUJICA]; National Convergence or Convergencia [Juan Jose CALDERA]; Radical Cause or La Causa R [Antonio HERRERA]; Social Christian Party or COPEI [Oswaldo ALVAREZ Paz]; Venezuela Project or PV [Henrique SALAS Romer] |
| Political pressure groups and leaders: | FEDECAMARAS, a conservative business group; VECINOS groups; Venezuelan Confederation of Workers or CTV (labor organization dominated by the Democratic Action) |
| International organization participation: | CAN, Caricom (observer), CDB, ECLAC, FAO, G-3, G-15, G-19, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAES, LAIA, NAM, OAS, OPANAL, OPCW, OPEC, PCA, RG, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIKOM, UNU, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Bernardo ALVAREZ |
| Diplomatic representation in the US: | chancery: 1099 30th Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Houston, Miami, New Orleans, New York, San Francisco, and San Juan (Puerto Rico) |
| Diplomatic representation in the US: | FAX: [1] (202) 342-6820 |
| Diplomatic representation in the US: | telephone: [1] (202) 342-2214 |
| Diplomatic representation from the US: | chief of mission: Ambassador Charles S. SHAPIRO |
| Diplomatic representation from the US: | embassy: Calle F con Calle Suapure, Urbanizacion Colinas de Valle Arriba, Caracas 1080 |
| Diplomatic representation from the US: | mailing address: P. O. Box 62291, Caracas 1060-A; APO AA 34037 |
| Diplomatic representation from the US: | telephone: [58] (212) 975-9234, 975-6411 |
| Diplomatic representation from the US: | FAX: [58] (212) 975-8991 |
| Flag description: | three equal horizontal bands of yellow (top), blue, and red with the coat of arms on the hoist side of the yellow band and an arc of seven white five-pointed stars centered in the blue band |
