| Government | Greece |
| --- | --- |
| Country name: | conventional long form: Hellenic Republic |
| Country name: | conventional short form: Greece |
| Country name: | local short form: Ellas or Ellada |
| Country name: | former: Kingdom of Greece |
| Country name: | local long form: Elliniki Dhimokratia |
| Government type: | parliamentary republic; monarchy rejected by referendum 8 December 1974 |
| Capital: | Athens |
| Administrative divisions: | 51 prefectures (nomoi, singular - nomos) and 1 autonomous region*; Agion Oros* (Mt. Athos), Achaia, Aitolia kai Akarmania, Argolis, Arkadia, Arta, Attiki, Chalkidiki, Chanion, Chios, Dodekanisos, Drama, Evros, Evrytania, Evvoia, Florina, Fokidos, Fthiotis, Grevena, Ileia, Imathia, Ioannina, Irakleion, Karditsa, Kastoria, Kavala, Kefallinia, Kerkyra, Kilkis, Korinthia, Kozani, Kyklades, Lakonia, Larisa, Lasithi, Lefkas, Lesvos, Magnisia, Messinia, Pella, Pieria, Preveza, Rethynnis, Rodopi, Samos, Serrai, Thesprotia, Thessaloniki, Trikala, Voiotia, Xanthi, Zakynthos |
| Independence: | 1829 (from the Ottoman Empire) |
| National holiday: | Independence Day, 25 March (1821) |
| Constitution: | 11 June 1975; amended March 1986 and April 2001 |
| Legal system: | based on codified Roman law; judiciary divided into civil, criminal, and administrative courts |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: President Konstandinos (Kostis) STEPHANOPOULOS (since 10 March 1995) |
| Executive branch: | elections: president elected by Parliament for a five-year term; election last held 8 February 2000 (next to be held by February 2005); according to the Greek Constitution, presidents may only serve two terms; president appoints leader of the party securing plurality of vote in election to become prime minister and form a government |
| Executive branch: | head of government: Prime Minister Konstandinos KARAMANLIS (since 7 March 2004) |
| Executive branch: | cabinet: Cabinet appointed by the president on the recommendation of the prime minister |
| Executive branch: | election results: Konstandinos STEPHANOPOULOS reelected president; percent of Parliament vote - 90% |
| Legislative branch: | unicameral Parliament or Vouli ton Ellinon (300 seats; members are elected by direct popular vote to serve four-year terms) |
| Legislative branch: | elections: elections last held 7 March 2004 (next to be held by March 2008) |
| Legislative branch: | election results: percent of vote by party - ND 45.4%, PASOK 40.6%, KKE 5.9%, Synaspismos 3.3%; seats by party - ND 165, PASOK 117, KKE 12, Synaspismos 6 |
| Judicial branch: | Supreme Judicial Court; Special Supreme Tribunal; all judges appointed for life by the president after consultation with a judicial council |
| Political parties and leaders: | Coalition of the Left and Progress (Synaspismos) [Alekos ALAVANOS]; Communist Party of Greece or KKE [Aleka PAPARIGA]; New Democracy or ND (conservative) [Konstandinos KARAMANLIS]; Panhellenic Socialist Movement or PASOK [Yiorgos PAPANDREOU]; Popular Orthodox Rally [Yeoryios KARATZAFERIS] |
| Political pressure groups and leaders: | General Confederation of Greek Workers or GSEE [Khristos POLYZOGOPOLOS]; Federation of Greek Industries or SEV [Odysseas KYRIAKOPOULOS]; Civil Servants Confederation or ADEDY [Spyros PAPASPYROS] |
| International organization participation: | Australia Group, BIS, BSEC, CE, CERN, EAPC, EBRD, EIB, EMU, EU, FAO, G- 6, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MIGA, MINURSO, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNHCR, UNIDO, UNMEE, UNMIK, UNOMIG, UPU, WCO, WEU, WFTU, WHO, WIPO, WMO, WToO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Yeoryios SAVVAIDIS |
| Diplomatic representation in the US: | consulate(s): Atlanta, Houston, and Tampa |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Los Angeles, New York, and San Francisco |
| Diplomatic representation in the US: | FAX: [1] (202) 939-1324 |
| Diplomatic representation in the US: | telephone: [1] (202) 939-1300 |
| Diplomatic representation in the US: | chancery: 2221 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation from the US: | chief of mission: Ambassador Charles RIES |
| Diplomatic representation from the US: | embassy: 91 Vasilissis Sophias Avenue, 10160 Athens |
| Diplomatic representation from the US: | mailing address: PSC 108, APO AE 09842-0108 |
| Diplomatic representation from the US: | telephone: [30] (210) 721-2951 |
| Diplomatic representation from the US: | FAX: [30] (210) 645-6282 |
| Diplomatic representation from the US: | consulate(s) general: Thessaloniki |
| Flag description: | nine equal horizontal stripes of blue alternating with white; there is a blue square in the upper hoist-side corner bearing a white cross; the cross symbolizes Greek Orthodoxy, the established religion of the country |
