| Government | San Marino |
| --- | --- |
| Country name: | conventional long form: Republic of San Marino |
| Country name: | conventional short form: San Marino |
| Country name: | local long form: Repubblica di San Marino |
| Country name: | local short form: San Marino |
| Country name: | etymology: named after Saint MARINUS, who in A.D. 301 founded the monastic settlement around which the city and later the state of San Marino coalesced |
| Government type: | parliamentary republic |
| Capital: | name: San Marino (city) |
| Capital: | geographic coordinates: 43 56 N, 12 25 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | etymology: named after Saint MARINUS, who in A.D. 301 founded a monastic settlement around which the city and later the state of San Marino coalesced |
| Administrative divisions: | 9 municipalities (castelli, singular - castello); Acquaviva, Borgo Maggiore, Chiesanuova, Domagnano, Faetano, Fiorentino, Montegiardino, San Marino Citta, Serravalle |
| Independence: | 3 September 301 (traditional founding date) |
| National holiday: | Founding of the Republic (or Feast of Saint Marinus), 3 September (A.D. 301) |
| Constitution: | history: |
| Constitution: | San Marinoâ€™s principal legislative instruments consist of old customs (antiche consuetudini), the Statutory Laws of San Marino (Leges Statutae Sancti Marini), old statutes (antichi statute) from the1600s, Brief Notes on the Constitutional Order and Institutional Organs of the Republic of San Marino (Brevi Cenni sullâ€™Ordinamento Costituzionale e gli Organi Istituzionali della Repubblica di San Marino) and successive legislation, chief among them is the Declaration of the Rights of Citizens and Fundamental Principles of the San Marino Legal Order (Dichiarazione dei Diritti dei Cittadini e dei Principi Fondamentali dellâ€™Ordinamento Sammarinese), approved 8 July 1974; Declaration last amended 2019 |
| Constitution: | amendments: proposed by the Great and General Council; passage requires two-thirds majority Council vote; Council passage by absolute majority vote also requires passage in a referendum; Declaration of Civil Rights amended several times, last in 2019 |
| Legal system: | civil law system with Italian civil law influences |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of San Marino |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 30 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: co-chiefs of state Captain Regent Alessandro CARDELLI and Captain Regent Mirko DOLCINI (for the period 1 October 2020 - 31 March 2021) |
| Executive branch: | head of government: Secretary of State for Foreign and Political Affairs Luca BECCARI (since 8 January 2020) |
| Executive branch: | cabinet: Congress of State elected by the Grand and General Council |
| Executive branch: | elections/appointments: co-chiefs of state (captains regent) indirectly elected by the Grand and General Council for a single 6-month term; election last held in March 2020 (next to be held in September 2020); secretary of state for foreign and political affairs indirectly elected by the Grand and General Council for a single 5-year term; election last held on 28 December 2019 (next to be held by November 2024) |
| Executive branch: | election results: Alessandro MANCINI (PSD)Â and Grazia ZAFFERANIÂ (RETE Movement) elected captains regent; percent of Grand and General Council vote - NA; Luca BECCARI (PDCS) elected secretary of state for foreign and political affairs; percent of Grand and General Council vote - NA |
| Executive branch: | note: the captains regent preside over meetings of the Grand and General Council and its cabinet (Congress of State), which hasÂ 7 other members who are selected by the Grand and General Council; assisting the captains regent areÂ 7 secretaries of state; the secretary of state for Foreign Affairs has some prime ministerial roles |
| Legislative branch: | description: unicameral Grand and General Council or Consiglio Grande e Generale (60 seats; members directly elected in single- and multi-seat constituencies by proportional representation vote in 2 rounds if needed; members serve 5-year terms) |
| Legislative branch: | elections: last held on 8 December 2019 (next to be held by December 2024) |
| Legislative branch: | election results: percent of vote by coalition/party - PDCS 33.3%, Tomorrow in Movement coalition 24.7% (RETE Movement 18.2%, Domani Motus Liberi 6.2%, other 0.3%), Free San Marino 16.5%, We for the Republic 13.1%, Future Republic 10.3%, I Elect for a New Republic 2%; seats by coalition/party - PDCS 21, Tomorrow in Movement coalition 15 (RETE Movement 11, Domani Motus Liberi 4), Free San Marino 10, We for the Republic 8, Future Republic 6; composition - men 42, women 18, percent of women 30% |
| Judicial branch: | highest courts: Council of Twelve or Consiglio dei XII (consists of 12 members); note - the College of Guarantors for the Constitutionality and General Norms functions as San Marino's constitutional court |
| Judicial branch: | judge selection and term of office: judges elected by the Grand and General Council from among its own to serve 5-year terms |
| Judicial branch: | subordinate courts: first instance and first appeal criminal, administrative, and civil courts; Court for the Trust and Trustee Relations; justices of the peace or conciliatory judges |
| Political parties and leaders: | DOMANI - Modus Liberi or DML |
| Political parties and leaders: | Free San Marino (Libera) |
| Political parties and leaders: | Future Republic or RF [Mario VENTURINI] |
| Political parties and leaders: | I Elect for a New Republic |
| Political parties and leaders: | Party of Socialists and Democrats or PSD [Paride ANDREOLI] |
| Political parties and leaders: | RETE Movement |
| Political parties and leaders: | Sammarinese Christian Democratic Party (PDCS) [Marco GATTI] |
| Political parties and leaders: | Socialist Party or PS [Alessandro BEVITORI] |
| Political parties and leaders: | Tomorrow in Movement coalition (includes RETE Movement, DML) |
| Political parties and leaders: | We for the Republic |
| International organization participation: | CE, FAO, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM (observer), IPU, ITU, ITUC (NGOs), LAIA (observer), OPCW, OSCE, Schengen Convention (de facto member), UN, UNCTAD, UNESCO, Union Latina, UNWTO, UPU, WHO, WIPO |
| Diplomatic representation in the US: | chief of mission: Ambassador Damiano BELEFFI (since 21 July 2017) |
| Diplomatic representation in the US: | chancery: 327 E 50th Street, New York, NY 10022 |
| Diplomatic representation in the US: | Embassy address: |
