| Government | San Marino |
| --- | --- |
| Country name: | conventional long form: Republic of San Marino |
| Country name: | conventional short form: San Marino |
| Country name: | local long form: Repubblica di San Marino |
| Country name: | local short form: San Marino |
| Country name: | etymology: named after Saint MARINUS, who in A.D. 301 founded the monastic settlement around which the city and later the state of San Marino coalesced |
| Government type: | parliamentary republic |
| Capital: | name: San Marino (city) |
| Capital: | geographic coordinates: 43 56 N, 12 25 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | etymology: named after Saint MARINUS, who in A.D. 301 founded a monastic settlement around which the city and later the state of San Marino coalesced |
| Administrative divisions: | 9 municipalities (castelli, singular - castello); Acquaviva, Borgo Maggiore, Chiesanuova, Domagnano, Faetano, Fiorentino, Montegiardino, San Marino Citta, Serravalle |
| Independence: | 3 September 301 (traditional founding date) |
| National holiday: | Founding of the Republic (or Feast of Saint Marinus), 3 September (A.D. 301) |
| Constitution: | history: |
| Constitution: | San Marinoâ€™s principal legislative instruments consist of old customs (antiche consuetudini), the Statutory Laws of San Marino (Leges Statutae Sancti Marini), old statutes (antichi statute) from the1600s, Brief Notes on the Constitutional Order and Institutional Organs of the Republic of San Marino (Brevi Cenni sullâ€™Ordinamento Costituzionale e gli Organi Istituzionali della Repubblica di San Marino) and successive legislation, chief among them is the Declaration of the Rights of Citizens and Fundamental Principles of the San Marino Legal Order (Dichiarazione dei Diritti dei Cittadini e dei Principi Fondamentali dellâ€™Ordinamento Sammarinese), approved 8 July 1974; Declaration last amended 2019 |
| Constitution: | amendments: proposed by the Great and General Council; passage requires two-thirds majority Council vote; Council passage by absolute majority vote also requires passage in a referendum; Declaration of Civil Rights amended several times, last in 2019 (2019) |
| Legal system: | civil law system with Italian civil law influences |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of San Marino |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 30 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: co-chiefs of state Captain Regent Luca BOSCHI and Captain Regent Mariella MULARONI (for the period 1 October 2019 - 31 March 2020) |
| Executive branch: | head of government: Secretary of State for Foreign and Political Affairs Nicola RENZI (since 27 December 2016) |
| Executive branch: | cabinet: Congress of State elected by the Grand and General Council |
| Executive branch: | elections/appointments: co-chiefs of state (captains regent) indirectly elected by the Grand and General Council for a single 6-month term; election last held in September 2019 (next to be held in March 2020); secretary of state for foreign and political affairs indirectly elected by the Grand and General Council for a single 5-year term; election last held on 4 December 2016 (next to be held by November 2021) |
| Executive branch: | election results: Luca BOSCHI (Civic 10) and Mariella MULARONI (Christian Democrat) elected captains regent; percent of Grand and General Council vote - NA; Pasquale VALENTINI (PDCS) elected secretary of state for foreign and political affairs; percent of Grand and General Council vote - NA |
| Executive branch: | note: the captains regent preside over meetings of the Grand and General Council and its cabinet (Congress of State), which hasÂ 7 other members who are selected by the Grand and General Council; assisting the captains regent areÂ 7 secretaries of state; the secretary of state for Foreign Affairs has some prime ministerial roles |
| Legislative branch: | description: unicameral Grand and General Council or Consiglio Grande e Generale (60 seats; members directly elected in single- and multi-seat constituencies by proportional representation vote in 2 rounds if needed; members serve 5-year terms) |
| Legislative branch: | elections: last held on 20 November 2016 with a runoff held on 4 December 2016 (next to be held by November 2021) |
| Legislative branch: | election results: percent of vote by coalition/party in the first roundÂ - San Marino First 41.7% (PDCS 24.5%, PS 7.7%, PSD 7.2%, other 2.3%), Adesso.sm 31.4% (SSD 12.1%, RF 9.6%, Civic 10 9.3%, other 0.5%), Democracy in Action 23.2% (RETE Movement 18.3%, Democratic Movement-San Marino Together 4.5%, other 0.4%), other 3.7%; percent of vote by coalition/party in the second round - Adesso.sm 57.9%, San Marino First 42.1%;Â seats by coalition/party - Adesso.sm 35 (SSD 14, RF 11, Civic 10 10), San Marino FirstÂ 16 (PDCS 10, PS 3, PSD 3), Democracy in ActionÂ 9 (RETE Movement 8, Democratic Movement-San Marino Together 1); composition - men 46, women 14, percent of women 23.3% |
| Legislative branch: | note - because no coalition won a majority in the first round, a runoff was held between the two coalitions that had received the greatest percent of the vote, San Marino First and Adesso.sm; Adesso.sm won the runoff, and the seats were reallocated |
| Judicial branch: | highest courts: Council of Twelve or Consiglio dei XII (consists of 12 members); note - the College of Guarantors for the Constitutionality and General Norms functions as San Marino's constitutional court |
| Judicial branch: | judge selection and term of office: judges elected by the Grand and General Council from among its own to serve 5-year terms |
| Judicial branch: | subordinate courts: first instance and first appeal criminal, administrative, and civil courts; Court for the Trust and Trustee Relations; justices of the peace or conciliatory judges |
| Political parties and leaders: | Adesso.sm (includes Future Republic or RF [Mario VENTURINI], Civic 10 [Matteo CIACCI]) |
| Political parties and leaders: | Democracy in Action (includes The RETE Movement) |
| Political parties and leaders: | New Socialist Party [Augusto CASALI] |
| Political parties and leaders: | Party of Socialists and Democrats or PSD [Paride ANDREOLI] |
| Political parties and leaders: | Popular Alliance or AP [Gabriele GATTI] |
| Political parties and leaders: | San Marino First (includes Sammarinese Christian Democratic Party or PDCS [Marco GATTI) |
| Political parties and leaders: | Socialist Party or PS [Alessandro BEVITORI] |
| Political parties and leaders: | Union for the Republic or UPR [Marco PODESCHI] |
| Political parties and leaders: | United Left or SU [Gaston PASOLINI] |
| Political parties and leaders: | We Sammarese or NS [Marco ARZILLI] |
