| Government | San Marino |
| --- | --- |
| Country name: | conventional long form: Republic of San Marino |
| Country name: | conventional short form: San Marino |
| Country name: | local long form: Repubblica di San Marino |
| Country name: | local short form: San Marino |
| Government type: | republic |
| Capital: | name: San Marino |
| Capital: | geographic coordinates: 43 56 N, 12 25 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 9 municipalities (castelli, singular - castello); Acquaviva, Borgo Maggiore, Chiesanuova, Domagnano, Faetano, Fiorentino, Montegiardino, San Marino Citta, Serravalle |
| Independence: | 3 September AD 301 |
| National holiday: | Founding of the Republic, 3 September (AD 301) |
| Constitution: | 8 October 1600; electoral law of 1926 serves some of the functions of a constitution |
| Legal system: | based on civil law system with Italian law influences; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Co-chiefs of State Captain Regent Ernesto BENEDETTINI and Captain Regent Assunta MELONI (for the period 1 October-31 March 2009) |
| Executive branch: | head of government: Secretary of State for Foreign and Political Affairs Fiorenzo STOLFI (since 27 July 2006) |
| Executive branch: | cabinet: Congress of State elected by the Great and General Council for a five-year term |
| Executive branch: | elections: co-chiefs of state (captains regent) elected by the Great and General Council for a six-month term; election last held in September 2007 (next to be held in March 2008); secretary of state for foreign and political affairs elected by the Great and General Council for a five-year term; election last held 27 July 2006 (next to be held by 2011) |
| Executive branch: | election results: Ernesto BENEDETTINI and Assunta MELONI elected captains regent; percent of legislative vote - NA; Fiorenzo STOLFI elected secretary of state for foreign and political affairs; percent of legislative vote - NA |
| Executive branch: | note: the popularly elected parliament (Grand and General Council) selects two of its members to serve as the Captains Regent (co-chiefs of state) for a six-month period; they preside over meetings of the Grand and General Council and its cabinet (Congress of State), which has 10 other members, all selected by the Grand and General Council; assisting the captains regent are 10 secretaries of state; the secretary of state for Foreign Affairs has assumed some prime ministerial roles |
| Legislative branch: | unicameral Grand and General Council or Consiglio Grande e Generale (60 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held 9 November 2008 (next to be held by June 2013) |
| Legislative branch: | election results: percent of vote by party - Pact for San Marino coalition 54.2%: PDCS 31.9%, AP 11.5%, Freedom List 6.3%, San Marino Union of Moderates 4.2%; Reforms and Freedom coalition 45.8%; Party of Socialists and Democrats 32%, United Left 8.6%, Democrats of the Center 4.9%; seats by party - Pact for San Marino coalition 35; PDCS 22, AP 7, the Freedom List 4, San Marino Union of Moderates 2; Reforms and Freedm coalition 25: Party of Socialists and Democrats 18, United Left 5, Democrats of the Center 2 |
| Judicial branch: | Council of Twelve or Consiglio dei XII |
| Political parties and leaders: | Communist Refoundation or RC [Ivan FOSHI]; Democrats of the Center; Freedom List; Ideas in Movement or IM [Alessandro ROSSI]; National Alliance or AN [Glauco SANSOVINI]; New Socialist Party [Augusto CASALI]; Party of Socialists and Democrats [Claudio FELICI]; San Marino Christian Democratic Party or PDCS [Pier Marino MENICUCCI]; San Marino Popular Alliance of Democrats or AP [Roberto GIORGETTI]; San Marino Socialist Party or PSS [Alberto CECCHETTI]; Socialists for Reform or SR [Renzo GIARDI]; Union of Moderates; United Left |
| Political pressure groups and leaders: | NA |
| International organization participation: | CE, FAO, IBRD, ICAO, ICCt, ICRM, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM (observer), IPU, ITU, ITUC, OPCW, OSCE, UN, UNCTAD, UNESCO, Union Latina, UNWTO, UPU, WFTU, WHO, WIPO |
| Diplomatic representation in the US: | chief of mission: Ambassador Paolo RONDELLI |
| Diplomatic representation in the US: | chancery: 888 27th Street NW, Suite 900, Washington, DC 20006 |
| Diplomatic representation in the US: | telephone: 202-337-2260 |
| Diplomatic representation from the US: | the US does not have an embassy in San Marino; the ambassador to Italy is accredited to San Marino |
| Flag description: | two equal horizontal bands of white (top) and light blue with the national coat of arms superimposed in the center; the coat of arms has a shield (featuring three towers on three peaks) flanked by a wreath, below a crown and above a scroll bearing the word LIBERTAS (Liberty) |
