| Government | Argentina |
| --- | --- |
| Country name: | conventional long form: Argentine Republic |
| Country name: | conventional short form: Argentina |
| Country name: | local long form: Republica Argentina |
| Country name: | local short form: Argentina |
| Country name: | etymology: originally the area was referred to as Tierra Argentina, i.e., "Land beside the Silvery River" or "silvery land," which referred to the massive estuary in the east of the country, the Rio de la Plata (River of Silver); over time the name shortened to simply Argentina or "silvery" |
| Government type: | presidential republic |
| Capital: | name: Buenos Aires |
| Capital: | geographic coordinates: 34 36 S, 58 22 W |
| Capital: | time difference: UTC-3 (2 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: the name translates as "fair winds" in Spanish and derives from the original designation of the settlement that would become the present-day city, "Santa Maria del Buen Aire" (Saint Mary of the Fair Winds) |
| Administrative divisions: | 23 provinces (provincias, singular - provincia) and 1 autonomous city*; Buenos Aires, Catamarca, Chaco, Chubut, Ciudad Autonoma de Buenos Aires*, Cordoba, Corrientes, Entre Rios, Formosa, Jujuy, La Pampa, La Rioja, Mendoza, Misiones, Neuquen, Rio Negro, Salta, San Juan, San Luis, Santa Cruz, Santa Fe, Santiago del Estero, Tierra del Fuego - Antartida e Islas del Atlantico Sur (Tierra del Fuego - Antarctica and the South Atlantic Islands), Tucuman |
| Administrative divisions: | note: the US does not recognize any claims to Antarctica |
| Independence: | 9 July 1816 (from Spain) |
| National holiday: | Revolution Day (May Revolution Day), 25 May (1810) |
| Constitution: | history: several previous; latest effective 11 May 1853 |
| Constitution: | amendments: a declaration of proposed amendments requires two-thirds majority vote by both houses of the National Congress followed by approval by an ad hoc, multi-member constitutional convention; amended many times, last significant amendment in 1994 (2018) |
| Legal system: | civil law system based on West European legal systems; note - in mid-2015, Argentina adopted a new civil code, replacing the old one in force since 1871 |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent only: yes |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 2 years |
| Suffrage: | 18-70 years of age; universal and compulsory; 16-17 years of age - optional for national elections |
| Executive branch: | chief of state: President Alberto Angel FERNANDEZ (since 10 December 2019); Vice President Cristina FERNANDEZ DE KIRCHNER (since 10 December 2019); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Alberto Angel FERNANDEZ (since 10 December 2019); Vice President Cristina FERNANDEZ DE KIRCHNER (since 10 December 2019) |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | elections/appointments: president and vice president directly elected on the same ballot by qualified majority vote (to win, a candidate must receive at least 45% of votes or 40% of votes and a 10-point lead over the second place candidate; if neither occurs, a second round is held ); the president serves a 4-year term (eligible for a second consecutive term); election last held on 27 October 2019 (next to be held in October 2023) |
| Executive branch: | election results: Alberto Angel FERNANDEZ elected president; percent of vote - Alberto Angel FERNANDEZ (TODOS) 48.1%, Mauricio MACRI (PRO) 40.4%, Roberto LAVAGNA (independent) 6.2%, other 5.3% |
| Legislative branch: | description: bicameral National Congress or Congreso Nacional consists of: |
| Legislative branch: | Senate (72 seats; members directly elected in multi-seat constituencies by simple majority vote to serve 6-year terms with one-third of the membership elected every 2 years) |
| Legislative branch: | Chamber of Deputies (257 seats; members directly elected in multi-seat constituencies by proportional representation vote; members serve 4-year terms with one-half of the membership renewed every 2 years) |
| Legislative branch: | elections: |
| Legislative branch: | Senate - last held on 27 October 2019 (next to be held in October 2021) |
| Legislative branch: | Chamber of Deputies - last held on 27 October 2019 (next to be held in October 2021) |
| Legislative branch: | election results: Senate - percent of vote by bloc or party - NA; seats by bloc or party - TODOS 13, Cambiemos 8, FCS 2, JSRN 1; |
| Legislative branch: | Chamber of Deputies - percent of vote by bloc or party - NA; seats by bloc or party - TODOS 64, Cambiemos 56, CF 3, FCS 3, JSRN 1, other 3 |
| Judicial branch: | highest courts: Supreme Court or Corte Suprema (consists of the court president, vice president, and 5 justices) |
| Judicial branch: | judge selection and term of office: justices nominated by the president and approved by the Senate; justices can serve until mandatory retirement at age 75; extensions beyond 75 require renomination by the president and approval by the Senate |
| Judicial branch: | subordinate courts: federal level appellate, district, and territorial courts; provincial level supreme, appellate, and first instance courts |
| Political parties and leaders: | Argentina Federal [coalition led by Pablo KOSINER] |
| Political parties and leaders: | Cambiemos [Mauricio MACRI] (coalition of CC-ARI, PRO, and UCR) |
| Political parties and leaders: | Citizen's Unity or UC [Cristina FERNANDEZ DE KIRCHNER] |
| Political parties and leaders: | Civic Coalition ARI or CC-ARI [Elisa CARRIO, Maximiliano FERRARO] |
| Political parties and leaders: | Civic Front for Santiago or FCS [Gerardo ZAMORA] |
| Political parties and leaders: | Everyone's Front (Frente de Todos) or TODOS [Alberto Angel FERNANDEZ] |
| Political parties and leaders: | Federal Consensus or CF [Roberto LAVAGNA, Juan Manuel URTUBEY] |
| Political parties and leaders: | Front for the Renewal of Concord or FRC |
| Political parties and leaders: | Front for Victory or FpV [coalition led by Cristina FERNANDEZ DE KIRCHNER and Agustin ROSSI] |
| Political parties and leaders: | Generation for a National Encounter or GEN [Monica PERALTA] |
| Political parties and leaders: | Justicialist Party or PJ [Miguel Angel PICHETTO] |
| Political parties and leaders: | Radical Civic Union or UCR [Alfredo CORNEJO] |
| Political parties and leaders: | Renewal Front (Frente Renovador) or FR [Sergio MASSA] |
| Political parties and leaders: | Republican Proposal or PRO [Mauricio MACRI, Humberto SCHIAVONI] |
| Political parties and leaders: | Socialist Party or PS [Antonio BONFATTI] |
| Political parties and leaders: | Socialist Workersâ€™ Party or PTS [Jose MONTES] |
| Political parties and leaders: | Together We Are Rio Negro or JSRN [Alberto Edgardo WERETILNECK] |
| Political parties and leaders: | We Do For Cordoba (Hacemos Por Cordoba) or HC [Juan SCHIARETTI] |
| Political parties and leaders: | Workers' Party or PO [Jorge ALTAMIRA] |
| Political parties and leaders: | Workerâ€™s Socialist Movement or MST [Alejandro BODDART; Vilma RIPOLL] |
| Political parties and leaders: | numerous provincial parties |
| International organization participation: | AfDB (nonregional member), Australia Group, BCIE, BIS, CAN (associate), CD, CELAC, FAO, FATF, G-15, G-20, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAES, LAIA, Mercosur, MIGA, MINURSO, MINUSTAH, NAM (observer), NSG, OAS, OPANAL, OPCW, Paris Club (associate), PCA, SICA (observer), UN, UNASUR, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, Union Latina (observer), UNTSO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | Ambassador Fernando ORIS DE ROA (since 24 January 2018) |
| Diplomatic representation in the US: | chancery: 1600 New Hampshire Avenue NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 238-6400 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-3171 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Chicago, Houston, Los Angeles, Miami, New York, Washington, DC |
| Diplomatic representation from the US: | chief of mission: Ambassador Edward Charles PRADO (since 16 May 2018) |
| Diplomatic representation from the US: | telephone: [54] (11) 5777-4533 |
| Diplomatic representation from the US: | embassy: Avenida Colombia 4300, C1425GMN Buenos Aires |
| Diplomatic representation from the US: | mailing address: international mail: use embassy street address; APO address: US Embassy Buenos Aires, Unit 4334, APO AA 34034 |
| Diplomatic representation from the US: | FAX: [54] (11) 5777-4240 |
| Flag description: | three equal horizontal bands of sky blue (top), white, and sky blue; centered in the white band is a radiant yellow sun with a human face (delineated in brown) known as the Sun of May; the colors represent the clear skies and snow of the Andes; the sun symbol commemorates the appearance of the sun through cloudy skies on 25 May 1810 during the first mass demonstration in favor of independence; the sun features are those of Inti, the Inca god of the sun |
| National symbol(s): | Sun of May (a sun-with-face symbol); national colors: sky blue, white |
| National anthem: | name: "Himno Nacional Argentino" (Argentine National Anthem) |
| National anthem: | lyrics/music: Vicente LOPEZ y PLANES/Jose Blas PARERA |
| National anthem: | note: adopted 1813; Vicente LOPEZ was inspired to write the anthem after watching a play about the 1810 May Revolution against Spain |
