| Government | Argentina |
| --- | --- |
| Country name: | conventional long form: Argentine Republic |
| Country name: | conventional short form: Argentina |
| Country name: | local short form: Argentina |
| Country name: | local long form: Republica Argentina |
| Government type: | republic |
| Capital: | Buenos Aires |
| Administrative divisions: | 23 provinces (provincias, singular - provincia), and 1 autonomous city* (distrito federal); Buenos Aires, Buenos Aires Capital Federal*, Catamarca, Chaco, Chubut, Cordoba, Corrientes, Entre Rios, Formosa, Jujuy, La Pampa, La Rioja, Mendoza, Misiones, Neuquen, Rio Negro, Salta, San Juan, San Luis, Santa Cruz, Santa Fe, Santiago del Estero, Tierra del Fuego - Antartida e Islas del Atlantico Sur, Tucuman |
| Administrative divisions: | note: the US does not recognize any claims to Antarctica |
| Independence: | 9 July 1816 (from Spain) |
| National holiday: | Revolution Day, 25 May (1810) |
| Constitution: | 1 May 1853; revised August 1994 |
| Legal system: | mixture of US and West European legal systems; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal and mandatory |
| Executive branch: | chief of state: President Nestor KIRCHNER (since 25 May 2003); note - declared winner of a runoff election by default after Carlos Saul MENEM withdrew his candidacy on the eve of the election; Vice President Daniel SCIOLI (since 25 May 2003); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Nestor KIRCHNER (since 25 May 2003); note - declared winner of a runoff election by default after Carlos Saul MENEM withdrew his candidacy on the eve of the election; Vice President Daniel SCIOLI (since 25 May 2003); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | election results: results of the presidential primary of 27 April 2003: Carlos Saul MENEM 24.3%, Nestor KIRCHNER 22%, Ricardo Lopez MURPHY 16.4%, Adolfo Rodriguez SAA 14.4%, Elisa CARRIO 14.2%, other 8.7%; the subsequent runoff election slated for 25 May 2003 was awarded to KIRCHNER by default after MENEM withdrew his candidacy on the eve of the election |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for four-year terms; the last election held was the presidential primary election of 27 April 2003 (next election to be held NA 2007); a runoff election slated for 25 May 2003 between the two candidates receiving the highest votes in the primary was awarded to KIRCHNER by default after MENEM withdrew his candidacy on the eve of the election |
| Legislative branch: | bicameral National Congress or Congreso Nacional consists of the Senate (72 seats; members are elected by direct vote; presently one-third of the members being elected every two years to a six-year term) and the Chamber of Deputies (257 seats; members are elected by direct vote; one-half of the members elected every two years to a four-year term) |
| Legislative branch: | election results: Senate - percent of vote by bloc or party - NA%; seats by bloc or party - PJ 40, UCR 24, provincial parties 6, Frepaso 1, ARI 1; Chamber of Deputies - percent of vote by bloc or party - NA%; seats by bloc or party - PJ 113, UCR 74, provincial parties 27, Frepaso 17, ARI 17, AR 9 |
| Legislative branch: | elections: Senate - last held 14 October 2001 (next to be held intermittently by province before December 2003); Chamber of Deputies - last held 14 October 2001 (next to be held intermittently by province before December 2003) |
| Judicial branch: | Supreme Court or Corte Suprema (the nine Supreme Court judges are appointed by the president with approval by the Senate) |
| Political parties and leaders: | Action for the Republic or AR [Domingo CAVALLO]; Alternative for a Republic of Equals or ARI [Elisa CARRIO]; Front for a Country in Solidarity or Frepaso (a four-party coalition) [Dario Pedro ALESSANDRO]; Justicialist Party or PJ [Carlos Saul MENEM] (Peronist umbrella political organization); Radical Civic Union or UCR [Angel ROZAS]; Federal Recreate Movement [Ricardo LOPEZ MURPHY]; several provincial parties |
| Political pressure groups and leaders: | Argentine Association of Pharmaceutical Labs (CILFA); Argentine Industrial Union (manufacturers' association); Argentine Rural Society (large landowners' association); business organizations; General Confederation of Labor or CGT (Peronist-leaning umbrella labor organization); Peronist-dominated labor movement; Roman Catholic Church; students |
| International organization participation: | AfDB, Australia Group, BCIE, BIS, ECLAC, FAO, G-6, G-15, G-19, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAES, LAIA, Mercosur, MINURSO, MIPONUH, MONUC, MTCR, NSG, OAS, OPANAL, OPCW, PCA, RG, UN, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNIKOM, UNMEE, UNMIBH, UNMIK, UNMOP, UNMOVIC, UNTSO, UNU, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Jose Octavio BORDON |
| Diplomatic representation in the US: | chancery: 1600 New Hampshire Avenue NW, Washington, DC 20009 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Chicago, Houston, Los Angeles, Miami, New York |
| Diplomatic representation in the US: | FAX: [1] (202) 332-3171 |
| Diplomatic representation in the US: | telephone: [1] (202) 238-6400 |
| Diplomatic representation from the US: | chief of mission: Ambassador James D. WALSH; note - Lino GUTIERREZ is designated to replace Ambassador WALSH |
| Diplomatic representation from the US: | embassy: Avenida Colombia 4300, C1425GMN Buenos Aires |
| Diplomatic representation from the US: | mailing address: international mail: use street address; APO address: Unit 4334, APO AA 34034 |
| Diplomatic representation from the US: | telephone: [54] (11) 5777-4533 |
| Diplomatic representation from the US: | FAX: [54] (11) 5777-4240 |
| Flag description: | three equal horizontal bands of light blue (top), white, and light blue; centered in the white band is a radiant yellow sun with a human face known as the Sun of May |
