| Government | Argentina |
| --- | --- |
| Country name: | conventional long form: Argentine Republic |
| Country name: | conventional short form: Argentina |
| Country name: | local long form: Republica Argentina |
| Country name: | local short form: Argentina |
| Government type: | republic |
| Capital: | name: Buenos Aires |
| Capital: | geographic coordinates: 34 35 S, 58 40 W |
| Capital: | time difference: UTC-3 (2 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: none scheduled for 2014 |
| Administrative divisions: | 23 provinces (provincias, singular - provincia) and 1 autonomous city*; Buenos Aires, Catamarca, Chaco, Chubut, Ciudad Autonoma de Buenos Aires*, Cordoba, Corrientes, Entre Rios, Formosa, Jujuy, La Pampa, La Rioja, Mendoza, Misiones, Neuquen, Rio Negro, Salta, San Juan, San Luis, Santa Cruz, Santa Fe, Santiago del Estero, Tierra del Fuego - Antartida e Islas del Atlantico Sur (Tierra del Fuego), Tucuman |
| Administrative divisions: | note: the US does not recognize any claims to Antarctica |
| Independence: | 9 July 1816 (from Spain) |
| National holiday: | Revolution Day, 25 May (1810) |
| Constitution: | several previous; latest effective 11 May 1853; amended many times, last in 1994 (2013) |
| Legal system: | civil law system based on West European legal systems; note - as of January 2013, Congress was deliberating a government-backed reform to the civil code |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18-70 years of age; universal and compulsory; 16-17 years of age - optional |
| Executive branch: | chief of state: President Cristina FERNANDEZ DE KIRCHNER (since 10 December 2007); Vice President Amado BOUDOU (since 10 December 2011); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Cristina FERNANDEZ DE KIRCHNER (since 10 December 2007); Vice President Amado BOUDOU (since 10 December 2011) |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for four-year terms (eligible for a second consecutive term); election last held on 23 October 2011 (next election to be held in October 2015) |
| Executive branch: | election results: Cristina FERNANDEZ DE KIRCHNER reelected president; percent of vote - Cristina FERNANDEZ DE KIRCHNER 54%, Hermes BINNER 16.9%, Ricardo ALFONSIN 11.1%, Alberto Rodriguez SAA 8%, Eduardo DUHALDE 5.9%, other 4.1% |
| Legislative branch: | bicameral National Congress or Congreso Nacional consists of the Senate (72 seats; members are elected by direct vote; presently one-third of the members elected every two years to serve six-year terms) and the Chamber of Deputies (257 seats; members are elected by direct vote; one-half of the members elected every two years to serve four-year terms) |
| elections: | Senate - last held on 27 October 2013 (next to be held October 2015); Chamber of Deputies - last held on 27 October 2013 (next to be held October 2015) |
| elections: | election results: Senate - percent of vote by bloc or party - NA; seats by bloc or party - FpV 32, UCR 17, dissident Peronists 7, FAP and UNEN 7, FpV allies 6, PRO and allies 3, other 6; Chamber of Deputies - percent of vote by bloc or party - NA; seats by bloc or party - FpV 18, FpV allies 14, UCR 10, dissident Peronists 34, FAP and UNEN 21, PRO 16, CC 3, other 14 |
| Judicial branch: | highest court(s): Supreme Court or Corte Suprema (consists of the court president, vice-president, and 5 judges) |
| Judicial branch: | note - Argentina has  a system of federal and provincial courts |
| Judicial branch: | judge selection and term of office: judges nominated by the president and approved by the Senate; judges serve for life |
| Judicial branch: | subordinate courts: federal level appellate, district, and territorial courts; provincial level supreme, appellate, and first instance courts |
| Political parties and leaders: | Broad Progressive Front or FAP [Hermes BINNER] |
| Political parties and leaders: | Civic Coalition or CC (a broad coalition loosely affiliated with Elisa CARRIO) |
| Political parties and leaders: | Dissident Peronists (PJ Disidente) or Federal Peronism (a sector of the Justicialist Party opposed to the Kirchners) |
| Political parties and leaders: | Front for Victory or FpV (a broad coalition, including elements of the PJ, UCR, and numerous provincial parties) [Cristina FERNANDEZ DE KIRCHNER] |
| Political parties and leaders: | Peronist (or Justicialist) Party or PJ [vacant] |
| Political parties and leaders: | Radical Civic Union or UCR [Mario BARLETTA] |
| Political parties and leaders: | Republican Proposal or PRO [Mauricio MACRI] |
| Political parties and leaders: | Socialist Party or PS [Ruben GIUSTINIANI] |
| Political parties and leaders: | numerous provincial parties |
| Political pressure groups and leaders: | Argentine Association of Pharmaceutical Labs (CILFA) |
| Political pressure groups and leaders: | Argentine Industrial Union (manufacturers' association) |
| Political pressure groups and leaders: | Argentine Rural Confederation or CRA (small to medium landowners' association) |
| Political pressure groups and leaders: | Argentine Rural Society (large landowners' association) |
| Political pressure groups and leaders: | Central of Argentine Workers or CTA (a union for employed and unemployed workers) |
| Political pressure groups and leaders: | General Confederation of Labor or CGT (Peronist-leaning umbrella labor organization) |
| Political pressure groups and leaders: | Roman Catholic Church |
| Political pressure groups and leaders: | White and Blue CGT (dissident CGT labor confederation) |
| Political pressure groups and leaders: | other: business organizations, Peronist-dominated labor movement, Piquetero groups (popular protest organizations that can be either pro or anti-government), students |
| International organization participation: | AfDB (nonregional member), Australia Group, BCIE, BIS, CAN (associate), CD, CELAC, FAO, FATF, G-15, G-20, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAES, LAIA, Mercosur, MIGA, MINURSO, MINUSTAH, NAM (observer), NSG, OAS, OPANAL, OPCW, Paris Club (associate), PCA, SICA (observer), UN, UN Security Council (temporary), UNASUR, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, Union Latina (observer), UNTSO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Maria Cecilia NAHON (since 19 February 2013) |
| Diplomatic representation in the US: | chancery: 1600 New Hampshire Avenue NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 238-6400 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-3171 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Chicago, Houston, Los Angeles, Miami, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Kevin K. SULLIVAN (since June 2013) |
| Diplomatic representation from the US: | embassy: Avenida Colombia 4300, C1425GMN Buenos Aires |
| Diplomatic representation from the US: | mailing address: international mail: use embassy street address; APO address: US Embassy Buenos Aires, Unit 4334, APO AA 34034 |
| Diplomatic representation from the US: | telephone: [54] (11) 5777-4533 |
| Diplomatic representation from the US: | FAX: [54] (11) 5777-4240 |
| Flag description: | three equal horizontal bands of light blue (top), white, and light blue; centered in the white band is a radiant yellow sun with a human face known as the Sun of May; the colors represent the clear skies and snow of the Andes; the sun symbol commemorates the appearance of the sun through cloudy skies on 25 May 1810 during the first mass demonstration in favor of independence; the sun features are those of Inti, the Inca god of the sun |
| National symbol(s): | Sun of May (a sun-with-face symbol) |
| National anthem: | name: "Himno Nacional Argentino" (Argentine National Anthem) |
| National anthem: | lyrics/music: Vicente LOPEZ y PLANES/Jose Blas PARERA |
| National anthem: | note: adopted 1813; Vicente LOPEZ was inspired to write the anthem after watching a play about the 1810 May Revolution against Spain |
