| Government | Burma |
| --- | --- |
| Country name: | conventional long form: Union of Burma |
| Country name: | conventional short form: Burma |
| Country name: | local long form: Pyidaungzu Thammada Myanma Naingngandaw (translated as the Republic of the Union of Myanmar) |
| Country name: | local short form: Myanma Naingngandaw |
| Country name: | former: Socialist Republic of the Union of Burma, Union of Myanmar |
| Country name: | note: since 1989 the military authorities in Burma and the current parliamentary government have promoted the name Myanmar as a conventional name for their state; the US Government has not adopted the name |
| Government type: | parliamentary government took power in March 2011 |
| Capital: | name: Rangoon (Yangon); note - Nay Pyi Taw is the administrative capital |
| Capital: | geographic coordinates: 16 48 N, 96 09 E |
| Capital: | time difference: UTC+6.5 (11.5 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 7 regions (taing-myar, singular - taing) and 7 states (pyi ne-myar, singular - pyi ne) |
| Administrative divisions: | regions: Ayeyawady (Irrawaddy), Bago, Magway, Mandalay, Sagaing, Taninthayi, Yangon |
| Administrative divisions: | states: Chin, Kachin, Kayah, Kayin, Mon, Rakhine (Arakan), Shan |
| Administrative divisions: | union territory: Nay Pyi Taw |
| Independence: | 4 January 1948 (from the UK) |
| National holiday: | Independence Day, 4 January (1948); Union Day, 12 February (1947) |
| Constitution: | previous 1947, 1974 (suspended until 2008); latest approved by referendum 29 May 2008; reformed 2011 (2011) |
| Legal system: | mixed legal system of English common law (as introduced in codifications designed for colonial India) and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President THEIN SEIN (since 4 February 2011); Vice President SAI MAUK KHAM (since 3 February 2011); Vice President NYAN TUN (since 15 August 2012) |
| Executive branch: | head of government: President THEIN SEIN (since 4 February 2011) |
| Executive branch: | cabinet: cabinet is appointed by the president and confirmed by the parliament |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: THEIN SEIN elected president by the parliament from among three vice presidents; the upper house, the lower house, and military members of the parliament each nominate one vice president (president serves a five-year term) |
| Legislative branch: | bicameral, consists of the House of Nationalities [Amyotha Hluttaw] (224 seats, 168 directly elected and 56 appointed by the military; members serve five-year terms) and the House of Representatives [Pythu Hluttaw] (440 seats, 330 directly elected and 110 appointed by the military; members serve five-year terms) |
| Legislative branch: | elections: last held on 7 November 2010 (next to be held in December 2015) |
| Legislative branch: | election results: House of Nationalities - percent of vote by party - USDP 74.8%, other (NUP, SNDP, RNDP, NDF, AMRDP) 25.2%; seats by party - USDP 129, other 39; House of Representatives - percent of vote by party - USDP 79.6%, other (NUP, SNDP, RNDP, NDF, AMRDP) 20.4%; seats by party - USDP 259, other 71 |
| Judicial branch: | highest court(s): Supreme Court of the Union (consists of the chief justice and 7-11 judges) |
| Judicial branch: | judge selection and term of office: chief justice and judges nominated by the president, with approval of the Pythu Hlattaw, and appointed by the president; judges normally serve until mandatory retirement at age 70 |
| Judicial branch: | subordinate courts: High Courts of the Region; High Courts of the State; Court of the Self-Administered Division; Court of the Self-Administered Zone; district and township courts; special courts (for juvenile, municipal, and traffic offenses); courts martial |
| Political parties and leaders: | All Mon Region Democracy Party or AMRDP [NAING NGWE THEIN] |
| Political parties and leaders: | National Democratic Force or NDF [KHIN MAUNG SWE, Dr.THAN NYEIN] |
| Political parties and leaders: | National League for Democracy or NLD [AUNG SAN SUU KYI] |
| Political parties and leaders: | National Unity Party or NUP [TUN YE] |
| Political parties and leaders: | Rakhine Nationalities Development Party or RNDP [Dr. AYE MG] |
