| Government | Burma |
| --- | --- |
| Country name: | conventional long form: Union of Burma |
| Country name: | conventional short form: Burma |
| Country name: | local long form: Pyidaungzu Myanma Naingngandaw (translated by the US Government as Union of Myanma and by the Burmese as Union of Myanmar) |
| Country name: | local short form: Myanma Naingngandaw |
| Country name: | former: Socialist Republic of the Union of Burma |
| Country name: | note: since 1989 the military authorities in Burma have promoted the name Myanmar as a conventional name for their state; this decision was not approved by any sitting legislature in Burma, and the US Government did not adopt the name, which is a derivative of the Burmese short-form name Myanma Naingngandaw |
| Government type: | military junta |
| Capital: | name: Rangoon (Yangon) |
| Capital: | geographic coordinates: 16 48 N, 96 09 E |
| Capital: | time difference: UTC+6.5 (11.5 hours ahead of Washington, DC during Standard Time) |
| Capital: | note: Nay Pyi Taw is administrative capital |
| Administrative divisions: | 7 divisions (taing-myar, singular - taing) and 7 states (pyi ne-myar, singular - pyi ne) |
| Administrative divisions: | divisions: Ayeyarwady, Bago, Magway, Mandalay, Sagaing, Tanintharyi, Yangon |
| Administrative divisions: | states: Chin, Kachin, Kayah, Kayin, Mon, Rakhine, Shan |
| Independence: | 4 January 1948 (from UK) |
| National holiday: | Independence Day, 4 January (1948); Union Day, 12 February (1947) |
| Constitution: | 30 May 2008 |
| Legal system: | based on English common law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Chairman of the State Peace and Development Council (SPDC) Sr. Gen. THAN SHWE (since 23 April 1992) |
| Executive branch: | head of government: Prime Minister, Lt. Gen THEIN SEIN (since 24 October 2007) |
| Executive branch: | cabinet: Cabinet is overseen by SPDC; military junta assumed power 18 September 1988 under name State Law and Order Restoration Council (SLORC) |
| Executive branch: | elections: none |
| Legislative branch: | unicameral People's Assembly or Pyithu Hluttaw (485 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held 27 May 1990, but Assembly never allowed by junta to convene (junta has announced plans to hold elections in 2010) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - NLD 392 (opposition), SNLD 23 (opposition), NUP 10 (pro-government), other 60 |
| Judicial branch: | remnants of the British-era legal system are in place, but there is no guarantee of a fair public trial; the judiciary is not independent of the executive |
| Political parties and leaders: | National League for Democracy or NLD [AUNG SHWE, AUNG SAN SUU KYI]; National Unity Party or NUP (pro-regime) [TUN YE]; Shan Nationalities League for Democracy or SNLD [HKUN HTUN OO]; and other smaller parties |
| Political pressure groups and leaders: | Ethnic Nationalities Council or ENC (based in Thailand); Federation of Trade Unions-Burma or FTUB (exile trade union and labor advocates); National Coalition Government of the Union of Burma or NCGUB (self-proclaimed government in exile) ["Prime Minister" Dr. SEIN WIN] consists of individuals, some legitimately elected to the People's Assembly in 1990 (the group fled to a border area and joined insurgents in December 1990 to form parallel government in exile); Kachin Independence Organization or KIO; Karen National Union or KNU; Karenni National People's Party or KNPP; National Council-Union of Burma or NCUB (exile coalition of opposition groups); United Wa State Army or UWSA; Union Solidarity and Development Association or USDA (pro-regime, a social and political mass-member organization) [HTAY OO, general secretary]; 88 Generation Students (pro-democracy movement) [MIN KO NAING] |
| Political pressure groups and leaders: | other: several Shan factions |
| International organization participation: | ADB, APT, ARF, ASEAN, BIMSTEC, CP, EAS, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, ISO (correspondent), ITU, NAM, OPCW (signatory), SAARC (observer), UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires MYINT LWIN |
| Diplomatic representation in the US: | chancery: 2300 S Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-3344 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-4351 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Larry M. DINGER |
| Diplomatic representation from the US: | embassy: 110 University Avenue, Kamayut Township, Rangoon |
| Diplomatic representation from the US: | mailing address: Box B, APO AP 96546 |
| Diplomatic representation from the US: | telephone: [95] (1) 536-509, 535-756, 538-038 |
| Diplomatic representation from the US: | FAX: [95] (1) 650-306 |
| Flag description: | red with a blue rectangle in the upper hoist-side corner bearing 14, white, five-pointed stars encircling a cogwheel containing a stalk of rice; the 14 stars represent the seven administrative divisions and seven states |
