| Government | Burma |
| --- | --- |
| Country name: | conventional long form: Union of Burma |
| Country name: | conventional short form: Burma |
| Country name: | local long form: Pyidaungzu Myanma Naingngandaw (translated by the US Government as Union of Myanma and by the Burmese as Union of Myanmar) |
| Country name: | local short form: Myanma Naingngandaw |
| Country name: | former: Socialist Republic of the Union of Burma |
| Country name: | note: since 1989 the military authorities in Burma have promoted the name Myanmar as a conventional name for their state; the US Government did not adopt the name, which is a derivative of the Burmese short-form name Myanma Naingngandaw |
| Government type: | military regime |
| Capital: | name: Rangoon (Yangon) |
| Capital: | geographic coordinates: 16 48 N, 96 09 E |
| Capital: | time difference: UTC+6.5 (11.5 hours ahead of Washington, DC during Standard Time) |
| Capital: | note: Nay Pyi Taw is administrative capital |
| Administrative divisions: | 7 divisions (taing-myar, singular - taing) and 7 states* (pyi ne-myar, singular - pyi ne) |
| Administrative divisions: | divisions: Ayeyarwady, Bago, Magway, Mandalay, Sagaing, Tanintharyi, Yangon |
| Administrative divisions: | states: Chin, Kachin, Kayah, Kayin, Mon, Rakhine (Arakan), Shan |
| Independence: | 4 January 1948 (from the UK) |
| National holiday: | Independence Day, 4 January (1948); Union Day, 12 February (1947) |
| Constitution: | 3 January 1974; suspended since 18 September 1988; a constitution officially received 92.48% support in a flawed May 2008 referendum that most observers judged fell far short of international standards of free and fair elections; note - a new constitution is to take effect when a parliament is convened possibly in late January 2011 |
| Legal system: | based on English common law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Chairman of the State Peace and Development Council (SPDC) Sr. Gen. THAN SHWE (since 23 April 1992) |
| Executive branch: | head of government: Prime Minister Lt. Gen THEIN SEIN (since 24 October 2007) |
| Executive branch: | cabinet: Cabinet is overseen by the military regime that assumed power 18 September 1988 under the name State Law and Order Restoration Council (SLORC); changed in 1997 to SPDC |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: none |
| Legislative branch: | bicameral, consists of the House of Nationalities [Amyotha Hluttaw] (224 seats, 168 directly elected and 56 appointed by the military; members serve five-year terms) and the House of Representatives [Pythu Hluttaw] (440 seats, 330 directly elected and 110 appointed by the military; members serve five-year terms) |
| Legislative branch: | elections: last held on 7 November 2010 (next to be held in December 2015) |
| Legislative branch: | election results: House of Nationalities - percent of vote by party - USDP 74.8%, others (NUP, SNDP, RNDP, NDF, AMRDP) 25.2%; seats by party - USDP 129, others 39; House of Representatives - percent of vote by party - USDP 79.6%, others (NUP, SNDP, RNDP, NDF, AMRDP) 20.4%; seats by party - USDP 259, others 66 |
| Judicial branch: | remnants of the British-era legal system are in place, but there is no guarantee of a fair public trial; the judiciary is not independent of the executive |
| Political parties and leaders: | All Mon Region Democracy Party or AMRDP; National Democratic Force or NDF [KHIN MAUNG SWE]; National League for Democracy or NLD [AUNG SHWE, AUNG SAN SUU KYI]; note - the party is defunct because it did not register for the 2010 election; National Unity Party or NUP [TUN YE]; Rakhine Nationalities Development Party or RNDP; Shan Nationalities League for Democracy or SNLD [HKUN HTUN OO]; Union Solidarity and Development Party or USDP [THEIN SEIN]; numerous smaller parties |
| Political pressure groups and leaders: | Thai border: Ethnic Nationalities Council or ENC; Federation of Trade Unions-Burma or FTUB (exile trade union and labor advocates); National Coalition Government of the Union of Burma or NCGUB (self-proclaimed government in exile) ["Prime Minister" Dr. SEIN WIN] consists of individuals, some legitimately elected to the People's Assembly in 1990 (the group fled to a border area and joined insurgents in December 1990 to form a parallel government in exile); National Council-Union of Burma or NCUB (exile coalition of opposition groups) |
