| Government | Burma |
| --- | --- |
| Country name: | conventional long form: Union of Burma |
| Country name: | conventional short form: Burma |
| Country name: | local long form: Pyidaungzu Thammada Myanma Naingngandaw (translated as the Republic of the Union of Myanmar) |
| Country name: | local short form: Myanma Naingngandaw |
| Country name: | former: Socialist Republic of the Union of Burma, Union of Myanmar |
| Country name: | etymology: both "Burma" and "Myanmar" derive from the name of the majority Burman (Bamar) ethnic group |
| Country name: | note: since 1989 the military authorities in Burma and the current parliamentary government have promoted the name Myanmar as a conventional name for their state; the US Government has not officially adopted the name |
| Government type: | parliamentary republic |
| Capital: | name: Rangoon (Yangon); note - Nay Pyi Taw is the administrative capital |
| Capital: | geographic coordinates: 16 48 N, 96 09 E |
| Capital: | time difference: UTC+6.5 (11.5 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: Rangoon (Yangon) is a compound of "yan" signifying "enemies" and "koun" meaning "to run out of" and so denoting "End of Strife"; Nay Pyi Taw translates as: "Great City of the Sun" or "Abode of Kings" |
| Administrative divisions: | 7 regions (taing-myar, singular - taing), 7 states (pyi ne-myar, singular - pyi ne), 1 union territory |
| Administrative divisions: | regions: Ayeyarwady (Irrawaddy), Bago, Magway, Mandalay, Sagaing, Tanintharyi, Yangon (Rangoon); |
| Administrative divisions: | states: Chin, Kachin, Kayah, Kayin, Mon, Rakhine, Shan; |
| Administrative divisions: | union territory: Nay Pyi Taw |
| Independence: | 4 January 1948 (from the UK) |
| National holiday: | Independence Day, 4 January (1948); Union Day, 12 February (1947) |
| Constitution: | history: previous 1947, 1974 (suspended until 2008); latest drafted 9 April 2008, approved by referendum 29 May 2008 |
| Constitution: | amendments: proposals require at least 20% approval by the Assembly of the Union membership; passage of amendments to sections of the constitution on basic principles, government structure, branches of government, state emergencies, and amendment procedures requires 75% approval by the Assembly and approval in a referendum by absolute majority of registered voters; passage of amendments to other sections requires only 75% Assembly approval; amended 2015 (2018) |
| Legal system: | mixed legal system of English common law (as introduced in codifications designed for colonial India) and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: both parents must be citizens of Burma |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: none |
| Citizenship: | note: an applicant for naturalization must be the child or spouse of a citizen |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President WIN MYINT (since 30 March 2018); Vice Presidents MYINT SWE (since 16 March 2016) and HENRY VAN THIO (since 30 March 2016); note - President HTIN KYAW (since 30 March 2016) resigned on 21 March 2018; the president is both chief of state and head of government |
| Executive branch: | head of government: President WIN MYINT (since 30 March 2018); Vice Presidents MYINT SWE (since 16 March 2016) and HENRY VAN THIO (since 30 March 2016 |
| Executive branch: | cabinet: Cabinet appointments shared by the president and the commander-in-chief |
| Executive branch: | elections/appointments: president indirectly elected by simple majority vote by the full Assembly of the Union from among 3 vice-presidential candidates nominated by the Presidential Electoral College (consists of members of the lower and upper houses and military members); the other 2 candidates become vice-presidents (president elected for a 5-year term); election last held on 28 March 2018 (next to be held in 2020) |
| Executive branch: | election results: WIN MYINT elected president; Assembly of the Union vote - WIN MYINT (NLD) 403, MYINT SWE (USDP) 211, HENRY VAN THIO (NLD) 18, 4 votes canceled (636 votes cast) |
| Executive branch: | state counsellor: State Counselor AUNG SAN SUU KYI (since 6 April 2016); she concurrently serves as minister of foreign affairs and minister for the office of the president |
