| Government | BURMA |
| --- | --- |
| Country name: | conventional long form: Union of Burma |
| Country name: | conventional short form: Burma |
| Country name: | local long form: Pyidaungzu Thammada Myanma Naingngandaw (translated as the Republic of the Union of Myanmar) |
| Country name: | local short form: Myanma Naingngandaw |
| Country name: | former: Socialist Republic of the Union of Burma, Union of Myanmar |
| Country name: | note: since 1989 the military authorities in Burma and the current parliamentary government have promoted the name Myanmar as a conventional name for their state; the US Government has not adopted the name |
| Country name: | etymology: both "Burma" and "Myanmar" derive from the name of the majority Burmese Bamar ethnic group |
| Government type: | parliamentary republic |
| Capital: | name: Rangoon (Yangon); note - Nay Pyi Taw is the administrative capital |
| Capital: | geographic coordinates: 16 48 N, 96 09 E |
| Capital: | time difference: UTC+6.5 (11.5 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 7 regions (taing-myar, singular - taing), 7 states (pyi ne-myar, singular - pyi ne), 1 union territory |
| Administrative divisions: | regions: Ayeyawady (Irrawaddy), Bago, Magway, Mandalay, Sagaing, Taninthayi, Yangon (Rangoon) |
| Administrative divisions: | states: Chin, Kachin, Kayah, Kayin, Mon, Rakhine (Arakan), Shan |
| Administrative divisions: | union territory: Nay Pyi Taw |
| Independence: | 4 January 1948 (from the UK) |
| National holiday: | Independence Day, 4 January (1948); Union Day, 12 February (1947) |
| Constitution: | previous 1947, 1974 (suspended until 2008); latest approved by referendum 29 May 2008 (2016) |
| Legal system: | mixed legal system of English common law (as introduced in codifications designed for colonial India) and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: both parents must be citizens of Burma |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: none |
| Citizenship: | note: an applicant for naturalization must be the child or spouse of a citizen |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President HTIN KYAW (since 30 March 2016); Vice Presidents MYINT SWE (since 30 March 2016) and HENRY VAN TIO (since 30 March 2016); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President HTIN KYAW (since 30 March 2016); Vice Presidents MYINT SWE (since 30 March 2016) and HENRY VAN TIO (since 30 March 2016) |
| Executive branch: | note: a parliamentary bill creating the position of "state counsellor" was signed into law by President HTIN KYAW on 6 April 2016; a state counsellor serves the equivalent term of the president and is similar to a prime minister in that the holder acts as a link between the parliament and the executive branch |
| Executive branch: | state counsellor: State Counsellor AUNG SAN SUU KYI (since 6 April 2016); she concurrently serves as minister of foreign affairs and minister for the office of the president |
| Executive branch: | cabinet: Cabinet appointments shared by the president and the commander-in-chief |
| Executive branch: | elections/appointments: president indirectly elected by simple majority vote by the full Assembly of the Union from among 3 vice-presidential candidates nominated by the Presidential Electoral College (consists of members of the lower and upper houses and military members); the other 2 candidates become vice-presidents (president elected for a 5-year term); election last held on 15 March 2016 (next to be held in 2021) |
| Executive branch: | election results: HTIN KYAW elected president; Assembly of the Union vote: HTIN KYAW 360, MYINT SWE 213, HENRY VAN TIO 79 (652 votes cast) |
| Legislative branch: | description: bicameral Assembly of the Union or Pyidaungsu consists of an upper house - the House of Nationalities or Amyotha Hluttaw, (224 seats; 168 members directly elected in single-seat constituencies by absolute majority vote with a second round if needed and 56 appointed by the military; members serve 5-year terms) and a lower house - the House of Representatives or Pyithu Hluttaw, (440 seats; 330 members directly elected in single-seat constituencies by simple majority vote and 110 appointed by the military; members serve 5-year terms) |
| Legislative branch: | elections: last held on 8 November 2015 (next to be held in 2020) |
