| Government | Virgin Islands |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Virgin Islands |
| Country name: | former: Danish West Indies |
| Country name: | abbreviation: VI |
| Country name: | etymology: the myriad islets, cays, and rocks surrounding the major islands reminded Christopher COLUMBUS in 1493 of Saint Ursula and her 11,000 virgin followers (Santa Ursula y las Once Mil Virgenes), which over time shortened to the Virgins (las Virgenes) |
| Dependency status: | unincorporated organized territory of the US with policy relations between the Virgin Islands and the US under the jurisdiction of the Office of Insular Affairs, US Department of the Interior |
| Government type: | presidential democracy; a self-governing territory of the US |
| Capital: | name: Charlotte Amalie |
| Capital: | geographic coordinates: 18 21 N, 64 56 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | none (territory of the US); there are no first-order administrative divisions as defined by the US Government, but there are 3 islands at the second order; Saint Croix, Saint John, Saint Thomas |
| Independence: | none (territory of the US) |
| National holiday: | Transfer Day (from Denmark to the US), 31 March (1917) |
| Constitution: | history: 22 July 1954 - the Revised Organic Act of the Virgin Islands functions as a constitution for this territory of the US (2018) |
| Constitution: | amendments: revised 1962, 2000 (2018) |
| Legal system: | US common law |
| Citizenship: | see United States |
| Suffrage: | 18 years of age; universal; note - island residents are US citizens but do not vote in US presidential elections |
| Judicial branch: | highest courts: Supreme Court of the Virgin Islands (consists of the chief justice and 2 associate justices); note - court established by the US Congress in 2004 and assumed appellate jurisdiction in 2007 |
| Judicial branch: | judge selection and term of office: justices appointed by the governor and confirmed by the Virgin Islands Senate; justices serve initial 10-year terms and upon reconfirmation, during the extent of good behavior; chief justice elected to position by peers for a 3-year term |
| Judicial branch: | subordinate courts: Superior Court (Territorial Court renamed in 2004); US Court of Appeals for the Third Circuit (has appellate jurisdiction over the District Court of the Virgin Islands; it is a territorial court and is not associated with a US federal judicial district); District Court of the Virgin Islands |
| Executive branch: | chief of state: President Donald J. TRUMP (since 20 January 2017); Vice President Michael R. PENCE (since 20 January 2017) |
| Executive branch: | head of government: Governor Kenneth MAPP (since 5 January 2015), Lieutenant Governor Osbert POTTER (since 5 January 2015) |
| Executive branch: | cabinet: Territorial Cabinet appointed by the governor and confirmed by the Senate |
| Executive branch: | elections/appointments: president and vice president indirectly elected on the same ballot by an Electoral College of 'electors' chosen from each state; president and vice president serve a 4-year term (eligible for a second term); under the US Constitution, residents of the Virgin Islands do not vote in elections for US president and vice president; however, they may vote in the Democratic and Republican presidential primary elections; governor and lieutenant governor directly elected on the same ballot by absolute majority vote in 2 rounds if needed for a 4-year term (eligible for a second term); election last held onÂ 6 November 2018 (next to be held in November 2022) |
| Executive branch: | election results: |
| Executive branch: | AlbertÂ BRYAN (Democratic Party) 37.9%, incumbent KennethÂ MAPP (independent) 33.7%,Â Adlah Donastorg, Jr. (independent) 16.4%; a runoff will be held 20 November 2018 |
| Legislative branch: | description: unicameral Senate (15 seats; members directly elected in single- and multi-seat constituencies by simple majority popular vote to serve 2-year terms) |
| Legislative branch: | elections: last held onÂ 6 November 2018 (next to be held in November 2020) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - Democratic Party 13, independent 2 |
| Legislative branch: | note: the Virgin Islands directly elects 1 member by simple majority vote to serve a 2-year term as a delegate to the US House of Representatives; the delegate can vote when serving on a committee and when the House meets as the Committee of the Whole House, but not when legislation is submitted for a â€œfull floorâ€? House vote; election of delegate last held onÂ 6 November 2018 (next to be held in November 2020) |
| Political parties and leaders: | Democratic Party [Donna M. CHRISTENSEN] |
| Political parties and leaders: | Independent Citizens' Movement or ICM [Dale BLYDEN] |
| Political parties and leaders: | Republican Party [John CANEGATA] |
| International organization participation: | AOSIS (observer), Interpol (subbureau), IOC, UPU, WFTU (NGOs) |
| Diplomatic representation in the US: | none (territory of the US) |
| Diplomatic representation from the US: | none (territory of the US) |
| Flag description: | white field with a modified US coat of arms in the center between the large blue initials V and I; the coat of arms shows a yellow eagle holding an olive branch in its right talon and three arrows in the left with a superimposed shield of seven red and six white vertical stripes below a blue panel; white is a symbol of purity, the letters stand for the Virgin Islands |
| National anthem: | name: Virgin Islands March |
| National anthem: | lyrics/music: multiple/Alton Augustus ADAMS, Sr. |
| National anthem: | note: adopted 1963; serves as a local anthem; as a territory of the US, "The Star-Spangled Banner" is official (see United States) |
