| Government | Malta |
| --- | --- |
| Country name: | conventional long form: Republic of Malta |
| Country name: | conventional short form: Malta |
| Country name: | local short form: Malta |
| Country name: | local long form: Repubblika ta' Malta |
| Government type: | republic |
| Capital: | Valletta |
| Administrative divisions: | none (administered directly from Valletta); note - Local Councils carry out administrative orders |
| Independence: | 21 September 1964 (from UK) |
| National holiday: | Independence Day, 21 September (1964) |
| Constitution: | 1964 constitution substantially amended on 13 December 1974 and again in 1987 |
| Legal system: | based on English common law and Roman civil law; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Guido DE MARCO (since 4 April 1999) |
| Executive branch: | head of government: Prime Minister Eddie FENECH ADAMI (since 6 September 1998); Deputy Prime Minister Lawrence GONZI (since 4 April 1999) |
| Executive branch: | cabinet: Cabinet appointed by the president on the advice of the prime minister |
| Executive branch: | elections: president elected by the House of Representatives for a five-year term; election last held NA April 1999 (next to be held by April 2004); following legislative elections, the leader of the majority party or leader of a majority coalition is usually appointed prime minister by the president for a five-year term; the deputy prime minister is appointed by the president on the advice of the prime minister |
| Executive branch: | election results: Guido DE MARCO elected president; percent of House of Representatives vote - 54% |
| Legislative branch: | unicameral House of Representatives (usually 65 seats; note - additional seats are given to the party with the largest popular vote to ensure a legislative majority; members are elected by popular vote on the basis of proportional representation to serve five-year terms) |
| Legislative branch: | elections: last held 12 April 2003 (next to be held by April 2008) |
| Legislative branch: | election results: percent of vote by party - PN 51.7%, MLP 47.6%, AD 0.7%; seats by party - PN 34, MLP 31 |
| Judicial branch: | Constitutional Court; Court of Appeal; judges for both courts are appointed by the president on the advice of the prime minister |
| Political parties and leaders: | Alternativa Demokratika/Alliance for Social Justice or AD [Harry VASSALLO]; Malta Labor Party or MLP [Alfred SANT]; Nationalist Party or PN [Edward FENECH ADAMI] |
| Political pressure groups and leaders: | NA |
| International organization participation: | C, CE, EBRD, ECE, EU (applicant), FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IFAD, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO, ITU, NAM, OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador John LOWELL |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation in the US: | FAX: [1] (202) 387-5470 |
| Diplomatic representation in the US: | telephone: [1] (202) 462-3611, 3612 |
| Diplomatic representation in the US: | chancery: 2017 Connecticut Avenue NW, Washington, DC 20008 |
| Diplomatic representation from the US: | chief of mission: Ambassador Anthony H. GIOIA |
| Diplomatic representation from the US: | embassy: 3rd Floor, Development House, Saint Anne Street, Floriana, Malta VLT 01 |
| Diplomatic representation from the US: | mailing address: P. O. Box 535, Valletta, Malta |
| Diplomatic representation from the US: | telephone: [356] 21-235-960 |
| Diplomatic representation from the US: | FAX: [356] 2124-3229 |
| Flag description: | two equal vertical bands of white (hoist side) and red; in the upper hoist-side corner is a representation of the George Cross, edged in red |
