| Government | Russia |
| --- | --- |
| Country name: | conventional long form: Russian Federation |
| Country name: | conventional short form: Russia |
| Country name: | local short form: Rossiya |
| Country name: | local long form: Rossiyskaya Federatsiya |
| Country name: | former: Russian Empire, Russian Soviet Federative Socialist Republic |
| Government type: | federation |
| Capital: | Moscow |
| Administrative divisions: | 49 oblasts (oblastey, singular - oblast), 21 republics (respublik, singular - respublika), 10 autonomous okrugs (avtonomnykh okrugov, singular - avtonomnyy okrug), 6 krays (krayev, singular - kray), 2 federal cities (singular - gorod), and 1 autonomous oblast (avtonomnaya oblast') |
| Administrative divisions: | : oblasts: Amur (Blagoveshchensk), Arkhangel'sk, Astrakhan', Belgorod, Bryansk, Chelyabinsk, Chita, Irkutsk, Ivanovo, Kaliningrad, Kaluga, Kamchatka (Petropavlovsk-Kamchatskiy), Kemerovo, Kirov, Kostroma, Kurgan, Kursk, Leningrad, Lipetsk, Magadan, Moscow, Murmansk, Nizhniy Novgorod, Novgorod, Novosibirsk, Omsk, Orenburg, Orel, Penza, Perm', Pskov, Rostov, Ryazan', Sakhalin (Yuzhno-Sakhalinsk), Samara, Saratov, Smolensk, Sverdlovsk (Yekaterinburg), Tambov, Tomsk, Tula, Tver', Tyumen', Ul'yanovsk, Vladimir, Volgograd, Vologda, Voronezh, Yaroslavl' |
| Administrative divisions: | : republics: Adygeya (Maykop), Altay (Gorno-Altaysk), Bashkortostan (Ufa), Buryatiya (Ulan-Ude), Chechnya (Groznyy), Chuvashiya (Cheboksary), Dagestan (Makhachkala), Ingushetiya (Magas), Kabardino-Balkariya (Nal'chik), Kalmykiya (Elista), Karachayevo-Cherkesiya (Cherkessk), Kareliya (Petrozavodsk), Khakasiya (Abakan), Komi (Syktyvkar), Mariy-El (Yoshkar-Ola), Mordoviya (Saransk), Sakha [Yakutiya] (Yakutsk), North Ossetia (Vladikavkaz), Tatarstan (Kazan'), Tyva (Kyzyl), Udmurtiya (Izhevsk) |
