| Government | Turkey |
| --- | --- |
| Country name: | conventional long form: Republic of Turkey |
| Country name: | conventional short form: Turkey |
| Country name: | local long form: Turkiye Cumhuriyeti |
| Country name: | local short form: Turkiye |
| Government type: | republican parliamentary democracy |
| Capital: | Ankara |
| Administrative divisions: | 81 provinces (iller, singular - il); Adana, Adiyaman, Afyon, Agri, Aksaray, Amasya, Ankara, Antalya, Ardahan, Artvin, Aydin, Balikesir, Bartin, Batman, Bayburt, Bilecik, Bingol, Bitlis, Bolu, Burdur, Bursa, Canakkale, Cankiri, Corum, Denizli, Diyarbakir, Duzce, Edirne, Elazig, Erzincan, Erzurum, Eskisehir, Gaziantep, Giresun, Gumushane, Hakkari, Hatay, Igdir, Isparta, Istanbul, Izmir, Kahramanmaras, Karabuk, Karaman, Kars, Kastamonu, Kayseri, Kilis, Kirikkale, Kirklareli, Kirsehir, Kocaeli, Konya, Kutahya, Malatya, Manisa, Mardin, Mersin, Mugla, Mus, Nevsehir, Nigde, Ordu, Osmaniye, Rize, Sakarya, Samsun, Sanliurfa, Siirt, Sinop, Sirnak, Sivas, Tekirdag, Tokat, Trabzon, Tunceli, Usak, Van, Yalova, Yozgat, Zonguldak |
| Independence: | 29 October 1923 (successor state to the Ottoman Empire) |
| National holiday: | Independence Day, 29 October (1923) |
| Constitution: | 7 November 1982 |
| Legal system: | derived from various European continental legal systems; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ahmet Necdet SEZER (since 16 May 2000) |
| Executive branch: | elections: president elected by the National Assembly for a seven-year term; election last held 5 May 2000 (next to be held NA May 2007); prime minister and deputy prime ministers appointed by the president |
| Executive branch: | note: a National Security Council serves as an advisory body to the government composed of top military and cabinet officials and presided over by the president |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the nomination of the prime minister |
| Executive branch: | head of government: Prime Minister Recep Tayyip ERDOGAN (14 March 2003); note - Abdullah GUL resigned 11 March 2003; Recep Tayyip ERDOGAN was given a mandate to form a new government |
| Executive branch: | election results: Ahmed Necdet SEZER elected president on the third ballot; percent of National Assembly vote - 60% |
| Executive branch: | note: president must have a two-thirds majority of the National Assembly on the first two ballots and a simple majority on the third ballot |
| Legislative branch: | unicameral Grand National Assembly of Turkey or Turkiye Buyuk Millet Meclisi (550 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held 3 November 2002 (next to be held NA 2007); note - a special rerun of the General Election in the province of Siirt on 9 March 2003 resulted in the election of Recep Tayyip ERDOGAN to a seat in parliament, a prerequisite for becoming prime minister on 13 March 2003 |
| Legislative branch: | election results: percent of vote by party - AKP 34.3%, CHP 19.4%, DYP 9.6%, MHP 8.3%, ANAP 5.1%, DSP 1.1%, and others; seats by party - AKP 363, CHP 178, independents 9; note - parties surpassing the 10% threshold are entitled to parliamentary seats |
| Judicial branch: | Constitutional Court (judges are appointed by the president); Court of Appeals and Council of State (judges are elected by the Supreme Council of Judges and Prosecutors) |
| Political parties and leaders: | Democratic Left Party or DSP [Bulent ECEVIT]; Justice and Development Party or AKP [Recep Tayip ERDOGAN]; Motherland Party or ANAP [Ahmet Mesut YILMAZ]; Nationalist Action Party or MHP [Devlet BAHCELI]; Republican People's Party or CHP [Deniz BAYKAL]; True Path Party (sometimes translated as Correct Way Party) or DYP [Tansu CILLER]; Young Party or GP [Cem UZAN] |
| Political pressure groups and leaders: | Confederation of Public Sector Unions or KESK [Sami EVREN]; Confederation of Revolutionary Workers Unions or DISK [Suleyman CELEBI]; Independent Industrialists' and Businessmen's Association or MUSIAD [Erol YARAR]; Moral Rights Workers Union or Hak-Is [Salim USLU]; Turkish Industrialists' and Businessmen's Association or TUSIAD [Muharrem KAYHAN]; Turkish Confederation of Employers' Unions or TISK [Refik BAYDUR]; Turkish Confederation of Labor or Turk-Is [Bayram MERAL]; Turkish Confederation of Tradesmen and Craftsmen or TESK [Dervis GUNDAY; Turkish Union of Chambers of Commerce and Commodity Exchanges or TOBB [M. Rifat HISARCIKLIOGLU] |
| International organization participation: | AsDB, Australia Group, BIS, BSEC, CE, CERN (observer), EAPC, EBRD, ECE, ECO, ESCAP, EU (applicant), FAO, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IDB, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO, ITU, MONUC, NATO, NEA, NSG, OAS (observer), OECD, OIC, OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIKOM, UNMIBH, UNMIK, UNMISET, UNOMIG, UNRWA, UPU, WCO, WEU (associate), WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Dr. Osman Faruk LOGOGLU |
| Diplomatic representation in the US: | FAX: [1] (202) 612-6744 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, Los Angeles, and New York |
| Diplomatic representation in the US: | chancery: 2525 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 612-6700 |
| Diplomatic representation from the US: | chief of mission: Ambassador Eric S. EDELMAN |
| Diplomatic representation from the US: | embassy: 110 Ataturk Boulevard, Kavaklidere, 06100 Ankara |
| Diplomatic representation from the US: | mailing address: PSC 93, Box 5000, APO AE 09823 |
| Diplomatic representation from the US: | telephone: [90] (312) 455-5555 |
| Diplomatic representation from the US: | FAX: [90] (312) 467-0019 |
| Diplomatic representation from the US: | consulate(s) general: Istanbul |
| Diplomatic representation from the US: | consulate(s): Adana; note - there is a Consular Agent in Izmir |
| Flag description: | red with a vertical white crescent (the closed portion is toward the hoist side) and white five-pointed star centered just outside the crescent opening |
