| Government | Turkey |
| --- | --- |
| Country name: | conventional long form: Republic of Turkey |
| Country name: | conventional short form: Turkey |
| Country name: | local long form: Turkiye Cumhuriyeti |
| Country name: | local short form: Turkiye |
| Government type: | republican parliamentary democracy |
| Capital: | Ankara |
| Administrative divisions: | 81 provinces (iller, singular - il); Adana, Adiyaman, Afyonkarahisar, Agri, Aksaray, Amasya, Ankara, Antalya, Ardahan, Artvin, Aydin, Balikesir, Bartin, Batman, Bayburt, Bilecik, Bingol, Bitlis, Bolu, Burdur, Bursa, Canakkale, Cankiri, Corum, Denizli, Diyarbakir, Duzce, Edirne, Elazig, Erzincan, Erzurum, Eskisehir, Gaziantep, Giresun, Gumushane, Hakkari, Hatay, Igdir, Isparta, Istanbul, Izmir, Kahramanmaras, Karabuk, Karaman, Kars, Kastamonu, Kayseri, Kilis, Kirikkale, Kirklareli, Kirsehir, Kocaeli, Konya, Kutahya, Malatya, Manisa, Mardin, Mersin, Mugla, Mus, Nevsehir, Nigde, Ordu, Osmaniye, Rize, Sakarya, Samsun, Sanliurfa, Siirt, Sinop, Sirnak, Sivas, Tekirdag, Tokat, Trabzon, Tunceli, Usak, Van, Yalova, Yozgat, Zonguldak |
| Independence: | 29 October 1923 (successor state to the Ottoman Empire) |
| National holiday: | Republic Day, 29 October (1923) |
| Constitution: | 7 November 1982 |
| Legal system: | civil law system derived from various European continental legal systems; accepts compulsory ICJ jurisdiction, with reservations; note - member of the European Court of Human Rights (ECHR), although Turkey claims limited derogations on the ratified European Convention on Human Rights |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ahmet Necdet SEZER (since 16 May 2000) |
| Executive branch: | election results: Ahmed Necdet SEZER elected president on the third ballot; percent of National Assembly vote - 60% |
| Executive branch: | elections: president elected by the National Assembly for a seven-year term; election last held 5 May 2000 (next to be held NA May 2007); prime minister appointed by the president from among members of parliament |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the nomination of the prime minister |
| Executive branch: | head of government: Prime Minister Recep Tayyip ERDOGAN (14 March 2003) |
| Executive branch: | note: president must have a two-thirds majority of the National Assembly on the first two ballots and a simple majority on the third ballot |
| Legislative branch: | unicameral Grand National Assembly of Turkey or Turkiye Buyuk Millet Meclisi (550 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held 3 November 2002 (next to be held NA 2007); note - a special rerun of the General Election in the province of Siirt on 9 March 2003 resulted in the election of Recep Tayyip ERDOGAN to a seat in parliament, a prerequisite for becoming prime minister on 14 March 2003 |
| Legislative branch: | election results: percent of vote by party - AKP 34.3%, CHP 19.4%, DYP 9.6%, MHP 8.3%, ANAP 5.1%, DSP 1.1%, and others; seats by party - AKP 363, CHP 178, independents 9; note - parties surpassing the 10% threshold are entitled to parliamentary seats; seats by party as of 1 December 2004 - AKP 368, CHP 171, DYP 4, LDP 1, independents 5, vacant 1 |
| Judicial branch: | Constitutional Court; High Court of Appeals (Yargitay); Council of State (Danistay); Court of Accounts (Sayistay); Military High Court of Appeals; Military High Administrative Court |
| Political parties and leaders: | Democratic Left Party or DSP [Mehmet Zeki SEZER]; Democratic People's Party or DEHAP [Tuncer BAKIRHAN]; Justice and Development Party or AKP [Recep Tayip ERDOGAN]; Liberal Democratic Party or LDP [Emin SIRIN]; Motherland Party or ANAP [leader NA]; Nationalist Action Party or MHP [Devlet BAHCELI]; Republican People's Party or CHP (includes the New Turkey Party) [Deniz BAYKAL]; Felicity Party (sometimes translated as Contentment Party) or SP [Necmettin ERBEKAN]; Social Democratic People's Party or SHP [Murat KARAYALCIN]; True Path Party (sometimes translated as Correct Way Party) or DYP [Mehmet AGAR] |
| Political parties and leaders: | note: the parties listed above are some of the more significant of the 49 parties that Turkey had on 1 December 2004 |
| Political pressure groups and leaders: | Confederation of Public Sector Unions or KESK [Sami EVREN]; Confederation of Revolutionary Workers Unions or DISK [Suleyman CELEBI]; Independent Industrialists' and Businessmen's Association or MUSIAD [Omer BOLAT]; Moral Rights Workers Union or Hak-Is [Salim USLU]; Turkish Industrialists' and Businessmen's Association or TUSIAD [Omer SABANCI]; Turkish Confederation of Employers' Unions or TISK [Refik BAYDUR]; Turkish Confederation of Labor or Turk-Is [Salih KILIC]; Turkish Confederation of Tradesmen and Craftsmen or TESK [Dervis GUNDAY]; Turkish Union of Chambers of Commerce and Commodity Exchanges or TOBB [M. Rifat HISARCIKLIOGLU] |
| International organization participation: | AsDB, Australia Group, BIS, BSEC, CE, CERN (observer), EAPC, EBRD, ECO, EU (applicant), FAO, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IDB, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MIGA, NATO, NEA, NSG, OAS (observer), OECD, OIC, OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIK, UNOMIG, UNRWA, UPU, WCO, WEU (associate), WFTU, WHO, WIPO, WMO, WToO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Dr. Osman Faruk LOGOGLU |
| Diplomatic representation in the US: | chancery: 2525 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | FAX: [1] (202) 612-6744 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, Los Angeles, and New York |
| Diplomatic representation in the US: | telephone: [1] (202) 612-6700 |
| Diplomatic representation from the US: | chief of mission: Ambassador Eric S. EDELMAN |
| Diplomatic representation from the US: | embassy: 110 Ataturk Boulevard, Kavaklidere, 06100 Ankara |
| Diplomatic representation from the US: | mailing address: PSC 93, Box 5000, APO AE 09823 |
| Diplomatic representation from the US: | telephone: [90] (312) 455-5555 |
| Diplomatic representation from the US: | FAX: [90] (312) 467-0019 |
| Diplomatic representation from the US: | consulate(s) general: Istanbul |
| Diplomatic representation from the US: | consulate(s): Adana; note - there is a Consular Agent in Izmir |
| Flag description: | red with a vertical white crescent (the closed portion is toward the hoist side) and white five-pointed star centered just outside the crescent opening |
