| Government | Norfolk Island |
| --- | --- |
| Country name: | conventional long form: Territory of Norfolk Island |
| Country name: | conventional short form: Norfolk Island |
| Dependency status: | self-governing territory of Australia; administered from Canberra by the Department of Regional Australia, Local Government, Arts and Sport |
| Government type: | NA |
| Capital: | name: Kingston |
| Capital: | geographic coordinates: 29 03 S, 167 58 E |
| Capital: | time difference: UTC+11.5 (16.5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | none (territory of Australia) |
| Independence: | none (territory of Australia) |
| National holiday: | Bounty Day (commemorates the arrival of Pitcairn Islanders), 8 June (1856) |
| Constitution: | previous 1913, 1957; latest effective 7 August 1979; amended many times, last in 2010 (2011) |
| Legal system: | English common law and the laws of Australia |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by the Australian governor general |
| Executive branch: | head of government: Administrator Neil POPE (since 1 April 2012) |
| Executive branch: | cabinet: Executive Council made up of 4 of the 9 members of the Legislative Assembly; the council devises government policy and acts as an advisor to the administrator |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: the monarchy is hereditary; governor general appointed by the monarch; administrator appointed by the governor general of Australia for a two year term and represents the monarch and Australia |
| Legislative branch: | unicameral Legislative Assembly (9 seats; members elected by electors who have nine equal votes each but only four votes can be given to any one candidate; members to serve three-year terms) |
| Legislative branch: | elections: last held on 13 March 2013 (next to be held in 2016) |
| Legislative branch: | election results: seats - independents 8; Norfolk Liberals 1 |
| Judicial branch: | highest court(s): Supreme Court of Norfolk Island (consists of the chief justice and NA justices) |
| Judicial branch: | note - appeals beyond the Supreme Court of Norfolk Island are heard by the Federal Court of Australia |
| Judicial branch: | judge selection and term of office: justices appointed by the governor general of Australia from among justices of the Federal Court of Australia; justices serve until mandatory retirement at age 70 |
| Judicial branch: | subordinate courts: Petty Court of Sessions; specialized courts including a Coroner's Court and the Employment Tribunal |
| Political parties and leaders: | Norfolk Island Labor Party [Mike KELLY] |
| Political parties and leaders: | Norfolk Liberals [John BROWN] |
| Political pressure groups and leaders: | none |
| International organization participation: | UPU |
| Diplomatic representation in the US: | none (territory of Australia) |
| Diplomatic representation from the US: | none (territory of Australia) |
| Flag description: | three vertical bands of green (hoist side), white, and green with a large green Norfolk Island pine tree centered in the slightly wider white band; green stands for the rich vegetation on the island, and the pine tree - endemic to the island - is a symbol of Norfolk Island |
| Flag description: | note: somewhat reminiscent of the flag of Canada with its use of only two colors and depiction of a prominent local floral symbol in the central white band |
| National symbol(s): | Norfolk Island pine |
| National anthem: | name: "Come Ye Blessed" |
| National anthem: | lyrics/music: New Testament/John Prindle SCOTT |
| National anthem: | note: the local anthem, whose lyrics consist of the words from Matthew 25:34-36, 40, is also known as "The Pitcairn Anthem;" as a territory of Australia, "God Save the Queen" is official (see Australia), however, the island does not recognize "Advance Australia Fair" |
