| Government | Ireland |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Ireland |
| Country name: | local long form: none |
| Country name: | local short form: Eire |
| Government type: | republic, parliamentary democracy |
| Capital: | name: Dublin |
| Capital: | geographic coordinates: 53 19 N, 6 14 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 29 counties and 5 cities*; Carlow, Cavan, Clare, Cork, Cork*, Donegal, Dublin*, Dun Laoghaire-Rathdown, Fingal, Galway, Galway*, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Limerick*, Longford, Louth, Mayo, Meath, Monaghan, North Tipperary, Offaly, Roscommon, Sligo, South Dublin, South Tipperary, Waterford, Waterford*, Westmeath, Wexford, Wicklow |
| Independence: | 6 December 1921 (from the UK by treaty) |
| National holiday: | Saint Patrick's Day, 17 March |
| Constitution: | previous 1922; latest drafted 14 June 1937, adopted by plebiscite 1 July 1937, effective 29 December 1937; amended many times, last in 2012 (2012) |
| Legal system: | common law system based on the English model but substantially modified by customary law; judicial review of legislative acts in Supreme Court |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Michael D. HIGGINS (since 29 October 2011) |
| Executive branch: | head of government: Taoiseach (Prime Minister) Enda KENNY (since 9 March 2011) |
| Executive branch: | cabinet: Cabinet appointed by the president with previous nomination by the prime minister and approval of the lower house of Parliament |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a seven-year term (eligible for a second term); election last held on 29 October 2011 (next to be held in October 2018); taoiseach (prime minister} nominated by the House of Representatives (Dail Eireann) and appointed by the president |
| Executive branch: | election results: Michael D. HIGGINS elected president; percent of vote - Michael D. HIGGINS 39.6%, Sean GALLAGHER 28.5%, Martin MCGUINNESS 13.7%, Gay MITCHELL 6.4%, David NORRIS 6.2%, other 5.6% |
| Legislative branch: | bicameral Parliament or Oireachtas consists of the Senate or Seanad Eireann (60 seats; 49 members elected by the universities and from candidates put forward by five vocational panels, 11 are nominated by the prime minister; members serve five-year terms) and the lower house of Parliament or Dail Eireann (166 seats; members elected by popular vote on the basis of proportional representation to serve five-year terms) |
| Legislative branch: | elections: Senate - last held in 27 April 2011 (next to be held 2016); House of Representatives - last held on 25 February 2011 (next to be held probably in 2016) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - Fine Gael 19, Fianna Fail 14, Labor Party 12, Sinn Fein 3, independents 12; House of Representatives - percent of vote by party - Fine Gael 45.8%, Labor Party 22.3%, Fianna Fail 12.0%, Sinn Fein 8.4%, United Left Alliance 3.0%, New Vision 0.6%, independents 7.8%; seats by party - Fine Gael 76, Labor Party 37, Fianna Fail 20, Sinn Fein 14, United Left Alliance 5, New Vision 1, independents 13; note - after November 2009 disbandment of the Progressive Democrats, the two members of the Senate continued as independent DPs |
| Legislative branch: | note: on 8 November 2008, delegates voted to disband the Progressive Democrats, and in November 2009 it officially stopped operating as a political party |
| Judicial branch: | highest court(s): Supreme Court or Court of Final Appeal (consists of the chief justice and 7 judges) |
| Judicial branch: | judge selection and term of office: judges nominated by the prime minister and Cabinet and appointed by the president; judges serve till age 70 |
| Judicial branch: | subordinate courts: High Court, Court of Criminal Appeal; circuit and district courts |
| Political parties and leaders: | Fianna Fail [Michael MARTIN] |
| Political parties and leaders: | Fine Gael [Enda KENNY] |
| Political parties and leaders: | Green Party [Eamon RYAN] |
| Political parties and leaders: | Labor Party [Eamon GILMORE] |
| Political parties and leaders: | New Vision |
| Political parties and leaders: | Sinn Fein [Gerry ADAMS] |
| Political parties and leaders: | Socialist Party [Joe HIGGINS] |
| Political parties and leaders: | The Workers' Party [Michael FINNEGAN] |
| Political parties and leaders: | United Left Alliance |
| Political pressure groups and leaders: | Families Acting for Innocent Relatives or FAIR [Brian MCCONNELL] (seek compensation for victims of violence); |
| Political pressure groups and leaders: | Families Against Intimidation and Terror or FAIT (oppose terrorism); |
| Political pressure groups and leaders: | Gaeltacht Civil Rights Campaign (Coiste Cearta Sibhialta na Gaeilge) or CCSG (encourages the use of the Irish language and campaigns for greater civil rights in Irish speaking areas); |
| Political pressure groups and leaders: | Iona Institute [David QUINN] (a conservative Catholic think tank); |
| Political pressure groups and leaders: | Irish Anti-War Movement [Richard BOYD BARRETT] (campaigns against wars around the world); |
| Political pressure groups and leaders: | Irish Republican Army or IRA (terrorist group); |
| Political pressure groups and leaders: | Keep Ireland Open (environmental group); |
| Political pressure groups and leaders: | Midland Railway Action Group or MRAG [Willie ALLEN] (transportation promoters); |
| Political pressure groups and leaders: | Peace and Neutrality Alliance [Roger COLE] (campaigns to protect Irish neutrality); |
