| Government |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Tuvalu |
| Country name: | former: Ellice Islands |
| Government type: | constitutional monarchy with a parliamentary democracy; began debating republic status in 1992 |
| Capital: | Funafuti |
| Administrative divisions: | none |
| Independence: | 1 October 1978 (from UK) |
| National holiday: | Independence Day, 1 October (1978) |
| Constitution: | 1 October 1978 |
| Legal system: | NA |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952), represented by Governor General Sir Tomasi PUAPUA (since 26 June 1998) |
| Executive branch: | head of government: Acting Prime Minister Lagitupu (of Nanumea) TUILIMU (since 8 December 2000); note - TUILIMU took over after Prime Minister Ionatana IONATANA died suddenly of a heart attack on 8 December 2000 |
| Executive branch: | cabinet: Cabinet appointed by the governor general on the recommendation of the prime minister |
| Executive branch: | elections: the monarch is hereditary; governor general appointed by the monarch on the recommendation of the prime minister; prime minister and deputy prime minister elected by and from the members of Parliament; election last held 27 April 1999 (next to be held NA 2002) |
| Executive branch: | election results: results of the last election for prime minister - Ionatana IONATANA elected prime minister; percent of Parliament vote - NA%; Lagitupu (of Nanumea) TUILIMU elected deputy prime minister; percent of Parliament vote - NA%; note - Deputy Prime Minister Lagitupu (of Nanumea) TUILIMU became acting prime minister following the death of Prime Minister Ionatana IONATANA on 8 December 2000 |
| Legislative branch: | unicameral Parliament or Fale I Fono, also called House of Assembly (12 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held 26-27 March 1998 (next to be held by NA 2002) |
| Legislative branch: | election results: percent of vote - NA%; seats - independents 12 |
| Judicial branch: | High Court (a chief justice visits twice a year to preside over its sessions; its rulings can be appealed to the Court of Appeal in Fiji); eight Island Courts (with limited jurisdiction) |
| Political parties and leaders: | there are no political parties but members of Parliament usually align themselves in informal groupings |
| Political pressure groups and leaders: | none |
| International organization participation: | ACP, AsDB, C, ESCAP, IFRCS (associate), Intelsat (nonsignatory user), ITU, Sparteca, SPC, SPF, UN, UNCTAD, UNESCO, UPU, WHO, WTrO (applicant) |
| Diplomatic representation in the US: | Tuvalu does not have an embassy in the US |
| Diplomatic representation from the US: | the US does not have an embassy in Tuvalu; the US ambassador to Fiji is accredited to Tuvalu |
| Flag description: | light blue with the flag of the UK in the upper hoist-side quadrant; the outer half of the flag represents a map of the country with nine yellow five-pointed stars symbolizing the nine islands |
