| Government | Tuvalu |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Tuvalu |
| Country name: | former: Ellice Islands |
| Country name: | note: "Tuvalu" means "group of eight," referring to the country's eight traditionally inhabited islands |
| Government type: | constitutional monarchy with a parliamentary democracy; began debating republic status in 1992 |
| Capital: | Funafuti; note - administrative offices are located in Vaiaku Village on Fongafale Islet |
| Administrative divisions: | none |
| Independence: | 1 October 1978 (from UK) |
| National holiday: | Independence Day, 1 October (1978) |
| Constitution: | 1 October 1978 |
| Legal system: | NA |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952), represented by Governor General Filoimea TELITO (since 15 April 2005) |
| Executive branch: | head of government: Prime Minister Maatia TOAFA (since 11 October 2004) |
| Executive branch: | cabinet: Cabinet appointed by the governor general on the recommendation of the prime minister |
| Executive branch: | elections: the monarch is hereditary; governor general appointed by the monarch on the recommendation of the prime minister; prime minister and deputy prime minister elected by and from the members of Parliament; election last held 11 October 2004 (next to be held following parliamentary elections in 2006) |
| Executive branch: | election results: Saufatu SOPOANGA resigned parliamentary seat on 27 August 2004 following no-confidence vote on 25 August 2004; succeeded by Deputy Prime Minister Maatia TOAFA in an acting capacity on 27 August 2004; Maatia TOAFA confirmed Prime Minister in a Parliamentary election (8-7 vote) on 11 October 2004 |
| Legislative branch: | unicameral Parliament or Fale I Fono, also called House of Assembly (15 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held 25 July 2002 (next to be held NA 2006) |
| Legislative branch: | election results: percent of vote - NA%; seats - independents 15 |
| Judicial branch: | High Court (a chief justice visits twice a year to preside over its sessions; its rulings can be appealed to the Court of Appeal in Fiji); eight Island Courts (with limited jurisdiction) |
| Political parties and leaders: | there are no political parties but members of Parliament usually align themselves in informal groupings |
| Political pressure groups and leaders: | none |
| International organization participation: | ACP, AsDB, C, FAO, IFRCS (observer), IMO, ITU, OPCW, PIF, Sparteca, UN, UNCTAD, UNESCO, UPU, WHO |
| Diplomatic representation in the US: | Tuvalu does not have an embassy in the US - the country's only diplomatic post is in Fiji - Tuvalu does, however, have a UN office located at 800 2nd Avenue, Suite 400D, New York, New York 10017, telephone: [1] (212) 490-0534 |
| Diplomatic representation from the US: | the US does not have an embassy in Tuvalu; the US ambassador to Fiji is accredited to Tuvalu |
| Flag description: | light blue with the flag of the UK in the upper hoist-side quadrant; the outer half of the flag represents a map of the country with nine yellow five-pointed stars symbolizing the nine islands |
