| Government | TUVALU |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Tuvalu |
| Country name: | local long form: none |
| Country name: | local short form: Tuvalu |
| Country name: | former: Ellice Islands |
| Country name: | note: "tuvalu" means "group of eight" referring to the country's eight traditionally inhabited islands |
| Government type: | parliamentary democracy (House of Assembly) under a constitutional monarchy; a Commonwealth realm |
| Capital: | name: Funafuti; note - the capital is an atoll of some 29 islets; administrative offices are in Vaiaku Village on Fongafale Islet |
| Capital: | geographic coordinates: 8 31 S, 179 13 E |
| Capital: | time difference: UTC+12 (17 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 7 island councils and 1 town council*; Funafuti*, Nanumaga, Nanumea, Niutao, Nui, Nukufetau, Nukulaelae, Vaitupu |
| Independence: | 1 October 1978 (from the UK) |
| National holiday: | Independence Day, 1 October (1978) |
| Constitution: | previous 1978 (at independence); latest effective 1 October 1986; amended 2007, 2010, 2013 (2016) |
| Legal system: | mixed legal system of English common law and local customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent: yes; for a child born abroad, at least one parent must be a citizen of Tuvalu |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: na |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor General Iakoba TAEIA Italeli (since 16 April 2010) |
| Executive branch: | head of government: Prime Minister Enele SOPOAGA (since 5 August 2013) |
| Executive branch: | cabinet: Cabinet appointed by the governor general on recommendation of the prime minister |
| Executive branch: | elections/appointments: the monarchy is hereditary; governor general appointed by the monarch on recommendation of the prime minister; prime minister and deputy prime minister elected by and from members of House of Assembly following parliamentary elections |
| Executive branch: | election results: Enele SOPOAGA elected prime minister by House of Assembly; House of Assembly vote count on 4 August 2013 - 8 to 5; note - Willie TELAVI removed as prime minister by the governor general on 1 August 2013 |
| Legislative branch: | description: unicameral House of Assembly or Fale I Fono (15 seats; members directly elected in single- and multi-seat constituencies by simple majority vote to serve 4-year terms) |
| Legislative branch: | elections: last held on 31 March 2015 (next to be held in 2019) |
| Legislative branch: | election results: percent of vote - NA; seats - independent 15; 12 members reelected |
| Judicial branch: | highest court(s): Court of Appeal is the Fiji Court of Appeal on Fiji Island (consists of the chief justice who visits twice a year); High Court, located on Fiji, consists of the chief justice of Fiji who presides over its sessions |
| Judicial branch: | judge selection and term of office: chief justice appointed by the president of Fiji on the advice of the prime minister following consultation with the parliamentary leader of the opposition; justices of the Court of Appeal and puisne judges of the High Court are appointed by the president of Fiji, upon the nomination of the Judicial Service Commission, after consulting with the Cabinet Minister and the committee of the House of Representatives responsible for the administration of justice; the chief justice and justices of Appeal generally required to retire at age 70; puisine judges appointed for not less than 4 years nor more than 7 years with mandatory retirement at age 65 |
| Judicial branch: | subordinate courts: magistrates' courts; island courts; lands courts |
| Political parties and leaders: | there are no political parties but members of parliament usually align themselves in informal groupings |
| Political pressure groups and leaders: | none |
| International organization participation: | ACP, ADB, AOSIS, C, FAO, IBRD, IDA, IFAD, IFRCS (observer), ILO, IMF, IMO, IOC, ITU, OPCW, PIF, Sparteca, SPC, UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WIPO, WMO |
| Diplomatic representation in the US: | chief of mission: Ambassador Aunese Makoi SIMATI (since 11 January 2013) |
| Diplomatic representation in the US: | chancery: note - Tuvalu does not have an embassy in Washington, D.C.; UN office located at 800 2nd Avenue, Suite 400D, New York, NY 10017 |
| Diplomatic representation in the US: | telephone: [1] (212) 490-0534 |
| Diplomatic representation in the US: | FAX: [1] (212) 937-0692 |
| Diplomatic representation from the US: | the US does not have an embassy in Tuvalu; the US Ambassador to Fiji is accredited to Tuvalu |
| Flag description: | light blue with the flag of the UK in the upper hoist-side quadrant; the outer half of the flag represents a map of the country with nine yellow, five-pointed stars on a blue field symbolizing the nine atolls in the ocean |
| National symbol(s): | maneapa (native meeting house); national colors: light blue, yellow |
| National anthem: | name: "Tuvalu mo te Atua" (Tuvalu for the Almighty) |
| National anthem: | lyrics/music: Afaese MANOA |
| National anthem: | note: adopted 1978; the anthem's name is also the nation's motto |
