| Government | GAMBIA, THE |
| --- | --- |
| Country name: | conventional long form: Republic of The Gambia |
| Country name: | conventional short form: The Gambia |
| Country name: | etymology: named for the Gambia River that flows through the heart of the country |
| Government type: | presidential republic |
| Capital: | name: Banjul |
| Capital: | geographic coordinates: 13 27 N, 16 34 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 5 divisions and 1 city*; Banjul*, Central River, Lower River, North Bank, Upper River, Western |
| Independence: | 18 February 1965 (from the UK) |
| National holiday: | Independence Day, 18 February (1965) |
| Constitution: | previous 1970; latest adopted 8 April 1996, approved by referendum 8 August 1996, effective 16 January 1997; amended several times, last in 2010 (2016) |
| Legal system: | mixed legal system of English common law, Islamic law, and customary law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent: yes |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Yahya JAMMEH (since 18 October 1996); Vice President Isatou NJIE-SAIDY (since 20 March 1997); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Yahya JAMMEH (since 18 October 1996); Vice President Isatou NJIE-SAIDY (since 20 March 1997) |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | elections/appointments: president directly elected by simple majority popular vote for a 5-year term (no term limits); election last held on 24 November 2011 (next to be held on 1 December 2016) |
| Executive branch: | election results: Yahya JAMMEH reelected president; percent of vote - Yahya JAMMEH (APRC) 71.5%, Ousainou DARBOE (UDP) 17.4%, Hamat BAH (NRP) 11.1% |
| Legislative branch: | description: unicameral National Assembly (53 seats; 48 members directly elected in single-seat constituencies by simple majority vote and 5 appointed by the president; members serve 5-year terms) |
| Legislative branch: | elections: last held on 29 March 2012 (next to be held in 2017) |
| Legislative branch: | election results: percent of vote by party - APRC 51.8%, NRP 9.4%, independent 38.8%; seats by party - APRC 42, NRP 2, independent 4 |
| Judicial branch: | highest court(s): Supreme Court of The Gambia (consists of the chief justice and 6 other justices; court sessions held with 5 justices) |
| Judicial branch: | judge selection and term of office: justices appointed by the president after consultation with the Judicial Service Commission, a 6-member independent body of high-level judicial officials, a presidential appointee, and a National Assembly appointee; justices appointed for life or until mandatory retirement age |
| Judicial branch: | subordinate courts: Court of Appeal; High Court; Special Criminal Court; Khadis or Muslim courts; district tribunals; magistrates courts |
| Political parties and leaders: | Alliance for Patriotic Reorientation and Construction or APRC [Yahya JAMMEH] |
| Political parties and leaders: | Gambia Moral Congress or GMC [Mai FATTY] |
| Political parties and leaders: | Gambia Party for Democracy and Progress or GPDP [Henry GOMEZ] |
| Political parties and leaders: | National Reconciliation Party or NRP [Hamat BAH] |
| Political parties and leaders: | National Convention Party or NCP [Ebrima Janko SANYANG] |
| Political parties and leaders: | People's Democratic Organization for Independence and Socialism or PDOIS [Halifa SALLAH] |
| Political parties and leaders: | People's Progressive Party or PPP [Omar JALLOW] |
| Political parties and leaders: | United Democratic Party or UDP [Ousainou DARBOE] |
| Political pressure groups and leaders: | The Association of Non-Governmental Organizations or TANGO |
| Political pressure groups and leaders: | Female Lawyers Association of Gambia or FLAG |
| Political pressure groups and leaders: | Gambia Committee on Traditional Practices or GAMCOTRAP |
| Political pressure groups and leaders: | Gambia Press Union or GPU |
| Political pressure groups and leaders: | West African Peace Building Network-Gambian Chapter or WANEB-GAMBIA |
| Political pressure groups and leaders: | Youth Employment Network Gambia or YENGambia |
| Political pressure groups and leaders: | other: special needs group advocates; teachers and principals |
| International organization participation: | ACP, AfDB, AU, ECOWAS, FAO, G-77, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, MINUSMA, NAM, OIC, OPCW, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNMIL, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Omar FAYE (since 3 August 2015) |
| Diplomatic representation in the US: | chancery: 2233 Wisconsin Avenue NW, Georgetown Plaza, Suite 240, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 785-1379, 1399, 1425 [1] (202) 785-1379, 1399, 1425 |
| Diplomatic representation in the US: | FAX: [1] (202) 342-0240 |
| Diplomatic representation from the US: | chief of mission: Ambassador C. Patricia ALSUP (since 11 January 2016) |
| Diplomatic representation from the US: | embassy: Kairaba Avenue, Fajara, Banjul |
| Diplomatic representation from the US: | mailing address: P.M.B. 19, Banjul |
| Diplomatic representation from the US: | telephone: [220] 439-2856 |
| Diplomatic representation from the US: | FAX: [220] 439-2475 |
| Flag description: | three equal horizontal bands of red (top), blue with white edges, and green; red stands for the sun and the savannah, blue represents the Gambia River, and green symbolizes forests and agriculture; the white stripes denote unity and peace |
| National symbol(s): | lion; national colors: red, blue, green, white |
| National anthem: | name: "For The Gambia, Our Homeland" |
| National anthem: | lyrics/music: Virginia Julie HOWE/adapted by Jeremy Frederick HOWE |
| National anthem: | note: adopted 1965; the music is an adaptation of the traditional Mandinka song "Foday Kaba Dumbuya" |
