| Government | Gambia, The |
| --- | --- |
| Country name: | conventional long form: Republic of The Gambia |
| Country name: | conventional short form: The Gambia |
| Government type: | republic |
| Capital: | name: Banjul |
| Capital: | geographic coordinates: 13 27 N, 16 34 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 5 divisions and 1 city*; Banjul*, Central River, Lower River, North Bank, Upper River, Western |
| Independence: | 18 February 1965 (from the UK) |
| National holiday: | Independence Day, 18 February (1965) |
| Constitution: | approved by national referendum 8 August 1996; effective 16 January 1997 |
| Legal system: | mixed legal system of English common law, Islamic law, and customary law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Yahya JAMMEH (since 18 October 1996); note - from 1994 to 1996 he was chairman of the junta; Vice President Isatou NJIE-SAIDY (since 20 March 1997); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Yahya JAMMEH (since 18 October 1996); Vice President Isatou NJIE-SAIDY (since 20 March 1997) |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a five-year term (no term limits); election last held on 24 November 2011 (next to be held in 2016) |
| Executive branch: | election results: Yahya JAMMEH reelected president; percent of vote - Yahya JAMMEH 71.5%, Ousainou DARBOE 17.4%, Hamat BAH 11.1% |
| Legislative branch: | unicameral National Assembly (53 seats; 48 members elected by popular vote, 5 appointed by the president; members to serve five-year terms) |
| Legislative branch: | elections: last held on 29 March 2012 (next to be held in 2017) |
| Legislative branch: | election results: percent of vote by party - APRC 51.8%, independents 38.8%, NRP 9.4%; seats by party - APRC 43, independents 4, NRP 1 |
| Legislative branch: | note: except for the NRP, all opposition parties boycotted the 29 March 2012 legislative elections |
| Judicial branch: | Supreme Court |
| Political parties and leaders: | Alliance for Patriotic Reorientation and Construction or APRC [Yahya A. J. J. JAMMEH] (the ruling party); Gambia People's Democratic Party or GPDP [Henry GOMEZ]; National Alliance for Democracy and Development or NADD [Halifa SALLAH]; National Convention Party or NCP [Sheriff DIBBA]; National Reconciliation Party or NRP [Hamat N. K. BAH]; People's Democratic Organization for Independence and Socialism or PDOIS [Halifa SALLAH]; United Democratic Party or UDP [Ousainou DARBOE] |
| Political pressure groups and leaders: | National Environment Agency or NEA; West African Peace Building Network-Gambian Chapter or WANEB-GAMBIA; Youth Employment Network Gambia or YENGambia |
| Political pressure groups and leaders: | other: special needs group advocates; teachers and principals |
| International organization participation: | ACP, AfDB, AU, C, ECOWAS, FAO, G-77, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, NAM, OIC, OPCW, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNMIL, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Alieu Momodou NGUM |
| Diplomatic representation in the US: | chancery: Suite 240, Georgetown Plaza, 2233 Wisconsin Avenue NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 785-1379, 1399, 1425 |
| Diplomatic representation in the US: | FAX: [1] (202) 785-1430 |
| Diplomatic representation from the US: | chief of mission: Ambassador Edward M. ALFORD |
| Diplomatic representation from the US: | embassy: Kairaba Avenue, Fajara, Banjul |
| Diplomatic representation from the US: | mailing address: P. M. B. No. 19, Banjul |
| Diplomatic representation from the US: | telephone: [220] 439-2856, 437-6169, 437-6170 |
| Diplomatic representation from the US: | FAX: [220] 439-2475 |
| Flag description: | three equal horizontal bands of red (top), blue with white edges, and green; red stands for the sun and the savannah, blue represents the Gambia River, and green symbolizes forests and agriculture; the white stripes denote unity and peace |
| National symbol(s): | lion |
| National anthem: | name: "For The Gambia, Our Homeland" |
| National anthem: | lyrics/music: Virginia Julie HOWE/adapted by Jeremy Frederick HOWE |
| National anthem: | note: adopted 1965; the music is an adaptation of the traditional Mandinka song "Foday Kaba Dumbuya" |
