| Government | Puerto Rico |
| --- | --- |
| Country name: | conventional long form: Commonwealth of Puerto Rico |
| Country name: | conventional short form: Puerto Rico |
| Dependency status: | unincorporated, organized territory of the US with commonwealth status; policy relations between Puerto Rico and the US conducted under the jurisdiction of the Office of the President |
| Government type: | commonwealth |
| Capital: | name: San Juan |
| Capital: | geographic coordinates: 18 28 N, 66 07 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC during Standard Time) |
| Administrative divisions: | none (territory of the US with commonwealth status); there are no first-order administrative divisions as defined by the US Government, but there are 78 municipalities (municipios, singular - municipio) at the second order; Adjuntas, Aguada, Aguadilla, Aguas Buenas, Aibonito, Anasco, Arecibo, Arroyo, Barceloneta, Barranquitas, Bayamon, Cabo Rojo, Caguas, Camuy, Canovanas, Carolina, Catano, Cayey, Ceiba, Ciales, Cidra, Coamo, Comerio, Corozal, Culebra, Dorado, Fajardo, Florida, Guanica, Guayama, Guayanilla, Guaynabo, Gurabo, Hatillo, Hormigueros, Humacao, Isabela, Jayuya, Juana Diaz, Juncos, Lajas, Lares, Las Marias, Las Piedras, Loiza, Luquillo, Manati, Maricao, Maunabo, Mayaguez, Moca, Morovis, Naguabo, Naranjito, Orocovis, Patillas, Penuelas, Ponce, Quebradillas, Rincon, Rio Grande, Sabana Grande, Salinas, San German, San Juan, San Lorenzo, San Sebastian, Santa Isabel, Toa Alta, Toa Baja, Trujillo Alto, Utuado, Vega Alta, Vega Baja, Vieques, Villalba, Yabucoa, Yauco |
| Independence: | none (territory of the US with commonwealth status) |
| National holiday: | US Independence Day, 4 July (1776); Puerto Rico Constitution Day, 25 July (1952) |
| Constitution: | previous 1900 (Organic Act, or Foraker Act); latest ratified 3 March 1952, approved 3 July 1952, effective 25 July 1952; note - constitutional amendments introduced in 2012 were rejected in a referendum (2013) |
| Legal system: | civil law system based on the Spanish civil code and within the framework of the US federal system |
| Suffrage: | 18 years of age; universal; note - island residents are US citizens but do not vote in US presidential elections |
| Executive branch: | chief of state: President Barack H. OBAMA (since 20 January 2009); Vice President Joseph R. BIDEN (since 20 January 2009) |
| Executive branch: | head of government: Governor Alejandro GARCIA Padilla (since 2 January 2013) |
| Executive branch: | cabinet: Cabinet appointed by the governor with the consent of the legislature |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: under the US Constitution, residents of unincorporated territories, such as Puerto Rico, do not vote in elections for US president and vice president; however, they may vote in Democratic and Republican party presidential primary elections; governor elected by popular vote for a four-year term (no term limits); election last held on 6 November 2012 (next to be held in November 2016) |
| Executive branch: | election results: Alejandro GARCIA Padilla elected governor with 48.2% of the vote |
| Legislative branch: | bicameral Legislative Assembly consists of the Senate (at least 27 seats; members directly elected by popular vote to serve four-year terms) and the House of Representatives (51 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: Senate - last held on 6 November 2012 (next to be held in November 2016); House of Representatives - last held on 6 November 2012 (next to be held in November 2016) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - PPD 18, PNP 8, PIP 1; House of Representatives - percent of vote by party - NA; seats by party - PPD 28, PNP 23 |
| Legislative branch: | note: Puerto Rico elects, by popular vote, a resident commissioner to serve a four-year term as a nonvoting representative in the US House of Representatives; aside from not voting on the House floor, he enjoys all the rights of a member of Congress; elections last held 6 November 2012 (next to be held in November 2016); results - percent of vote by party - NA; seats by party - PNP 1 |
| Judicial branch: | highest court(s): Supreme Court (consists of the chief justice and 6 associate judges) |
| Judicial branch: | note - the Commonwealth of Puerto Rico Judiciary Act of 2003 reformed the judicial system |
| Judicial branch: | judge selection and term of office: justices appointed by the governor with the advice and consent of the Senate; judges serve until compulsory retirement at age 75 |
| Judicial branch: | subordinate courts: Court of Appeals; First Instance Court comprised of superior and municipal courts |
| Political parties and leaders: | National Democratic Party [Roberto PRATS] |
| Political parties and leaders: | National Republican Party of Puerto Rico [Dr. Tiody FERRE] |
| Political parties and leaders: | New Progressive Party or PNP [Pedro ROSSELLO] (pro-US statehood) |
| Political parties and leaders: | Popular Democratic Party or PPD [Anibal ACEVEDO-VILA] (pro-commonwealth) |
