| Government | Puerto Rico |
| --- | --- |
| Country name: | conventional long form: Commonwealth of Puerto Rico |
| Country name: | conventional short form: Puerto Rico |
| Dependency status: | commonwealth associated with the US |
| Government type: | commonwealth |
| Capital: | San Juan |
| Administrative divisions: | none (commonwealth associated with the US); there are no first-order administrative divisions as defined by the US Government, but there are 78 municipalities (municipios, singular - municipio) at the second order; Adjuntas, Aguada, Aguadilla, Aguas Buenas, Aibonito, Anasco, Arecibo, Arroyo, Barceloneta, Barranquitas, Bayamon, Cabo Rojo, Caguas, Camuy, Canovanas, Carolina, Catano, Cayey, Ceiba, Ciales, Cidra, Coamo, Comerio, Corozal, Culebra, Dorado, Fajardo, Florida, Guanica, Guayama, Guayanilla, Guaynabo, Gurabo, Hatillo, Hormigueros, Humacao, Isabela, Jayuya, Juana Diaz, Juncos, Lajas, Lares, Las Marias, Las Piedras, Loiza, Luquillo, Manati, Maricao, Maunabo, Mayaguez, Moca, Morovis, Naguabo, Naranjito, Orocovis, Patillas, Penuelas, Ponce, Quebradillas, Rincon, Rio Grande, Sabana Grande, Salinas, San German, San Juan, San Lorenzo, San Sebastian, Santa Isabel, Toa Alta, Toa Baja, Trujillo Alto, Utuado, Vega Alta, Vega Baja, Vieques, Villalba, Yabucoa, Yauco |
| Independence: | none (commonwealth associated with the US) |
| National holiday: | US Independence Day, 4 July (1776); Puerto Rico Constitution Day, 25 July (1952) |
| Constitution: | ratified 3 March 1952, approved by US Congress 3 July 1952, effective 25 July 1952 |
| Legal system: | based on Spanish civil code and within the US Federal system of justice |
| Suffrage: | 18 years of age; universal; island residents are US citizens but do not vote in US presidential elections |
| Executive branch: | chief of state: President George W. BUSH of the US (since 20 January 2001) |
| Executive branch: | head of government: Governor Anibal ACEVEDO-VILA (since 2 January 2005) |
| Executive branch: | cabinet: Cabinet appointed by the governor with the consent of the legislature |
| Executive branch: | elections: US president and vice president elected on the same ticket for four-year terms; governor elected by popular vote for a four-year term; election last held 2 November 2004 (next to be held November 2008) |
| Executive branch: | election results: Anibal ACEVEDO-VILA (PPD) elected governor; percent of vote - 48.4% |
| Legislative branch: | bicameral Legislative Assembly consists of the Senate (at least 27 seats - currently 29; members are directly elected by popular vote to serve four-year terms) and the House of Representatives (51 seats; members are directly elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: Senate - last held 2 November 2004 (next to be held November 2008); House of Representatives - last held 2 November 2004 (next to be held November 2008) |
| Legislative branch: | election results: Senate - percent of vote by party - PNP 43.4%, PPD 40.3%, PIP 9.4%; seats by party - PNP 17, PPD 9, PIP 1; House of Representatives - percent of vote by party - PNP 46.3%, PPD 43.1%, PIP 9.7%; seats by party - PNP 32, PPD 18, PIP 1 |
| Legislative branch: | note: Puerto Rico elects, by popular vote, a resident commissioner to serve a four-year term as a nonvoting representative in the US House of Representatives; aside from not voting on the House floor, he enjoys all the rights of a member of Congress; elections last held 2 November 2004 (next to be held November 2008); results - percent of vote by party - PNP 48.6%; seats by party - PNP 1; Luis FORTUNO elected resident commissioner |
| Judicial branch: | Supreme Court; Appellate Court; Court of First Instance composed of two sections: a Superior Court and a Municipal Court (justices for all these courts appointed by the governor with the consent of the Senate) |
| Political parties and leaders: | National Democratic Party [Celeste BENITEZ]; National Republican Party of Puerto Rico [Dr. Tiody FERRE]; New Progressive Party or PNP (pro-US statehood) [Pedro ROSSELLO]; Popular Democratic Party or PPD (pro-commonwealth) [Anibal ACEVEDO-VILA]; Puerto Rican Independence Party or PIP (pro-independence) [Ruben BERRIOS Martinez] |
| Political pressure groups and leaders: | Armed Forces for National Liberation or FALN; Armed Forces of Popular Resistance; Boricua Popular Army (also known as the Macheteros); Volunteers of the Puerto Rican Revolution |
| International organization participation: | ICFTU, Interpol (subbureau), IOC, UPU, WCL, WFTU, WToO (associate) |
| Diplomatic representation in the US: | none (commonwealth associated with the US) |
| Diplomatic representation from the US: | none (commonwealth associated with the US) |
| Flag description: | five equal horizontal bands of red (top and bottom) alternating with white; a blue isosceles triangle based on the hoist side bears a large, white, five-pointed star in the center; design initially influenced by the US flag, but similar to the Cuban flag, with the colors of the bands and triangle reversed |
