| Government | Eritrea |
| --- | --- |
| Country name: | conventional long form: State of Eritrea |
| Country name: | conventional short form: Eritrea |
| Country name: | local long form: Hagere Ertra |
| Country name: | former: Eritrea Autonomous Region in Ethiopia |
| Country name: | local short form: Ertra |
| Government type: | transitional government |
| Government type: | note: following a successful referendum on independence for the Autonomous Region of Eritrea on 23-25 April 1993, a National Assembly, composed entirely of the People's Front for Democracy and Justice or PFDJ, was established as a transitional legislature; a Constitutional Commission was also established to draft a constitution; Afworki ISAIAS was elected president by the transitional legislature; the constitution, ratified in May 1997, did not enter into effect, pending parliamentary and presidential elections; parliamentary elections had been scheduled to take place in December 2001, but were postponed; currently the sole legal party is the People's Front for Democracy and Justice (PFDJ), though a draft political parties law is under consideration |
| Capital: | Asmara (formerly Asmera) |
| Administrative divisions: | 6 regions (regions, singular - region); Central, Anelba, Southern Red Sea, Northern Red Sea, Southern, Gash-Barka |
| Independence: | 24 May 1993 (from Ethiopia) |
| National holiday: | Independence Day, 24 May (1993) |
| Constitution: | the transitional constitution, decreed on 19 May 1993, was replaced by a new constitution adopted on 23 May 1997, but not yet implemented |
| Legal system: | primary basis is the Ethiopian legal code of 1957, with revisions; new civil, commercial, and penal codes have not yet been promulgated; also relies on customary and post-independence-enacted laws and, for civil cases involving Muslims, Sharia law |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Afworki ISAIAS (since 8 June 1993); note - the president is both the chief of state and head of government and is head of the State Council and National Assembly |
| Executive branch: | head of government: President Afworki ISAIAS (since 8 June 1993); note - the president is both the chief of state and head of government and is head of the State Council and National Assembly |
| Executive branch: | cabinet: State Council is the collective executive authority; members appointed by the president |
| Executive branch: | elections: president elected by the National Assembly; election last held 8 June 1993 (next election date uncertain as the National Assembly did not hold a presidential election in December 2001 as anticipated) |
| Executive branch: | election results: ISAIAS Afworki elected president; percent of National Assembly vote - ISAIAS Afworki 95% |
| Legislative branch: | unicameral National Assembly (150 seats; term limits not established) |
| Legislative branch: | elections: in May 1997, following the adoption of the new constitution, 75 members of the PFDJ Central Committee (the old Central Committee of the EPLF), 60 members of the 527-member Constituent Assembly which had been established in 1997 to discuss and ratify the new constitution, and 15 representatives of Eritreans living abroad were formed into a Transitional National Assembly to serve as the country's legislative body until countrywide elections to a National Assembly were held; although only 75 of 150 members of the Transitional National Assembly were elected, the constitution stipulates that once past the transition stage, all members of the National Assembly will be elected by secret ballot of all eligible voters; National Assembly elections scheduled for December 2001 were postponed indefinately |
| Judicial branch: | High court, regional, subregional, and village courts; also have military and special courts |
| Political parties and leaders: | People's Front for Democracy and Justice or PFDJ, the only party recognized by the government [Afworki ISAIAS]; note - a National Assembly committee drafted a law on political parties in January 2001, but the full National Assembly had not yet debated or voted on it as of December 2001 |
| Political pressure groups and leaders: | Eritrean Islamic Jihad or EIJ; Eritrean Liberation Front or ELF [ABDULLAH Muhammed]; Eritrean Liberation Front-Revolutionary Council or ELF-RC [Ahmed NASSER]; Eritrean Liberation Front-United Organization or ELF-UO [Mohammed Said NAWD]; Eritrean Public Forum or EPF [ARADOM Iyob] |
| International organization participation: | ACP, AfDB, CCC, ECA, FAO, IBRD, ICAO, ICFTU, IDA, IFAD, IFC, IFRCS (associate), IGAD, ILO, IMF, IMO, Interpol, IOC, ITU, NAM, OAU, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WToO |
| Diplomatic representation in the US: | chief of mission: Ambassador GIRMA Asmerom |
| Diplomatic representation in the US: | telephone: [1] (202) 319-1991 |
| Diplomatic representation in the US: | consulate(s) general: Oakland (California) |
| Diplomatic representation in the US: | FAX: [1] (202) 319-1304 |
| Diplomatic representation in the US: | chancery: 1708 New Hampshire Avenue NW, Washington, DC 20009 |
| Diplomatic representation from the US: | chief of mission: Ambassador Donald J. McCONNELL |
| Diplomatic representation from the US: | embassy: Franklin D. Roosevelt Street, Asmara |
| Diplomatic representation from the US: | mailing address: P. O. Box 211, Asmara |
| Diplomatic representation from the US: | telephone: [291] (1) 120004 |
| Diplomatic representation from the US: | FAX: [291] (1) 127584 |
| Flag description: | red isosceles triangle (based on the hoist side) dividing the flag into two right triangles; the upper triangle is green, the lower one is blue; a gold wreath encircling a gold olive branch is centered on the hoist side of the red triangle |
