| Government | Malawi |
| --- | --- |
| Country name: | conventional long form: Republic of Malawi |
| Country name: | conventional short form: Malawi |
| Country name: | local long form: Dziko la Malawi |
| Country name: | local short form: Malawi |
| Country name: | former: British Central African Protectorate, Nyasaland Protectorate, Nyasaland |
| Government type: | multiparty democracy |
| Capital: | name: Lilongwe |
| Capital: | geographic coordinates: 13 58 S, 33 47 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 28 districts; Balaka, Blantyre, Chikwawa, Chiradzulu, Chitipa, Dedza, Dowa, Karonga, Kasungu, Likoma, Lilongwe, Machinga (Kasupe), Mangochi, Mchinji, Mulanje, Mwanza, Mzimba, Neno, Ntcheu, Nkhata Bay, Nkhotakota, Nsanje, Ntchisi, Phalombe, Rumphi, Salima, Thyolo, Zomba |
| Independence: | 6 July 1964 (from the UK) |
| National holiday: | Independence Day (Republic Day), 6 July (1964) |
| Constitution: | 18 May 1994 |
| Legal system: | mixed legal system of English common law and customary law; judicial review of legislative acts in the Supreme Court of Appeal |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Joyce BANDA (since 7 April 2012); Vice President Khumbo Hastings KACHALI (since 11 April 2012); note - the president is both the chief of state and head of government; former President Bingu wa MUTHARIKA died on 5 April 2012, Vice President Joyce BANDA was subsequently sworn in on 7 April 2012 |
| Executive branch: | head of government: President Joyce BANDA (since 7 April 2012); Vice President Khumbo Hastings KACHALI (since 11 April 2012) |
| Executive branch: | cabinet: 46-member Cabinet named by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held on 19 May 2009 (next to be held in May 2014) |
| Executive branch: | election results: Bingu wa MUTHARIKA elected president; percent of vote - Bingu wa MUTHARIKA 66%, John TEMBO 30.7%, other 3.3%; note - MUTHARIKA passed away on 5 April 2012 and was succeeded by then vice president Joyce BANDA |
| Legislative branch: | unicameral National Assembly (193 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 19 May 2009 (next to be held in May 2014) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - DPP 114, MCP 26, UDF 17, independents 32, other 4 |
| Judicial branch: | Supreme Court of Appeal; High Court (chief justice appointed by the president, puisne judges appointed on the advice of the Judicial Service Commission); magistrate's courts |
| Political parties and leaders: | Alliance for Democracy or AFORD [Dindi NYASULU]; Congress of Democrats or CODE [Ralph KASAMBARA]; Democratic Progressive Party or DPP [Bingu wa MUTHARIKA]; Malawi Congress Party or MCP [John TEMBO]; Malawi Democratic Party or MDP [Kampelo KALUA]; Malawi Forum for Unity and Development or MAFUNDE [George MNESA]; Maravi People's Party [Uladi MUSSA]; National Unity Party or NUP [Harry CHIUME]; New Rainbow Coalition Party [Beatrice MWALE]; New Republican Party [Gwanda CHAKUWAMBA]; People's Progressive Movement or PPM [Aleke BANDA]; People's Transformation Movement or PETRA [Kamuzu CHIBAMBO]; Republican Party or RP [Stanley MASAULI]; United Democratic Front or UDF [Bakili MULUZI]; United Democratic Party [Kenedy KALAMBO] |
| Political pressure groups and leaders: | Agri-Ecology Media (agriculture and environmental group); Council for NGOs in Malawi or CONGOMA (human rights, democracy, and development); Human Rights Consultative Committee or HRCC (human rights); Malawi Law Society (human rights and law reform); Malawi Movement for the Restoration of Democracy or MMRD (acts to restore and maintain democracy); Public Affairs Committee or PAC (promotes democracy, development, peace and unity) |
| International organization participation: | ACP, AfDB, AU, C, CD, COMESA, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MONUSCO, NAM, OPCW, SADC, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Stephen D. Tennyson MATENJE |
| Diplomatic representation in the US: | chancery: 2408 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 721-0270 |
| Diplomatic representation in the US: | FAX: [1] (202) 721-0288 |
| Diplomatic representation from the US: | chief of mission: Ambassador Jeanine E. JACKSON |
| Diplomatic representation from the US: | embassy: 16 Jomo Kenyatta Road, Lilongwe 3 |
| Diplomatic representation from the US: | mailing address: P. O. Box 30016, Lilongwe 3, Malawi |
| Diplomatic representation from the US: | telephone: [265] (1) 773-166 |
| Diplomatic representation from the US: | FAX: [265] (1) 770-471 |
| Flag description: | three equal horizontal bands of black (top), red, and green with a radiant, rising, red sun centered on the black band; black represents the native peoples, red the blood shed in their struggle for freedom, and green the color of nature; the rising sun represents the hope of freedom for the continent of Africa |
| National anthem: | name: "Mulungu dalitsa Malawi" (Oh God Bless Our Land of Malawi) |
| National anthem: | lyrics/music: Michael-Fredrick Paul SAUKA |
| National anthem: | note: adopted 1964 |
