| Government | Malawi |
| --- | --- |
| Country name: | conventional long form: Republic of Malawi |
| Country name: | conventional short form: Malawi |
| Country name: | former: British Central African Protectorate, Nyasaland Protectorate, Nyasaland |
| Government type: | multiparty democracy |
| Capital: | Lilongwe |
| Administrative divisions: | 27 districts; Balaka, Blantyre, Chikwawa, Chiradzulu, Chitipa, Dedza, Dowa, Karonga, Kasungu, Likoma, Lilongwe, Machinga (Kasupe), Mangochi, Mchinji, Mulanje, Mwanza, Mzimba, Ntcheu, Nkhata Bay, Nkhotakota, Nsanje, Ntchisi, Phalombe, Rumphi, Salima, Thyolo, Zomba |
| Independence: | 6 July 1964 (from UK) |
| National holiday: | Independence Day (Republic Day), 6 July (1964) |
| Constitution: | 18 May 1994 |
| Legal system: | based on English common law and customary law; judicial review of legislative acts in the Supreme Court of Appeal; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Bakili MULUZI (since 21 May 1994); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Bakili MULUZI (since 21 May 1994); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: 46-member Cabinet named by the president |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 15 June 1999 (next to be held NA 2004) |
| Executive branch: | election results: Bakili MULUZI reelected president; percent of vote - Bakili MULUZI (UDF) 51.4%, Gwandaguluwe CHAKUAMBA (MCP-AFORD) 44.3% |
| Legislative branch: | unicameral National Assembly (193 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held 15 June 1999 (next to be held NA 2004) |
| Legislative branch: | election results: percent of vote by party - UDF 48%, MCP 34%, AFORD 15%, others 3%; seats by party - UDF 96, MCP 61, AFORD 30, others 6 |
| Judicial branch: | Supreme Court of Appeal; High Court (chief justice appointed by the president, puisne judges appointed on the advice of the Judicial Service Commission); magistrate's courts |
| Political parties and leaders: | Alliance for Democracy or AFORD [Chakufwa CHIHANA]; Malawi Congress Party or MCP [John TEMBO, president; Gwanda CHAKUAMBA, vice president]; Malawi Democratic Party or MDP [Kampelo KALUA]; United Democratic Front or UDF [Bakili MULUZI] - governing party |
| Political pressure groups and leaders: | National Democratic Alliance [Brown MPINGANJIRA] |
| International organization participation: | ACP, AfDB, C, ECA, FAO, G-77, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO (correspondent), ITU, MONUC, NAM, OAU, OPCW, SADC, UN, UNCTAD, UNESCO, UNIDO, UNMIK, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Paul Tony Steven KANDIERO |
| Diplomatic representation in the US: | FAX: [1] (202) 265-0976 |
| Diplomatic representation in the US: | telephone: [1] (202) 797-1007 |
| Diplomatic representation in the US: | chancery: 2408 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation from the US: | chief of mission: Ambassador Stephen BROWN |
| Diplomatic representation from the US: | embassy: Area 40, Plot 24, Kenyatta Road |
| Diplomatic representation from the US: | mailing address: P. O. Box 30016, Lilongwe 3, Malawi |
| Diplomatic representation from the US: | telephone: [265] (1) 773 166 |
| Diplomatic representation from the US: | FAX: [265] (1) 770 471 |
| Flag description: | three equal horizontal bands of black (top), red, and green with a radiant, rising, red sun centered in the black band |
| Government - note: | the executive exerts considerable influence over the legislature |
