| Government | Malawi |
| --- | --- |
| Country name: | conventional long form: Republic of Malawi |
| Country name: | conventional short form: Malawi |
| Country name: | local long form: Dziko la Malawi |
| Country name: | local short form: Malawi |
| Country name: | former: British Central African Protectorate, Nyasaland Protectorate, Nyasaland |
| Government type: | multiparty democracy |
| Capital: | name: Lilongwe |
| Capital: | geographic coordinates: 13 59 S, 33 44 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 27 districts; Balaka, Blantyre, Chikwawa, Chiradzulu, Chitipa, Dedza, Dowa, Karonga, Kasungu, Likoma, Lilongwe, Machinga (Kasupe), Mangochi, Mchinji, Mulanje, Mwanza, Mzimba, Ntcheu, Nkhata Bay, Nkhotakota, Nsanje, Ntchisi, Phalombe, Rumphi, Salima, Thyolo, Zomba |
| Independence: | 6 July 1964 (from UK) |
| National holiday: | Independence Day (Republic Day), 6 July (1964) |
| Constitution: | 18 May 1994 |
| Legal system: | based on English common law and customary law; judicial review of legislative acts in the Supreme Court of Appeal; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Bingu wa MUTHARIKA (since 24 May 2004); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Bingu wa MUTHARIKA (since 24 May 2004); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: 46-member Cabinet named by the president |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held 20 May 2004 (next to be held May 2009) |
| Executive branch: | election results: Bingu wa MUTHARIKA elected president; percent of vote - Bingu wa MUTHARIKA (UDF) 35.9%, John TEMBO (MCP) 27.1%, Gwandaguluwe CHAKUAMBA (MC) 25.7%, Brown MPINGANJIRA (NDA) 8.7%, Justin MALEWEZI (independent) 2.5% |
| Legislative branch: | unicameral National Assembly (193 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held 20 May 2004 (next to be held May 2009) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - UDF 74, MCP 60, Independents 24, RP 16, others 18, vacancies 1 |
| Judicial branch: | Supreme Court of Appeal; High Court (chief justice appointed by the president, puisne judges appointed on the advice of the Judicial Service Commission); magistrate's courts |
| Political parties and leaders: | Alliance for Democracy or AFORD [Chakufwa CHIHANA]; Congress for National Unity or CONU; Democratic Progressive Party or DPP [Bingu wa MUTHARIKA]; Malawi Congress Party or MCP [John TEMBO]; Malawi Democratic Party or MDP [Kampelo KALUA]; Malawi Forum for Unity and Development or MAFUNDE [George MNESA]; Mgwirizano Coalition or MC [Gwandaguluwe CHAKUAMBA] (coalition of MAFUNDE, MDP, MGODE, NUP, PETRA, PPM, RP); Movement for Genuine Democratic Change or MGODE [Sam Kandodo BANDA]; National Democratic Alliance or NDA [Brown MPINGANJIRA]; National Unity Party or NUP [Harry CHIUME]; People's Progressive Movement or PPM [Aleke BANDA]; People's Transformation Movement or PETRA [Kamuzu CHIBAMBO]; Republican Party or RP [Gwandaguluwe CHAKUAMBA]; United Democratic Front or UDF |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AfDB, AU, C, COMESA, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO (correspondent), ITU, MIGA, MONUC, NAM, ONUB, OPCW, SADC, UN, UNCTAD, UNESCO, UNIDO, UNMIL, UNMIS, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Bernard Herbert SANDE |
| Diplomatic representation in the US: | chancery: 1156 15th Street, NW, Suite 320, Washington, DC 20005 |
| Diplomatic representation in the US: | telephone: [1] (202) 721-0270 |
| Diplomatic representation in the US: | FAX: [1] (202) 721-0288 |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires David GILMOUR |
| Diplomatic representation from the US: | embassy: Area 40, Plot 24, Kenyatta Road |
| Diplomatic representation from the US: | mailing address: P. O. Box 30016, Lilongwe 3, Malawi |
| Diplomatic representation from the US: | telephone: [265] (1) 773 166 |
| Diplomatic representation from the US: | FAX: [265] (1) 770 471 |
| Flag description: | three equal horizontal bands of black (top), red, and green with a radiant, rising, red sun centered in the black band |
| Government - note: | the executive exerts considerable influence over the legislature |
