| Government | Malawi |
| --- | --- |
| Country name: | conventional long form: Republic of Malawi |
| Country name: | conventional short form: Malawi |
| Country name: | former: British Central African Protectorate, Nyasaland Protectorate, Nyasaland |
| Government type: | multiparty democracy |
| Capital: | Lilongwe |
| Administrative divisions: | 27 districts; Balaka, Blantyre, Chikwawa, Chiradzulu, Chitipa, Dedza, Dowa, Karonga, Kasungu, Likoma, Lilongwe, Machinga (Kasupe), Mangochi, Mchinji, Mulanje, Mwanza, Mzimba, Ntcheu, Nkhata Bay, Nkhotakota, Nsanje, Ntchisi, Phalombe, Rumphi, Salima, Thyolo, Zomba |
| Independence: | 6 July 1964 (from UK) |
| National holiday: | Independence Day (Republic Day), 6 July (1964) |
| Constitution: | 18 May 1994 |
| Legal system: | based on English common law and customary law; judicial review of legislative acts in the Supreme Court of Appeal; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Bingu wa MUTHARIKA (since 24 May 2004); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Bingu wa MUTHARIKA (since 24 May 2004); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: 46-member Cabinet named by the president |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 20 May 2004 (next to be held NA May 2009) |
| Executive branch: | election results: Bingu wa MUTHARIKA elected president; percent of vote - Bingu wa MUTHARIKA (UDF) 35.9%, John TEMBO (MCP) 27.1%, Gwandaguluwe CHAKUAMBA (MC) 25.7%, Brown MPINGANJIRA (NDA) 8.7%, Justin MALEWEZI (independent) 2.5% |
| Legislative branch: | unicameral National Assembly (193 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held 20 May 2004 (next to be held NA May 2009) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - MCP 56, UDF 49, Mgwirizano Coalition (MC) 25, independents 39, others 24 |
| Judicial branch: | Supreme Court of Appeal; High Court (chief justice appointed by the president, puisne judges appointed on the advice of the Judicial Service Commission); magistrate's courts |
| Political parties and leaders: | Alliance for Democracy or AFORD [Chakufwa CHIHANA]; Malawi Congress Party or MCP [John TEMBO]; Malawi Democratic Party or MDP [Kampelo KALUA]; Malawi Forum for Unity and Development or MAFUNDE [George MNESA]; Mgwirizano Coalition or MC (coalition of MAFUNDE, MDP, MGODE, NUP, PETRA, PPM, RP) [Gwandaguluwe Chakuamba]; Movement for Genuine Democratic Change or MGODE [Sam Kandodo BANDA]; National Democratic Alliance or NDA [Brown MPINGANJIRA]; National Unity Party or NUP [Harry CHIUME]; New Congress for Democracy or NCD [Hetherwick NTABA]; People's Progressive Movement or PPM [Aleke BANDA]; People's Transformation Movement or PETRA [Kamuzu CHIBAMBO]; Republican Party or RP [Gwandaguluwe Chakuamba]; United Democratic Front or UDF [Bingu wa MUTHARIKA] - governing party |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AfDB, AU, C, FAO, G-77, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO (correspondent), ITU, MIGA, MONUC, NAM, ONUB, OPCW, SADC, UN, UNCTAD, UNESCO, UNIDO, UNMIK, UNMIL, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Paul Tony Steven KANDIERO |
| Diplomatic representation in the US: | FAX: [1] (202) 265-0976 |
| Diplomatic representation in the US: | telephone: [1] (202) 797-1007 |
| Diplomatic representation in the US: | chancery: 2408 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation from the US: | chief of mission: Ambassador Stephen BROWNING |
| Diplomatic representation from the US: | embassy: Area 40, Plot 24, Kenyatta Road |
| Diplomatic representation from the US: | mailing address: P. O. Box 30016, Lilongwe 3, Malawi |
| Diplomatic representation from the US: | telephone: [265] (1) 773 166 |
| Diplomatic representation from the US: | FAX: [265] (1) 770 471 |
| Flag description: | three equal horizontal bands of black (top), red, and green with a radiant, rising, red sun centered in the black band |
| Government - note: | the executive exerts considerable influence over the legislature |
