| Government | Slovakia |
| --- | --- |
| Country name: | conventional long form: Slovak Republic |
| Country name: | conventional short form: Slovakia |
| Country name: | local long form: Slovenska Republika |
| Country name: | local short form: Slovensko |
| Government type: | parliamentary democracy |
| Capital: | name: Bratislava |
| Capital: | geographic coordinates: 48 09 N, 17 07 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 8 regions (kraje, singular - kraj); Banskobystricky, Bratislavsky, Kosicky, Nitriansky, Presovsky, Trenciansky, Trnavsky, Zilinsky |
| Independence: | 1 January 1993 (Czechoslovakia split into the Czech Republic and Slovakia) |
| National holiday: | Constitution Day, 1 September (1992) |
| Constitution: | ratified 1 September 1992, effective 1 January 1993; changed in September 1998 to allow direct election of the president; amended February 2001 to allow Slovakia to apply for NATO and EU membership |
| Legal system: | civil law system based on Austro-Hungarian codes; accepts compulsory ICJ jurisdiction with reservations; legal code modified to comply with the obligations of Organization on Security and Cooperation in Europe (OSCE) and to expunge Marxist-Leninist legal theory |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ivan GASPAROVIC (since 15 June 2004) |
| Executive branch: | head of government: Prime Minister Robert FICO (since 4 July 2006); Deputy Prime Ministers Dusan CAPLOVIC, Robert KALINAK, Stefan HARABIN, Jan MIKOLAJ (since 4 July 2006) |
| Executive branch: | cabinet: Cabinet appointed by the president on the recommendation of the prime minister |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held 3 April and 17 April 2004 (next to be held in April 2009); following National Council elections, the leader of the majority party or the leader of a majority coalition is usually appointed prime minister by the president |
| Executive branch: | election results: Ivan GASPAROVIC elected president in runoff; percent of vote - Ivan GASPAROVIC 59.9%, Vladimir MECIAR 40.1% |
| Legislative branch: | unicameral National Council of the Slovak Republic or Narodna Rada Slovenskej Republiky (150 seats; members are elected on the basis of proportional representation to serve four-year terms) |
| Legislative branch: | elections: last held 17 June 2006 (next to be held in 2010) |
| Legislative branch: | election results: percent of vote by party - Smer 29.1%, SDKU 18.4%, SMK 11.7%, SNS 11.7%, LS-HZDS 8.8%, KDH 8.3%, other 12%; seats by party - Smer 50, SDKU 31, SMK 20, SNS 19, LS-HZDS 16, KDH 14 |
| Judicial branch: | Supreme Court (judges are elected by the National Council); Constitutional Court (judges appointed by president from group of nominees approved by the National Council); Special Court (judges elected by a council of judges and appointed by president) |
| Political parties and leaders: | Parties in the Parliament: Christian Democratic Movement or KDH [Pavol HRUSOVSKY]; Direction-Social Democracy or Smer-SD [Robert FICO]; Party of the Hungarian Coalition or SMK [Pal CSAKY]; People's Party - Movement for a Democratic Slovakia or LS-HZDS [Vladimir MECIAR]; Slovak Democratic and Christian Union or SDKU-DS [Mikulas DZURINDA]; Slovak National Party or SNS [Jan SLOTA]; Parties outside the Parliament: Agrarian Party of the Provinces or ASV [Jozef VASKEBA]; Civic Conservative Party or OKS [Peter TATAR]; Free Forum [Zuzana MARTINAKOVA]; Hope or NADEJ [Alexandra NOVOTNA]; Left-wing Bloc or LB [Jozef KALMAN]; Mission 21 - New Christian Democracy or MISIA 21 [Ivan SIMKO]; Movement for Democracy or HZD [Jozef GRAPA]; New Citizens Alliance or ANO [Pavol RUSKO]; Party of the Democratic Left or SDL [Ladislav KOZMON]; Prosperita Slovenska or PS [Frantisek A. ZVRSKOVEC]; Slovak Communist Party or KSS [Vladimir DADO]; Slovak National Coalition or SLNKO [Vitazoslav MORIC]; Slovak People's Party or SLS [Jozef SASIK]; Union of the Workers of Slovakia or ZRS [Jan LUPTAK] |
| Political pressure groups and leaders: | Association of Towns and Villages or ZMOS; Confederation of Trade Unions or KOZ; Entrepreneurs Association of Slovakia or ZPS; Federation of Employers' Associations of the Slovak Republic; National Union of Employers or RUZ; Slovak Chamber of Commerce and Industry or SOPK; The Business Alliance of Slovakia or PAS |
| International organization participation: | Australia Group, BIS, BSEC (observer), CBSS (observer), CE, CEI, CERN, EAPC, EBRD, EIB, EU, FAO, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITU, ITUC, MIGA, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, OIF (observer), OPCW, OSCE, PCA, Schengen Convention, SECI (observer), UN, UNCTAD, UNESCO, UNFICYP, UNIDO, UNTSO, UNWTO, UPU, WCL, WCO, WEU (associate partner), WFTU, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Peter BURIAN |
| Diplomatic representation in the US: | chancery: 3523 International Court NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 237-1054 |
| Diplomatic representation in the US: | FAX: [1] (202) 237-6438 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Vincent OBSITNIK |
| Diplomatic representation from the US: | embassy: Hviezdoslavovo Namestie 4, 81102 Bratislava |
| Diplomatic representation from the US: | mailing address: P.O. Box 309, 814 99 Bratislava |
| Diplomatic representation from the US: | telephone: [421] (2) 5443-3338 |
| Diplomatic representation from the US: | FAX: [421] (2) 5441-8861 |
| Flag description: | three equal horizontal bands of white (top), blue, and red superimposed with the coat of arms of Slovakia (consisting of a red shield bordered in white and bearing a white Cross of Lorraine surmounting three blue hills); the coat of arms is centered vertically and offset slightly to the hoist side |
