| Government | Slovakia |
| --- | --- |
| Country name: | conventional long form: Slovak Republic |
| Country name: | conventional short form: Slovakia |
| Country name: | local long form: Slovenska republika |
| Country name: | local short form: Slovensko |
| Government type: | parliamentary democracy |
| Capital: | name: Bratislava |
| Capital: | geographic coordinates: 48 09 N, 17 07 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 8 regions (kraje, singular - kraj); Banskobystricky, Bratislavsky, Kosicky, Nitriansky, Presovsky, Trenciansky, Trnavsky, Zilinsky |
| Independence: | 1 January 1993 (Czechoslovakia split into the Czech Republic and Slovakia) |
| National holiday: | Constitution Day, 1 September (1992) |
| Constitution: | ratified 1 September 1992, effective 1 January 1993; changed September 1998; amended February 2001 |
| Constitution: | note: the change in September 1998 allowed direct election of the president; the amendment of February 2001 allowed Slovakia to apply for NATO and EU membership |
| Legal system: | civil law system based on Austro-Hungarian codes; note - legal code modified to comply with the obligations of Organization on Security and Cooperation in Europe and to expunge Marxist-Leninist legal system |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ivan GASPAROVIC (since 15 June 2004) |
| Executive branch: | head of government: Prime Minister Robert FICO (since 4 April 2012); Deputy Prime Ministers Robert KALINAK, Peter KAZIMIR, Miroslav LAJCAK (since 4 April 2012), Lubomir VAZNY (since 26 November 2012) |
| Executive branch: | cabinet: Cabinet appointed by the president on the recommendation of the prime minister |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held on 21 March and 4 April 2009 (next to be held no later than April 2014); following National Council elections, the leader of the majority party or the leader of a majority coalition usually appointed prime minister by the president |
| Executive branch: | election results: Ivan GASPAROVIC reelected president in runoff; percent of vote - Ivan GASPAROVIC 55.5%, Iveta RADICOVA 44.5% |
| Legislative branch: | unicameral National Council of the Slovak Republic or Narodna Rada Slovenskej Republiky (150 seats; members elected on the basis of proportional representation to serve four-year terms) |
| Legislative branch: | elections: last held on 10 March 2012 (next to be held in 2016) |
| Legislative branch: | election results: percent of vote by party - Smer-SD 44.4%, KDH 8.8%, OLaNO 8.6%, Most-Hid 6.9%, SDKU-DS 6.1%, SaS 5.9%, other 19.3%; seats by party - Smer-SD 83, KDH 16, OLaNO 16, Most-Hid 13, SDKU-DS 11, SaS 11 |
| Judicial branch: | Supreme Court (judges are elected by the National Council); Constitutional Court (judges appointed by president from group of nominees approved by the National Council) |
| Political parties and leaders: | parties in the Parliament: Bridge or Most-Hid [Bela BUGAR]; Christian Democratic Movement or KDH [Jan FIGEL]; Direction-Social Democracy or Smer-SD [Robert FICO]; Freedom and Solidarity or SaS [Richard SULIK]; Ordinary People and Independent Personalities or OLaNO [Igor MATOVIC]; Slovak Democratic and Christian Union-Democratic Party or SDKU-DS [Pavol FRESO] |
| Political parties and leaders: | selected parties outside the Parliament: Civic Conservative Party or OKS [Ondrej DOSTAL]; Nation and Justice - Our Party or NAS [Anna BELOUSOVOVA]; Party of the Democratic Left or SDL [Jozef DURICA]; Party of the Hungarian Coalition or SMK [Jozsef BERENYI]; People's Party - Movement for a Democratic Slovakia or LS-HZDS [Vladimir MECIAR]; People's Party - Our Slovakia or LSNS [Marian KOTLEBA]; Slovak National Party or SNS [Andrej DANKO] |
| Political pressure groups and leaders: | Association of Towns and Villages or ZMOS; Confederation of Trade Unions or KOZ; Entrepreneurs Association of Slovakia or ZPS; Federation of Employers' Associations of the Slovak Republic; Medical Trade Association or LOZ; National Union of Employers or RUZ; Slovak Chamber of Commerce and Industry or SOPK; The Business Alliance of Slovakia or PAS |
| International organization participation: | Australia Group, BIS, BSEC (observer), CBSS (observer), CD, CE, CEI, CERN, EAPC, EBRD, ECB, EIB, EMU, EU, FAO, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IEA, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITU, ITUC (NGOs), MIGA, NATO, NEA, NSG, OAS (observer), OECD, OIF (observer), OPCW, OSCE, PCA, Schengen Convention, SELEC (observer), UN, UNCTAD, UNESCO, UNFICYP, UNIDO, UNTSO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Peter KMEC |
| Diplomatic representation in the US: | chancery: 3523 International Court NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 237-1054 |
| Diplomatic representation in the US: | FAX: [1] (202) 237-6438 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Theodore SEDGWICK |
| Diplomatic representation from the US: | embassy: Hviezdoslavovo Namestie 4, 81102 Bratislava |
| Diplomatic representation from the US: | mailing address: P.O. Box 309, 814 99 Bratislava |
| Diplomatic representation from the US: | telephone: [421] (2) 5443-3338 |
| Diplomatic representation from the US: | FAX: [421] (2) 5441-8861 |
| Flag description: | three equal horizontal bands of white (top), blue, and red derive from the Pan-Slav colors; the Slovakian coat of arms (consisting of a red shield bordered in white and bearing a white double-barred cross of St. Cyril and St. Methodius surmounting three blue hills) is centered over the bands but offset slightly to the hoist side |
| Flag description: | note: the Pan-Slav colors were inspired by the 19th-century flag of Russia |
| National symbol(s): | double-barred cross (Cross of St. Cyril and St. Methodius) surmounting three peaks |
| National anthem: | name: "Nad Tatrou sa blyska" (Lightning Over the Tatras) |
| National anthem: | lyrics/music: Janko MATUSKA/traditional |
| National anthem: | note: adopted 1993, in use since 1844; the anthem's music is based on the Slovak folk song "Kopala studienku" |
