| Government | Korea, North |
| --- | --- |
| Country name: | conventional long form: Democratic People's Republic of Korea |
| Country name: | conventional short form: North Korea |
| Country name: | local long form: Choson-minjujuui-inmin-konghwaguk |
| Country name: | local short form: Choson |
| Country name: | abbreviation: DPRK |
| Government type: | Communist state one-man dictatorship |
| Capital: | name: Pyongyang |
| Capital: | geographic coordinates: 39 01 N, 125 45 E |
| Capital: | time difference: UTC+9 (14 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 9 provinces (do, singular and plural) and 2 municipalities (si, singular and plural) |
| Administrative divisions: | provinces: Chagang-do (Chagang), Hamgyong-bukto (North Hamgyong), Hamgyong-namdo (South Hamgyong), Hwanghae-bukto (North Hwanghae), Hwanghae-namdo (South Hwanghae), Kangwon-do (Kangwon), P'yongan-bukto (North P'yongan), P'yongan-namdo (South P'yongan), Yanggang-do (Yanggang) |
| Administrative divisions: | municipalities: Nason-si, P'yongyang-si (Pyongyang) |
| Independence: | 15 August 1945 (from Japan) |
| National holiday: | Founding of the Democratic People's Republic of Korea (DPRK), 9 September (1948) |
| Constitution: | previous 1948, 1972 (revised several times); latest adopted 1998 (during KIM Jong Il era); revised 2009, 2012 (2012) |
| Legal system: | civil law system based on the Prussian model; system influenced by Japanese traditions and Communist legal theory |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 17 years of age; universal |
| Executive branch: | chief of state: KIM Jong Un (since 17 December 2011); note - the rubberstamp Supreme People's Assembly (SPA) reelected KIM Yong Nam in 2009 president of its Presidium with responsibility of representing state and receiving diplomatic credentials |
| Executive branch: | head of government: Premier PAK Pong-ju (since 2 April 2013); Vice Premiers: HAN Kwang Bok (since 7 June 2010), JO Pyong Ju (since 7 June 2010), JON Ha Chol (since 7 June 2010), KANG Nung Su (since 7 June 2010), KANG Sok Ju (since 23 September 2010), KIM In Sik (since 13 April 2012), KIM Rak Hui (since 7 June 2010), KIM Yong Jin (since 6 January 2012), PAK Su Gil (since 18 September 2009), RI Chol Man (since 13 April 2012), RI Mu Yong (since 31 May 2011), RI Sung Ho (since 13 April 2012), RO Tu Chol (since 3 September 2003) |
| Executive branch: | cabinet: Naegak (cabinet) members, except for Minister of People's Armed Forces, are appointed by SPA |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: last election held in April 2012; date of next election NA |
| Executive branch: | election results: KIM Jong Un elected unopposed |
| Legislative branch: | unicameral Supreme People's Assembly or Ch'oego Inmin Hoeui (687 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 8 March 2009 (next to be held in March 2014) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - NA; ruling party approves a list of candidates who are elected without opposition; a token number of seats are reserved for minor parties |
| Judicial branch: | highest court(s): Supreme Court or Central Court (consists of the chief justice and two "People's Assessors" and for some cases, 3 judges) |
| Judicial branch: | judge selection and term of office: judges elected by the Supreme People's Assembly for  5-year terms |
| Judicial branch: | subordinate courts: provincial, municipal, military, special courts; people' courts (lowest level) |
| Political parties and leaders: | major party: |
| Political parties and leaders: | Korean Workers' Party or KWP [KIM Jong Un] |
| minor parties: | Chondoist Chongu Party [RYU Mi Yong] (under KWP control) |
| minor parties: | Social Democratic Party [KIM Yong Dae] (under KWP control) |
| Political pressure groups and leaders: | none |
| International organization participation: | ARF, FAO, G-77, ICAO, ICC (NGOs), ICRM, IFAD, IFRCS, IHO, IMO, IOC, IPU, ISO, ITSO, ITU, NAM, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WFTU (NGOs), WHO, WIPO, WMO |
| Diplomatic representation in the US: | none; North Korea has a Permanent Mission to the UN in New York |
| Diplomatic representation from the US: | none; note - Swedish Embassy in Pyongyang represents the US as consular protecting power |
| Flag description: | three horizontal bands of blue (top), red (triple width), and blue; the red band is edged in white; on the hoist side of the red band is a white disk with a red five-pointed star; the broad red band symbolizes revolutionary traditions; the narrow white bands stands for purity, strength, and dignity; the blue bands signify sovereignty, peace, and friendship; the red star represents socialism |
| National symbol(s): | red star |
| National anthem: | name: "Aegukka" (Patriotic Song) |
| National anthem: | lyrics/music: PAK Se Yong/KIM Won Gyun |
| National anthem: | note: adopted 1947; both North Korea and South Korea's anthems share the same name and have a vaguely similar melody but have different lyrics; the North Korean anthem is also known as "Ach'imun pinnara" (Let Morning Shine) |
