| Government | Peru |
| --- | --- |
| Country name: | conventional long form: Republic of Peru |
| Country name: | conventional short form: Peru |
| Country name: | local long form: Republica del Peru |
| Country name: | local short form: Peru |
| Country name: | etymology: exact meaning is obscure, but the name may derive from a native word "biru" meaning "river" |
| Government type: | presidential republic |
| Capital: | name: Lima |
| Capital: | geographic coordinates: 12 03 S, 77 03 W |
| Capital: | time difference: UTC-5 (same time as Washington, DC, during Standard Time) |
| Capital: | etymology: the word "Lima" derives from the Spanish pronunciation of "Limaq," the native name for the valley in which the city was founded in 1535; "limaq" means "talker" in coastal Quechua and referred to an oracle that was situated in the valley but which was eventually destroyed by the Spanish and replaced with a church |
| Administrative divisions: | 25 regions (regiones, singular - region) and 1 province* (provincia); Amazonas, Ancash, Apurimac, Arequipa, Ayacucho, Cajamarca, Callao, Cusco, Huancavelica, Huanuco, Ica, Junin, La Libertad, Lambayeque, Lima, Lima*, Loreto, Madre de Dios, Moquegua, Pasco, Piura, Puno, San Martin, Tacna, Tumbes, Ucayali |
| Administrative divisions: | note: Callao, the largest port in Peru, is also referred to as a constitutional province, the only province of the Callao region |
| Independence: | 28 July 1821 (from Spain) |
| National holiday: | Independence Day, 28-29 July (1821) |
| Constitution: | history: several previous; latest promulgated 29 December 1993, enacted 31 December 1993 |
| Constitution: | amendments: proposed by Congress, by the president of the republic with the approval of the "Cabinet, " or by petition of at least 0.3% of voters; passage requires absolute majority approval by the Congress membership, followed by approval in a referendum; a referendum is not required if Congress approves the amendment by greater than two-thirds majority vote in each of two successive sessions; amended many times, last in 2018 (2018) |
| Legal system: | civil law system |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent only: yes |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 2 years |
| Suffrage: | 18 years of age; universal and compulsory until the age of 70 |
| Executive branch: | chief of state: President Martin Alberto VIZCARRA Cornejo (since 23 March 2018); First Vice President (vacant); Second Vice President (vacant); note - the 21 March 2018 resignation of President Pedro Pablo KUCZYNSKI Godard (since 28 July 2016) was accepted by parliament on 23 March 2018; the president is both chief of state and head of government |
| Executive branch: | head of government: President Martin Alberto VIZCARRA Cornejo (since 23 March 2018); First Vice President (vacant); Second Vice President (vacant) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for nonconsecutive terms); election last held on 10 April 2016 with a runoff on 5 June 2016 (next to be held in April 2021) |
| Executive branch: | election results: Pedro Pablo KUCZYNSKI Godard elected president in second round; percent of vote in first round - Keiko FUJIMORI Higuchi (Fuerza Popular) 39.9%, Pedro Pablo KUCZYNSKI Godard (Peruanos Por el Kambio) 21.1%, Veronika MENDOZA (Broad Front) 18.7%, Alfredo BARNECHEA (Popular Action) 7%, Alan GARCIA (APRA) 5.8%, other 7.5%; percent of vote in second round - Pedro Pablo KUCZYNSKI Godard 50.1%, Keiko FUJIMORI Higuchi 49.9% |
| Executive branch: | note: Prime Minister Vicente Antonio ZEBALLOS Salinas (since 30 September 2019) does not exercise executive power; this power rests with the president |
