| Government | LAOS |
| --- | --- |
| Country name: | conventional long form: Lao People's Democratic Republic |
| Country name: | conventional short form: Laos |
| Country name: | local long form: Sathalanalat Paxathipatai Paxaxon Lao |
| Country name: | local short form: Pathet Lao (unofficial) |
| Government type: | Communist state |
| Capital: | name: Vientiane (Viangchan) |
| Capital: | geographic coordinates: 17 58 N, 102 36 E |
| Capital: | time difference: UTC+7 (12 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 17 provinces (khoueng, singular and plural) and 1 capital city* (nakhon luang, singular and plural); Attapu, Bokeo, Bolikhamxai, Champasak, Houaphan, Khammouan, Louangnamtha, Louangphabang, Oudomxai, Phongsali, Salavan, Savannakhet, Viangchan (Vientiane)*, Viangchan, Xaignabouli, Xaimsomboun, Xekong, Xiangkhouang |
| Independence: | 19 July 1949 (from France) |
| National holiday: | Republic Day, 2 December (1975) |
| Constitution: | previous 1947 (preindependence); latest promulgated 13-15 August 1991; amended 2003 (2003) |
| Legal system: | civil law system similar in form to the French system |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Lt. Gen. CHOUMMALI Saignason (since 8 June 2006); Vice President BOUN-GNANG Volachit (since 8 June 2006) |
| Executive branch: | head of government: Prime Minister THONGSING Thammavong (since 24 December 2010); Deputy Prime Ministers SOMSAVAT Lengsavat (since 26 February 1998), THONGLOUN Sisoulit (since 27 March 2001), Maj. Gen. ASANG Laoli (since May 2002), BOUNPON Bouttanavong (since July 2014), PHANKHAM Viphavan (since July 2014) |
| Executive branch: | cabinet: Council of Ministers appointed by the president, approved by the National Assembly |
| Executive branch: | elections/appointments: president and vice president indirectly elected by the National Assembly for a 5-year term (no term limits); election last held on 30 April 2011 (next to be held in 2016); prime minister nominated by the president, elected by the National Assembly for 5-year term |
| Executive branch: | election results: CHOUMMALI Saignason (LPRP) reelected president; BOUN-GNANG Volachit  reelected vice president; percent of National Assembly vote - NA; THONGSING Thammavong elected prime minister; percent of National Assembly vote - NA |
| Legislative branch: | description: unicameral National Assembly or Sapha Heng Xat (132 seats; members directly elected in multi-seat constituencies by simple majority vote from candidate lists provided by the Lao People's Revolutionary Party; members serve 5-year terms) |
| Legislative branch: | elections: last held on 30 April 2011 (next to be held in 2016) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - LPRP 128, independents 4 |
| Judicial branch: | highest court(s): People's Supreme Court (consists of NA judges) |
| Judicial branch: | judge selection and term of office: president of People's Supreme Court elected by National Assembly on recommendation of National Assembly Standing Committee; vice president of People's Supreme Court and judges appointed by National Assembly Standing Committee; judge tenure NA |
| Judicial branch: | subordinate courts: provincial, municipal, district, and military courts |
| Political parties and leaders: | Lao People's Revolutionary Party or LPRP [CHOUMMALI Saignason]; other parties proscribed |
| Political pressure groups and leaders: | NA |
| International organization participation: | ADB, ARF, ASEAN, CP, EAS, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IPU, ISO (subscriber), ITU, MIGA, NAM, OIF, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Mai SAYAVONGS (since 3 August 2015) |
| Diplomatic representation in the US: | chancery: 2222 S Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-6416 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-4923 |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation from the US: | chief of mission: Ambassador David A. CLUNE (since 16 September 2013) |
| Diplomatic representation from the US: | embassy: Thadeua Road, Kilometer 9, Ban Somvang Thai, Haysatfong District, Vientiane |
| Diplomatic representation from the US: | mailing address: American Embassy Vientiane, Unit 8165, APO AP 96546 |
| Diplomatic representation from the US: | telephone: [856] 21-48-7000 |
| Diplomatic representation from the US: | FAX: [856] 21-48-7190 |
| Flag description: | three horizontal bands of red (top), blue (double width), and red with a large white disk centered in the blue band; the red bands recall the blood shed for liberation; the blue band represents the Mekong River and prosperity; the white disk symbolizes the full moon against the Mekong River, but also signifies the unity of the people under the Lao People's Revolutionary Party, as well as the country's bright future |
| National symbol(s): | elephant; national colors: red, white, blue |
| National anthem: | name: "Pheng Xat Lao" (Hymn of the Lao People) |
| National anthem: | lyrics/music: SISANA Sisane/THONGDY Sounthonevichit |
| National anthem: | note: music adopted 1945, lyrics adopted 1975; the anthem's lyrics were changed following the 1975 Communist revolution that overthrew the monarchy |
