| Government | Laos |
| --- | --- |
| Country name: | conventional long form: Lao People's Democratic Republic |
| Country name: | conventional short form: Laos PDR or Laos |
| Country name: | local long form: Sathalanalat Paxathipatai Paxaxon Lao |
| Country name: | local short form: none |
| Government type: | Communist state |
| Capital: | name: Vientiane |
| Capital: | geographic coordinates: 17 58 N, 102 36 E |
| Capital: | time difference: UTC+7 (12 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 16 provinces (khoueng, singular and plural), 1 municipality* (kampheng nakhon, singular and plural), and 1 special zone** (khetphiset, singular and plural); Attapu, Bokeo, Bolikhamxai, Champasak, Houaphan, Khammouan, Louangnamtha, Louangphrabang, Oudomxai, Phongsali, Salavan, Savannakhet, Viangchan (Vientiane)*, Viangchan, Xaignabouli, Xaisomboun**, Xekong, Xiangkhoang |
| Independence: | 19 July 1949 (from France) |
| National holiday: | Republic Day, 2 December (1975) |
| Constitution: | promulgated 14 August 1991 |
| Legal system: | based on traditional customs, French legal norms and procedures, and socialist practice |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Lt. Gen. CHOUMMALI Saignason (since 8 June 2006) and Vice President BOUN-GNANG Volachit (since 8 June 2006) |
| Executive branch: | head of government: Prime Minister BOUASONE Bouphavanh (since 8 June 2006); Deputy Prime Minister Maj. Gen. ASANG Laoli (since May 2002), Deputy Prime Minister Maj. Gen. DOUANGCHAI Phichit [since 8 June 2006], Deputy Prime Minister SOMSAVAT Lengsavat (since 26 February 1998), and Deputy Prime Minister THONGLOUN Sisolit (since 27 March 2001) |
| Executive branch: | cabinet: Council of Ministers appointed by the president, approved by the National Assembly |
| Executive branch: | elections: president and vice president elected by the National Assembly for five-year terms; election last held 8 June 2006 (next to be held in 2011); prime minister nominated by the president and elected by the National Assembly for a five-year term |
| Executive branch: | election results: CHOUMMALI Saignason elected president; BOUN-GNANG Volachit elected vice president; percent of National Assembly vote - 100%; BOUASONE Bouphavanh elected prime minister; percent of National Assembly vote - 97% |
| Legislative branch: | unicameral National Assembly (115 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held 30 April 2006 (next to be held in 2011) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - LPRP 113, independents 2 |
| Judicial branch: | People's Supreme Court (the president of the People's Supreme Court is elected by the National Assembly on the recommendation of the National Assembly Standing Committee; the vice president of the People's Supreme Court and the judges are appointed by the National Assembly Standing Committee) |
| Political parties and leaders: | Lao People's Revolutionary Party or LPRP [CHOUMMALY Sayasone]; other parties proscribed |
| Political pressure groups and leaders: | noncommunist political groups proscribed; most opposition leaders fled the country in 1975 |
| International organization participation: | ACCT, APT, ARF, AsDB, ASEAN, CP, EAS, FAO, G-77, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IPU, ITU, MIGA, NAM, OIF, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WToO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador PHANTHONG Phommahaxay |
| Diplomatic representation in the US: | chancery: 2222 S Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-6416 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-4923 |
| Diplomatic representation from the US: | chief of mission: Ambassador Patricia M. HASLACH |
| Diplomatic representation from the US: | embassy: 19 Rue Bartholonie, That Dam Road, Vientiane |
| Diplomatic representation from the US: | mailing address: American Embassy Vientiane, Box V, APO AP 96546 |
| Diplomatic representation from the US: | telephone: [856] 21-26 7000 |
| Diplomatic representation from the US: | FAX: [856] 21-26 7074 |
| Flag description: | three horizontal bands of red (top), blue (double width), and red with a large white disk centered in the blue band |
