| Government | Laos |
| --- | --- |
| Country name: | conventional long form: Lao People's Democratic Republic |
| Country name: | conventional short form: Laos |
| Country name: | local long form: Sathalanalat Paxathipatai Paxaxon Lao |
| Country name: | local short form: Mueang Lao (unofficial) |
| Country name: | etymology: name means "Land of the Lao [people]" |
| Government type: | communist state |
| Capital: | name: Vientiane (Viangchan) |
| Capital: | geographic coordinates: 17 58 N, 102 36 E |
| Capital: | time difference: UTC+7 (12 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: the meaning in Pali, a Buddhist liturgical language, is "city of sandalwood" |
| Administrative divisions: | 17 provinces (khoueng, singular and plural) and 1 prefecture* (kampheng nakhon); Attapu, Bokeo, Bolikhamxai, Champasak, Houaphan, Khammouan, Louangnamtha, Louangphabang, Oudomxai, Phongsali, Salavan, Savannakhet, Viangchan (Vientiane)*, Viangchan, Xaignabouli, Xaisomboun, Xekong, Xiangkhouang |
| Independence: | 19 July 1949 (from France by the Franco-Lao General Convention); 22 October 1953 (Franco-Lao Treaty recognizes full independence) |
| National holiday: | Republic Day (National Day), 2 December (1975) |
| Constitution: | history: previous 1947 (preindependence); latest promulgated 13-15 August 1991 |
| Constitution: | amendments: proposed by the National Assembly; passage requires at least two-thirds majority vote of the Assembly membership and promulgation by the president of the republic; amended 2003, 2015 (2018) |
| Legal system: | civil law system similar in form to the French system |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Laos |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President BOUNNYANG Vorachit (since 20 April 2016); Vice President PHANKHAM Viphavan (since 20 April 2016) |
| Executive branch: | head of government: Prime Minister THONGLOUN Sisoulit (since 20 April 2016); Deputy Prime Ministers BOUNTHONG Chitmani, SONXAI Siphandon, SOMDI Douangdi (since 20 April 2016) |
| Executive branch: | cabinet: Council of Ministers appointed by the president, approved by the National Assembly |
| Executive branch: | elections/appointments: president and vice president indirectly elected by the National Assembly for a 5-year term (no term limits); election last held on 20 April 2016 (next to be held in 2021); prime minister nominated by the president, elected by the National Assembly for 5-year term |
| Executive branch: | election results: BOUNNYANG Vorachit (LPRP) elected president; PHANKHAM Viphavan (LPRP) elected vice president; percent of National Assembly vote - NA; THONGLOUN Sisoulit (LPRP) elected prime minister; percent of National Assembly vote - NA |
| Legislative branch: | description: unicameral National Assembly or Sapha Heng Xat (149 seats; members directly elected in multi-seat constituencies by simple majority vote from candidate lists provided by the Lao People's Revolutionary Party; members serve 5-year terms) |
| Legislative branch: | elections: last held on 20 March 2016 (next to be held in 2021) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - LPRP 144, independent 5; composition - men 108, women 41, percent of women 27.5% |
| Judicial branch: | highest courts: People's Supreme Court (consists of the court president and organized into criminal, civil, administrative, commercial, family, and juvenile chambers, each with a vice president and several judges) |
| Judicial branch: | judge selection and term of office: president of People's Supreme Court appointed by the National Assembly upon the recommendation of the president of the republic for a 5-year term; vice presidents of the People's Supreme Court appointed by the president of the republic upon the recommendation of the National Assembly; appointment of chamber judges NA; tenure of court vice presidents and chamber judges NA |
| Judicial branch: | subordinate courts: appellate courts; provincial, municipal, district, and military courts |
| Political parties and leaders: | Lao People's Revolutionary Party or LPRP [BOUNNYANG Vorachit] |
| Political parties and leaders: | note: other parties proscribed |
| International organization participation: | ADB, ARF, ASEAN, CP, EAS, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IPU, ISO (subscriber), ITU, MIGA, NAM, OIF, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | Ambassador Khamphan ANLAVAN (since July 2019) |
| Diplomatic representation in the US: | chancery: 2222 S Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-6416 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-4923 |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Rena BITTER (since 2 November 2016) |
| Diplomatic representation from the US: | telephone: [856] 21-48-7000 |
| Diplomatic representation from the US: | embassy: Thadeua Road, Kilometer 9, Ban Somvang Tai, Hatsayfong District, Vientiane |
| Diplomatic representation from the US: | mailing address: American Embassy Vientiane, Unit 46222, APO AP 96546-6222 |
| Diplomatic representation from the US: | FAX: [856] 21-48-7190 |
| Flag description: | three horizontal bands of red (top), blue (double width), and red with a large white disk centered in the blue band; the red bands recall the blood shed for liberation; the blue band represents the Mekong River and prosperity; the white disk symbolizes the full moon against the Mekong River, but also signifies the unity of the people under the Lao People's Revolutionary Party, as well as the country's bright future |
| National symbol(s): | elephant; national colors: red, white, blue |
| National anthem: | name: "Pheng Xat Lao" (Hymn of the Lao People) |
| National anthem: | lyrics/music: SISANA Sisane/THONGDY Sounthonevichit |
| National anthem: | note: music adopted 1945, lyrics adopted 1975; the anthem's lyrics were changed following the 1975 Communist revolution that overthrew the monarchy |
