| Government | ARMENIA |
| --- | --- |
| Country name: | conventional long form: Republic of Armenia |
| Country name: | conventional short form: Armenia |
| Country name: | local long form: Hayastani Hanrapetut'yun |
| Country name: | local short form: Hayastan |
| Country name: | former: Armenian Soviet Socialist Republic, Armenian Republic |
| Country name: | etymology: the etymology of the country's name remains obscure; according to tradition, the country is named after Hayk, the legendary patriarch of the Armenians and the great-great-grandson of Noah; Hayk's descendant, Aram, purportedly is the source of the name Armenia |
| Government type: | parliamentary democracy |
| Capital: | name: Yerevan |
| Capital: | geographic coordinates: 40 10 N, 44 30 E |
| Capital: | time difference: UTC+4 (9 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 11 provinces (marzer, singular - marz); Aragatsotn, Ararat, Armavir, Geghark'unik', Kotayk', Lorri, Shirak, Syunik', Tavush, Vayots' Dzor, Yerevan |
| Independence: | 21 September 1991 (from the Soviet Union) |
| National holiday: | Independence Day, 21 September (1991) |
| Constitution: | history: previous 1915, 1978; latest adopted 5 July 1995 |
| Constitution: | amendments: proposed by the president of the republic or by the National Assembly; passage requires approval by the president, by the National Assembly, and by a referendum with at least 25% registered voter participation and more than 50% of votes; constitutional articles on the form of government and democratic procedures are not amendable; amended 2005, 2007, 2008, last in 2015 |
| Constitution: | note: a 2015 amendment, approved in December 2015 by a public referendum and effective for the 2017-18 electoral cycle, changes the government type from the current semi-presidential system to a parliamentary system (2017) |
| Legal system: | civil law system |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Armenia |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 3 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Serzh SARGSIAN (since 9 April 2008) |
| Executive branch: | head of government: Prime Minister Karen KARAPETYAN (since 13 September 2016) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 18 February 2013 (next to be held in February 2018); prime minister appointed by the president based on majority support in the National Congress; the prime minister and Council of Ministers must resign if the National Congress refuses to accept their program |
| Executive branch: | election results: Serzh SARGSIAN reelected president in first round; percent of vote - Serzh SARGSIAN (RPA) 58.6%, Raffi HOVHANNISIAN (Heritage Party) 36.7%, Hrant BAGRATIAN (ANM) 2.2%, other 2.5% |
| Executive branch: | note: constitutional changes adopted in December 2015 will transform the government to a parliamentary system by 2018; for the scheduled February 2018 election, the president will be indirectly elected by parliament and will serve a single 7-year term; following the 2018 election, the prime minister will be elected based on majority support of the National Assembly |
