| Government | Armenia |
| --- | --- |
| Country name: | conventional long form: Republic of Armenia |
| Country name: | conventional short form: Armenia |
| Country name: | local short form: Hayastan |
| Country name: | former: Armenian Soviet Socialist Republic; Armenian Republic |
| Country name: | local long form: Hayastani Hanrapetut'yun |
| Government type: | republic |
| Capital: | Yerevan |
| Administrative divisions: | 11 provinces (marzer, singular - marz); Aragatsotn, Ararat, Armavir, Geghark'unik', Kotayk', Lorri, Shirak, Syunik', Tavush, Vayots' Dzor, Yerevan |
| Independence: | 21 September 1991 (from Soviet Union) |
| National holiday: | Independence Day, 21 September (1991) |
| Constitution: | adopted by nationwide referendum 5 July 1995 |
| Legal system: | based on civil law system |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Robert KOCHARIAN (since 30 March 1998) |
| Executive branch: | head of government: Prime Minister Andranik MARKARYAN (since 12 May 2000) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 19 February and 5 March 2003); prime minister appointed by the president; the prime minister and Council of Ministers must resign if the National Assembly refuses to accept their program |
| Executive branch: | election results: Robert KOCHARIAN reelected president; percent of vote - Robert KOCHARIAN 67.5%, Stepan DEMIRCHYAN 32.5% |
| Legislative branch: | unicameral National Assembly (Parliament) or Azgayin Zhoghov (131 seats; members elected by popular vote to serve four-year terms; 75 members selected by direct vote, 56 by party list) |
| Legislative branch: | elections: last held 30 May 1999 (next to be held in the spring of 2003) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - Unity Bloc 61 (Republican Party 41, People's Party of Armenia 20), Stability Group (independent Armenian deputies who have formed a bloc) 21, ACP (Communists) 10, ARF (Dashnak) 8, Law and Unity Party 7, NDU 6, Law-Governed Party 6, independents 11, ANM 1; note - seats by party change frequently as deputies switch parties or announce themselves independent |
| Legislative branch: | note: electoral law was changed in 2002 so ratio in next elections will be 75 deputies elected by party list, 56 by direct election |
| Judicial branch: | Constitutional Court; Court of Cassation (Appeals Court) |
| Political parties and leaders: | Armenian National Movement or ANM [Ararat ZURABIAN, chairman]; Agro-Technical People's Group (formerly Stability Group) (parliamentary bloc); Armenian Communist Party or ACP [Vladimir DARBINYAN, First Secretary]; Armenia Democratic Party [Aram SARGSIAN]; Armenian Revolutionary Federation ("Dashnak" Party) or ARF [Armen RUSTAMIAN and Aghvan VARTANYAN]; Christian Democratic Union or CDU [Khosrev HARUTYUNIAN]; Constitutional Rights Union [Hrant KHACHATRYAN]; Democratic Liberal Party/Ramkvar Azatakyan or DL/RA [Ruben MIRZAKHANIAN]; Law-Governed Party [Artur BAGDASARIAN, chairman]; National Accord Front [Ashot MANUTCHARIAN]; National Accord Party [Artashes GEGAMIAN, chairman]; National Democratic Alliance [Arshak ZADOYAN]; National Democratic Party [Shavarsh KOCHARIAN]; National Democratic Union or NDU [Vazgen MANUKIAN]; People's Democratic Party [Gagik ASLANYAN]; People's Deputies Group [Hovhannes HOVHANISSIAN] (parliamentary bloc); People's Party of Armenia [Stepan DEMIRCHYAN]; Republic Party [Albert BAZEYAN, chairman]; Republican Party or RPA [Andranik MARKARYAN]; Shamiram Women's Movement or SWM [Shogher MATEVOSIAN]; Social Democratic (Hunchak) Party [George HAKOPIAN]; Social Democratic Union (formerly National Self-Determination Union) [Paruyr HAYRIKIAN]; Unity Bloc [Stepan DEMIRCHIAN and Andranik MARKARYAN] (a coalition of the Republican Party and People's Party of Armenia) |
| Political pressure groups and leaders: | Yerkrapah Union [Manvel GRIGORIAN] |
| International organization participation: | BSEC, CCC, CE, CIS, COE, EAPC, EBRD, ECE, ESCAP, FAO, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, ISO, ITU, NAM (observer), OAS (observer), OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Arman KIRAKOSIAN |
| Diplomatic representation in the US: | chancery: 2225 R Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles |
| Diplomatic representation in the US: | FAX: [1] (202) 319-2982 |
| Diplomatic representation in the US: | telephone: [1] (202) 319-1976 |
| Diplomatic representation from the US: | chief of mission: Ambassador John M. ORDWAY |
| Diplomatic representation from the US: | embassy: 18 Baghramyan Ave., Yerevan 375019 |
| Diplomatic representation from the US: | mailing address: American Embassy Yerevan, Department of State, Washington, DC 20521-7020 |
| Diplomatic representation from the US: | telephone: [374](1) 521-611, 520-791, 542-177, 542-132, 524-661, 527-001, 524-840 |
| Diplomatic representation from the US: | FAX: [374](1) 520-800 |
| Flag description: | three equal horizontal bands of red (top), blue, and orange |
