| Government | Mayotte |
| --- | --- |
| Country name: | conventional long form: Territorial Collectivity of Mayotte |
| Country name: | conventional short form: Mayotte |
| Dependency status: | territorial collectivity of France |
| Government type: | NA |
| Capital: | Mamoutzou |
| Administrative divisions: | none (territorial collectivity of France) |
| Independence: | none (territorial collectivity of France) |
| National holiday: | Bastille Day, 14 July (1789) |
| Constitution: | 4 October 1958 (French Constitution) |
| Legal system: | French law |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Jacques CHIRAC of France (since 17 May 1995), represented by Prefect Jean-Paul KIHL (since 17 January 2005) |
| Executive branch: | head of government: President of the General Council Said Omar OILI (since NA 2004) |
| Executive branch: | cabinet: NA |
| Executive branch: | elections: French president elected by popular vote for a five-year term; prefect appointed by the French president on the advice of the French Ministry of the Interior; president of the General Council elected by the members of the General Council for a six-year term |
| Legislative branch: | unicameral General Council or Conseil General (19 seats; members are elected by popular vote to serve three-year terms) |
| Legislative branch: | elections: last held 21 and 28 March 2004 (next to be held NA 2007) |
| Legislative branch: | election results: percent of vote by party - MDM 23.3%, UMP 22.8%, PS 10.2%, MRC 8.9%, FRAP 6.5%, MPM 1.2%; seats by party - MDM 6, UMP 9, MRC 2, MPM 1, diverse left 1 |
| Legislative branch: | note: Mayotte elects one member of the French Senate; elections last held 24 September 2001 (next to be held September 2007); results - percent of vote by party - NA%; seats by party - NA; Mayotte also elects one member to the French National Assembly; elections last held 16 June 2002 (next to be held as a special election in June 2005); results - percent of vote by party - UMP-RPR 55.08%, UDF 44.92%; seats by party - UMP-RPR 1 |
| Judicial branch: | Supreme Court or Tribunal Superieur d'Appel |
| Political parties and leaders: | Democratic Front or FD [Youssouf MOUSSA]; Mahoran Popular Movement or MPM [Ahmed MADI]; FARC [leader NA]; Federation of Mahorans or RPR (UMP) [Mansour KAMARDINE]; Movement for Department Status Mayotte or MDM [Mouhoutar SALIM]; Renewed Communist Party of Mayotte or MRC [Omar SIMBA]; Socialist Party or PS (local branch of French Parti Socialiste) [Ibrahim ABUBACAR]; Union for French Democracy or UDF [Henri JEAN-BAPTISTE] |
| Political pressure groups and leaders: | NA |
| International organization participation: | UPU |
| Diplomatic representation in the US: | none (territorial collectivity of France) |
| Diplomatic representation from the US: | none (territorial collectivity of France) |
| Flag description: | the flag of France is used |
