| Government | San Marino |
| --- | --- |
| Country name: | conventional long form: Republic of San Marino |
| Country name: | conventional short form: San Marino |
| Country name: | local long form: Repubblica di San Marino |
| Country name: | local short form: San Marino |
| Government type: | republic |
| Capital: | name: San Marino |
| Capital: | geographic coordinates: 43 56 N, 12 25 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 9 municipalities (castelli, singular - castello); Acquaviva, Borgo Maggiore, Chiesanuova, Domagnano, Faetano, Fiorentino, Montegiardino, San Marino Citta, Serravalle |
| Independence: | 3 September 301 |
| National holiday: | Founding of the Republic, 3 September (A.D. 301) |
| Constitution: | consists of several legislative instruments, chief among them the Statutes (Leges Statuti) of 1600 and the Declaration of Citizen Rights of 1974; latter document amended 2000, 2002 (2013) |
| Legal system: | civil law system with Italian civil law influences |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Co-chiefs of State Captain Regent Valeria CIAVATTA and Captain Regent Luca BECCARI (for the period 1 April-1 October 2014) |
| Executive branch: | head of government: Secretary of State for Foreign and Political Affairs Pasquale VALENTINI (since 5 December 2012) |
| Executive branch: | cabinet: Congress of State elected by the Great and General Council for a five-year term |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: co-chiefs of state (captains regent) elected by the Grand and General Council for a six-month term; election last held in March 2014 (next to be held in Septermber 2014); secretary of state for foreign and political affairs elected by the Grand and General Council for a five-year term; election last held on 11 November 2012 (next to be held by November 2017) |
| Executive branch: | election results: Anna Maria MUCCIOLI and Gian Carlo CAPICCHIONI elected captains regent; percent of legislative vote - NA; Pasquale VALENTINI elected secretary of state for foreign and political affairs; percent of legislative vote - NA |
| Executive branch: | note: the popularly elected parliament (Grand and General Council) selects two of its members to serve as the captains regent (co-chiefs of state) for a six-month period; they preside over meetings of the Grand and General Council and its cabinet (Congress of State), which has nine other members, all are selected by the Grand and General Council; assisting the captains regent are nine secretaries of state; the secretary of state for Foreign Affairs has some prime ministerial roles |
| Legislative branch: | unicameral Grand and General Council or Consiglio Grande e Generale (60 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 11 November 2012 (next to be held by November 2017) |
| Legislative branch: | election results: percent of vote by party - San Marino Common Good coalition (San Marino Bene Comune) 50.7% (PDCS 29.5%, PSD 14.3%, AP 6.7%), Entente for the Country coalition (Intesa per Il Paese) 22.3% (PS 12.1%, UPR 8.4%, USDM 1.7%), Active Citizenry coalition (Cittadinanza Attiva) 16.1% (SU 9.1%, Civic 10 6.7%), Civic Movement R.E.T.E. 6.3%, For San Marino 2.8%, San Marino 3.0 1.8%; seats by party - San Marino Common Good coalition 35 (PDCS 21, PSD 10, AP 4), Entente for the Country coalition 12 (PS 7, UPR 5), Active Citizenry 9 (SU 5, Civic 10 4), Civic Movement R.E.T.E. 4 |
| Judicial branch: | highest court(s): Council of Twelve or Consiglio dei XII (consists of 12 members) |
| Judicial branch: | note - the College of Guarantors for the Constitutionality and General Norms functions as San Marino's constitutional court |
| Judicial branch: | judge selection and term of office: judges elected by the Grand and General Council  from among its own to serve 5-year terms |
| Judicial branch: | subordinate courts: first instance and first appeal criminal, administrative, and civil courts; justices of the peace or conciliatory judges |
| Political parties and leaders: | San Marino Common Good: |
| Political parties and leaders: | Christian Democrats or PDCS [Marco GATTI] |
| Political parties and leaders: | Party of Socialists and Democrats or PSD [Gerardo GIOVAGNOLI] |
| Political parties and leaders: | Popular Alliance or AP [Stefano PALMIERI] |
| Entente for the Country: | Socialist Party or PS [Augusto CASALI] |
| Entente for the Country: | Union for the Republic or UPR [Giovanni LONFERNINI] |
| Entente for the Country: | Sammarinese Union of Moderates or USDM [Romeo MORRI and Glauco SANSOVINI] |
| Active Citizenship: | United Left or SU [Alessandro ROSSI] |
| Active Citizenship: | Civic 10 [Mateo CIACCI] |
| other: | Civic Movement R.E.T.E. (Network) [Gloria ARCANGELONI] |
| other: | For San Marino [Emilio DELLA BALDA] |
| other: | San Marino 3.0 [Simone DELLA VALLE] |
| Political pressure groups and leaders: | NA |
| International organization participation: | CE, FAO, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM (observer), IPU, ITU, ITUC (NGOs), LAIA (observer), OPCW, OSCE, Schengen Convention (de facto member), UN, UNCTAD, UNESCO, Union Latina, UNWTO, UPU, WHO, WIPO |
| Diplomatic representation in the US: | chief of mission: Ambassador Paolo RONDELLI (since 16 July 2007) |
| Diplomatic representation in the US: | chancery: 1711 N Street NW, 2nd floor, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: 202-223-2418 |
| Diplomatic representation in the US: | FAX: 202-223-2748 |
| Diplomatic representation from the US: | the US does not have an embassy in San Marino; the ambassador to Italy is accredited to San Marino |
| Flag description: | two equal horizontal bands of white (top) and light blue with the national coat of arms superimposed in the center; the main colors derive from the shield of the coat of arms, which features three white towers on three peaks on a blue field; the towers represent three castles built on San Marino's highest feature, Mount Titano: Guaita, Cesta, and Montale; the coat of arms is flanked by a wreath, below a crown and above a scroll bearing the word LIBERTAS (Liberty); the white and blue colors are also said to stand for peace and liberty respectively |
| National symbol(s): | three peaks each displaying a tower |
| National anthem: | name: "Inno Nazionale della Repubblica" (National Anthem of the Republic) |
| National anthem: | lyrics/music: none/Federico CONSOLO |
