| Government | IRELAND |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Ireland |
| Country name: | local long form: none |
| Country name: | local short form: Eire |
| Government type: | republic, parliamentary democracy |
| Capital: | name: Dublin |
| Capital: | geographic coordinates: 53 19 N, 6 14 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 28 counties and 3 cities*; Carlow, Cavan, Clare, Cork, Cork*, Donegal, Dublin*, Dun Laoghaire-Rathdown, Fingal, Galway, Galway*, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo , Meath, Monaghan, Offaly, Roscommon, Sligo, South Dublin, Tipperary, Waterford, Westmeath, Wexford, Wicklow |
| Independence: | 6 December 1921 (from the UK by treaty) |
| National holiday: | Saint Patrick's Day, 17 March |
| Constitution: | previous 1922; latest drafted 14 June 1937, adopted by plebiscite 1 July 1937, effective 29 December 1937; amended many times, last in 2015 (2015) |
| Legal system: | common law system based on the English model but substantially modified by customary law; judicial review of legislative acts in Supreme Court |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | birthright citizenship: |
| Citizenship: | dual citizenship recognized: yes |
| residency requirement for naturalization: | Suffrage: |
| residency requirement for naturalization: | 18 years of age; universal |
| Executive branch: | chief of state: President Michael D. HIGGINS (since 11 November 2011) |
| Executive branch: | head of government: Taoiseach (Prime Minister) Enda KENNY (since 9 March 2011) |
| Executive branch: | cabinet: Cabinet nominated by the prime minister, appointed by the president, approved by the lower house of Parliament |
| Executive branch: | elections/appointments: president directly elected by majority popular vote for a 7-year term (eligible for a second term); election last held on 29 October 2011 (next to be held in October 2018); taoiseach (prime minister) nominated by the House of Representatives (Dail Eireann), appointed by the president |
| Executive branch: | election results: Michael D. HIGGINS elected president; percent of vote - Michael D. HIGGINS (Labor Party) 39.6%, Sean GALLAGHER (independent) 28.5%, Martin MCGUINNESS (Sinn Fein) 13.7%, Gay MITCHELL (Fine Gael) 6.4%, David NORRIS (independent) 6.2%, other 5.6% |
| Legislative branch: | description: bicameral Parliament or Oireachtas consists of the Senate or Seanad Eireann (60 seats; 43 members indirectly elected by panels of various vocational interests, 11 appointed by the prime minister, and 6 elected by graduates of the University of Dublin and the National University of Ireland; members serve 5-year terms) and the Parliament or Dail Eireann (166 seats; members directly elected in multi-seat constituencies by proportional representation vote; members serve 5-year terms) |
| Legislative branch: | elections: Senate - last held in 27 April 2011 (next to be held probably in 2016); House of Representatives - last held on 25 February 2011 (next to be held probably in 2016) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - Fine Gael 19, Fianna Fail 14, Labor Party 12, Sinn Fein 3, independent 12; House of Representatives - percent of vote by party - Fine Gael 36.1%, Labor Party 19.5%, Fianna Fail 17.5%, Sinn Fein 9.9%, United Left Alliance 2.6%, independent and other 14.4%; seats by party - Fine Gael 76, Labor Party 37, Fianna Fail 20, Sinn Fein 14, United Left Alliance 5, independent 14 |
| Judicial branch: | highest court(s): Supreme Court of Ireland (consists of the chief justice, 9 judges, 2 ex-officio members - the presidents of the High Court and Court of Appeal - and organized in 3-, 5-, or 7-judge panels, depending on the importance or complexity of an issue of law) |
| Judicial branch: | judge selection and term of office: judges nominated by the prime minister and Cabinet and appointed by the president; chief justice serves in the position for 7 years; judges can serve until age 70 |
| Judicial branch: | subordinate courts: High Court, Court of Appeal; circuit and district courts; criminal courts |
| Political parties and leaders: | Fianna Fail [Micheal MARTIN] |
| Political parties and leaders: | Fine Gael [Enda KENNY] |
| Political parties and leaders: | Green Party [Eamon RYAN] |
| Political parties and leaders: | Labor (Labour) Party [Joan BURTON] |
| Political parties and leaders: | Renua Ireland [Lucinda CREIGHTON] |
| Political parties and leaders: | Sinn Fein [Gerry ADAMS] |
| Political parties and leaders: | Socialist Party [collective leadership] |
| Political parties and leaders: | The Workers' Party [Michael DONNELLY] |
| Political pressure groups and leaders: | Continuity IRA (terrorist group) |
| Political pressure groups and leaders: | Families Acting for Innocent Relatives or FAIR [Brian MCCONNELL] (seek compensation for victims of violence); |
| Political pressure groups and leaders: | Iona Institute [David QUINN] (a conservative Catholic think tank) |
| Political pressure groups and leaders: | Irish Anti-War Movement [Richard BOYD BARRETT] (campaigns against wars around the world) |
| Political pressure groups and leaders: | Keep Ireland Open (environmental group) |
| Political pressure groups and leaders: | Oglaigh na hEireann (terrorist group) |
| Political pressure groups and leaders: | Midland Railway Action Group or MRAG [Willie ALLEN] (transportation promoters) |
| Political pressure groups and leaders: | New Irish Republican Army (terrorist group combining elements of the former Real IRA and Republican Action Against Drugs) |
| Political pressure groups and leaders: | Peace and Neutrality Alliance [Roger COLE] (campaigns to protect Irish neutrality) |
