| Government | Ireland |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Ireland |
| Government type: | republic |
| Capital: | Dublin |
| Administrative divisions: | 26 counties; Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow |
| Administrative divisions: | note: Cavan, Donegal, and Monaghan are part of Ulster Province |
| Independence: | 6 December 1921 (from UK by treaty) |
| National holiday: | Saint Patrick's Day, 17 March |
| Constitution: | 29 December 1937; adopted 1 July 1937 by plebiscite |
| Legal system: | based on English common law, substantially modified by indigenous concepts; judicial review of legislative acts in Supreme Court; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Mary MCALEESE (since 11 November 1997) |
| Executive branch: | head of government: Prime Minister Bertie AHERN (since 26 June 1997) |
| Executive branch: | cabinet: Cabinet appointed by the president with previous nomination by the prime minister and approval of the House of Representatives |
| Executive branch: | election results: Mary MCALEESE elected president; percent of vote - Mary MCALEESE 44.8%, Mary BANOTTI 29.6% |
| Executive branch: | note: government coalition - Fianna Fail and the Progressive Democrats |
| Executive branch: | elections: president elected by popular vote for a seven-year term; election last held 31 October 1997 (next scheduled for 22 October 2004); note - Mary MCALEESE appointed to a second term when no other candidate qualified for the 2004 presidential election; prime minister nominated by the House of Representatives and appointed by the president |
| Legislative branch: | bicameral Parliament or Oireachtas consists of the Senate or Seanad Eireann (60 seats - 49 elected by the universities and from candidates put forward by five vocational panels, 11 are nominated by the prime minister; members serve five-year terms) and the House of Representatives or Dail Eireann (166 seats; members are elected by popular vote on the basis of proportional representation to serve five-year terms) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - Fianna Fail 30, Fine Gael 15, Labor Party 5, Progressive Democrats 4, independents and others 6; House of Representatives - percent of vote by party - Fianna Fail 41.5%, Fine Gael 22.5%, Labor Party 10.8%, Sinn Fein 6.5%, Progressive Democrats 4.0%, Green Party 3.8%, others 10.9%; seats by party - Fianna Fail 81, Fine Gael 31, Labor Party 21, Progressive Democrats 8, Green Party 6, Sinn Fein 5, others 14 |
| Legislative branch: | elections: Senate - last held 16 and 17 July 2002 (next to be held by July 2007); House of Representatives - last held 17 May 2002 (next to be held by May 2007) |
| Judicial branch: | Supreme Court (judges appointed by the president on the advice of the prime minister and cabinet) |
| Political parties and leaders: | Fianna Fail [Bertie AHERN]; Fine Gael [Enda KENNY]; Green Party [Trevor SARGENT]; Labor Party [Pat RABITTE]; Progressive Democrats [Mary HARNEY]; Sinn Fein [Gerry ADAMS]; Socialist Party [Joe HIGGINS]; The Workers' Party [Sean GARLAND] |
| Political pressure groups and leaders: | NA |
| International organization participation: | Australia Group, BIS, CE, EAPC, EBRD, EIB, EMU, ESA, EU, FAO, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MIGA, MINURSO, MONUC, NAM (guest), NEA, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, PFP, UN, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNIFIL, UNMIK, UNMIL, UNOCI, UNTSO, UPU, WCO, WEU (observer), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Noel FAHEY |
| Diplomatic representation in the US: | chancery: 2234 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, New York, and San Francisco |
| Diplomatic representation in the US: | FAX: [1] (202) 232-5993 |
| Diplomatic representation in the US: | telephone: [1] (202) 462-3939 |
| Diplomatic representation from the US: | chief of mission: Ambassador James C. KENNY |
| Diplomatic representation from the US: | embassy: 42 Elgin Road, Ballsbridge, Dublin 4 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [353] (1) 668-8777 |
| Diplomatic representation from the US: | FAX: [353] (1) 668-9946 |
| Flag description: | three equal vertical bands of green (hoist side), white, and orange; similar to the flag of Cote d'Ivoire, which is shorter and has the colors reversed - orange (hoist side), white, and green; also similar to the flag of Italy, which is shorter and has colors of green (hoist side), white, and red |
