| Government | Ireland |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Ireland |
| Country name: | local long form: none |
| Country name: | local short form: Eire |
| Government type: | republic, parliamentary democracy |
| Capital: | name: Dublin |
| Capital: | geographic coordinates: 53 19 N, 6 14 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 26 counties; Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow |
| Independence: | 6 December 1921 (from UK by treaty) |
| National holiday: | Saint Patrick's Day, 17 March |
| Constitution: | adopted 1 July 1937 by plebiscite; effective 29 December 1937 |
| Legal system: | based on English common law, substantially modified by indigenous concepts; judicial review of legislative acts in Supreme Court; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Mary MCALEESE (since 11 November 1997) |
| Executive branch: | head of government: Prime Minister Brian COWEN (since 7 May 2008) |
| Executive branch: | cabinet: Cabinet appointed by the president with previous nomination by the prime minister and approval of the House of Representatives |
| Executive branch: | elections: president elected by popular vote for a seven-year term (eligible for a second term); election last held 31 October 1997 (next scheduled for October 2011); note - Mary MCALEESE appointed to a second term when no other candidate qualified for the 2004 presidential election; prime minister (taoiseach) nominated by the House of Representatives and appointed by the president |
| Executive branch: | election results: Mary MCALEESE elected president; percent of vote - Mary MCALEESE 44.8%, Mary BANOTTI 29.6% |
| Executive branch: | note: government coalition - Fianna Fail, the Green Party, the Progressive Democrats, and independent members of Parliament |
| Legislative branch: | bicameral Parliament or Oireachtas consists of the Senate or Seanad Eireann (60 seats; 49 members elected by the universities and from candidates put forward by five vocational panels, 11 are nominated by the prime minister; to serve five-year terms) and the House of Representatives or Dail Eireann (166 seats; members are elected by popular vote on the basis of proportional representation to serve five-year terms) |
| Legislative branch: | elections: Senate - last held in July 2007 (next to be held by July 2012); House of Representatives - last held 24 May 2007 (next to be held by May 2012) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - Fianna Fail 28, Fine Gael 14, Labor Party 6, Progressive Democrats 2, Green Party 2, Sein Fein 1, independents 7; House of Representatives - percent of vote by party - Fianna Fail 41.6%, Fine Gael 27.3%, Labor Party 10.1%, Sinn Fein 6.9%, Green Party 4.7%, Progressive Democrats 2.7%, other 6.7%; seats by party - Fianna Fail 78, Fine Gael 51, Labor Party 20, Sinn Fein 4, Green Party 6, Progressive Democrats 2, other 5 |
| Judicial branch: | Supreme Court (judges appointed by the president on the advice of the prime minister and cabinet) |
| Political parties and leaders: | Fianna Fail [Brian COWEN]; Fine Gael [Enda KENNY]; Green Party [John GORMLEY]; Labor Party [Eamon GILMORE]; Progressive Democrats [Mary HARNEY, acting leader]; Sinn Fein [Gerry ADAMS]; Socialist Party [Joe HIGGINS]; The Workers' Party [Sean GARLAND] |
| Political pressure groups and leaders: | Families Acting for Innocent Relatives or FAIR [Brian McCONNELL] (seek compensation for victims of violence); Families Against Intimidation and Terror or FAIT (oppose terrorism); Gaeltacht Civil Rights Campaign (Coiste Cearta Sibhialta na Gaeilge) or CCSG (encourages the use of the Irish language and campaigns for greater civil rights in Irish speaking areas); Irish Republican Army or IRA (terrorist group); Keep Ireland Open (environmental group); Midland Railway Action Group or MRAG [Willie ALLEN] (transportation promoters); Rail Users Ireland (formerly the Platform 11 - transportation promoters); 32 Country Sovereignty Movement or 32CSM (supports a fully sovereign Ireland); Ulster Defence Association or UDA (terrorist group) |
| International organization participation: | ADB (nonregional members), Australia Group, BIS, CE, EAPC, EBRD, EIB, EMU, ESA, EU, FAO, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINURSO, MONUC, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, PFP, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNMIL, UNOCI, UNTSO, UPU, WCO, WEU (observer), WFTU, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Michael COLLINS |
| Diplomatic representation in the US: | chancery: 2234 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 462-3939 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-5993 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Thomas C. FOLEY |
| Diplomatic representation from the US: | embassy: 42 Elgin Road, Ballsbridge, Dublin 4 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [353] (1) 668-8777 |
| Diplomatic representation from the US: | FAX: [353] (1) 668-9946 |
| Flag description: | three equal vertical bands of green (hoist side), white, and orange; similar to the flag of Cote d'Ivoire, which is shorter and has the colors reversed - orange (hoist side), white, and green; also similar to the flag of Italy, which is shorter and has colors of green (hoist side), white, and red |
