| Government | Afghanistan |
| --- | --- |
| Country name: | conventional long form: Islamic Republic of Afghanistan |
| Country name: | conventional short form: Afghanistan |
| Country name: | local long form: Jomhuri-ye Eslami-ye Afghanestan |
| Country name: | local short form: Afghanestan |
| Country name: | former: Republic of Afghanistan |
| Government type: | Islamic republic |
| Capital: | name: Kabul |
| Capital: | geographic coordinates: 34 31 N, 69 11 E |
| Capital: | time difference: UTC+4.5 (9.5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 34 provinces (velayat, singular - velayat); Badakhshan, Badghis, Baghlan, Balkh, Bamian, Daykondi, Farah, Faryab, Ghazni, Ghowr, Helmand, Herat, Jowzjan, Kabol, Kandahar, Kapisa, Khowst, Konar, Kondoz, Laghman, Lowgar, Nangarhar, Nimruz, Nurestan, Oruzgan, Paktia, Paktika, Panjshir, Parvan, Samangan, Sar-e Pol, Takhar, Vardak, Zabol |
| Independence: | 19 August 1919 (from UK control over Afghan foreign affairs) |
| National holiday: | Independence Day, 19 August (1919) |
| Constitution: | new constitution drafted 14 December 2003-4 January 2004; signed 16 January 2004 |
| Legal system: | based on mixed civil and Shari'a law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President of the Islamic Republic of Afghanistan Hamid KARZAI (since 7 December 2004); Vice Presidents Ahmad Zia MASOOD and Abdul Karim KHALILI (since 7 December 2004); note - the president is both the chief of state and head of government; former King ZAHIR Shah holds the honorific, "Father of the Country," and presides symbolically over certain occasions but lacks any governing authority; the honorific is not hereditary |
| Executive branch: | head of government: President of the Islamic Republic of Afghanistan Hamid KARZAI (since 7 December 2004); Vice Presidents Ahmad Zia MASOOD and Abdul Karim KHALILI (since 7 December 2004) |
| Executive branch: | cabinet: 25 ministers; note - under the new constitution, ministers are appointed by the president and approved by the National Assembly |
