| Government | Micronesia, Federated States of |
| --- | --- |
| Country name: | conventional long form: Federated States of Micronesia |
| Country name: | conventional short form: none |
| Country name: | local long form: Federated States of Micronesia |
| Country name: | local short form: none |
| Country name: | former: Trust Territory of the Pacific Islands, Ponape, Truk, and Yap Districts |
| Country name: | abbreviation: FSM |
| Government type: | constitutional government in free association with the US; the Compact of Free Association entered into force on 3 November 1986 and the Amended Compact entered into force in May 2004 |
| Capital: | name: Palikir |
| Capital: | geographic coordinates: 6 55 N, 158 09 E |
| Capital: | time difference: UTC+11 (16 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 4 states; Chuuk (Truk), Kosrae (Kosaie), Pohnpei (Ponape), Yap |
| Independence: | 3 November 1986 (from the US-administered UN trusteeship) |
| National holiday: | Constitution Day, 10 May (1979) |
| Constitution: | 10 May 1979 |
| Legal system: | mixed legal system of common and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Emanuel MORI (since 11 May 2007); Vice President Alik L. ALIK (since 11 May 2007); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Emanuel MORI (since 11 May 2007); Vice President Alik L. ALIK (since 11 May 2007) |
| Executive branch: | cabinet: Cabinet includes the vice president and the heads of the 8 executive departments |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president and vice president elected by Congress from among the four senators at large for a four-year term (eligible for a second term); election last held on 11 May 2011 (next to be held in May 2015); note - a proposed constitutional amendment to establish popular elections for president and vice president failed |
| Executive branch: | election results: Emanuel MORI reelected president by Congress unopposed; Alik L. ALIK reelected vice president |
| Legislative branch: | unicameral Congress (14 seats; 4 - one elected from each state to serve four-year terms and 10 - elected from single-member districts delineated by population to serve two-year terms; members elected by popular vote) |
| Legislative branch: | elections: last held on 8 March 2011 (next to be held in March 2013) |
| Legislative branch: | election results: percent of vote - NA%; seats - independents 14 |
| Judicial branch: | Supreme Court |
| Political parties and leaders: | no formal parties |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, ADB, AOSIS, FAO, G-77, IBRD, ICAO, ICRM, IDA, IFC, IFRCS, IMF, IOC, IPU, ITSO, ITU, MIGA, OPCW, PIF, Sparteca, SPC, UN, UNCTAD, UNESCO, WHO, WMO |
| Diplomatic representation in the US: | chief of mission: Ambassador Yosiwo GEORGE |
| Diplomatic representation in the US: | chancery: 1725 N Street NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 223-4383 |
| Diplomatic representation in the US: | FAX: [1] (202) 223-4391 |
| Diplomatic representation in the US: | consulate(s) general: Honolulu, Tamuning (Guam) |
| Diplomatic representation from the US: | chief of mission: Ambassador Peter A. PRAHAR |
| Diplomatic representation from the US: | embassy: 101 Upper Pics Road, Kolonia |
| Diplomatic representation from the US: | mailing address: P. O. Box 1286, Kolonia, Pohnpei, 96941 |
| Diplomatic representation from the US: | telephone: [691] 320-2187 |
| Diplomatic representation from the US: | FAX: [691] 320-2186 |
| Flag description: | light blue with four white five-pointed stars centered; the stars are arranged in a diamond pattern; blue symbolizes the Pacific Ocean, the stars represent the four island groups of Chuuk, Kosrae, Pohnpei, and Yap |
| National anthem: | name: "Patriots of Micronesia" |
| National anthem: | lyrics/music: unknown |
| National anthem: | note: adopted 1991; the anthem is also known as "Across All Micronesia;" the music is based on the 1820 German patriotic song "Ich hab mich ergeben," which was the West German national anthem from 1949-1950; variants of this tune are used in Johannes Brahms' "Festival Overture" and Gustav Mahler's "Third Symphony" |
