| Government | Micronesia, Federated States of |
| --- | --- |
| Country name: | conventional long form: Federated States of Micronesia |
| Country name: | conventional short form: none |
| Country name: | abbreviation: FSM |
| Country name: | former: Ponape, Truk, and Yap Districts (Trust Territory of the Pacific Islands) |
| Government type: | constitutional government in free association with the US; the Compact of Free Association entered into force 3 November 1986 and the Amended Compact entered into force May 2004 |
| Capital: | Palikir |
| Administrative divisions: | 4 states; Chuuk (Truk), Kosrae (Kosaie), Pohnpei (Ponape), Yap |
| Independence: | 3 November 1986 (from the US-administered UN Trusteeship) |
| National holiday: | Constitution Day, 10 May (1979) |
| Constitution: | 10 May 1979 |
| Legal system: | based on adapted Trust Territory laws, acts of the legislature, municipal, common, and customary laws |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Joseph J. URUSEMAL (since 11 May 2003); Vice President Redley KILLION (11 May 2003); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Joseph J. URUSEMAL (since 11 May 2003); Vice President Redley KILLION (11 May 2003); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Cabinet |
| Executive branch: | elections: president and vice president elected by Congress from among the four senators at large for four-year terms; election last held 11 May 2003 (next to be held NA May 2007); note - a proposed constitutional amendment to establish popular elections for president and vice president failed |
| Executive branch: | election results: Joseph J. URUSEMAL elected president; percent of Congress vote - NA; Redley KILLION elected vice president; percent of Congress vote - NA |
| Legislative branch: | unicameral Congress (14 seats; four - one elected from each state to serve four-year terms and 10 - elected from single-member districts delineated by population to serve two-year terms; members elected by popular vote) |
| Legislative branch: | elections: elections for four-year term seats last held 4 March 2003 (next to be held NA March 2007); elections for two-year term seats last held 4 March 2003 (next to be held NA March 2005) |
| Legislative branch: | election results: percent of vote - NA; seats - independents 14 |
| Judicial branch: | Supreme Court |
| Political parties and leaders: | no formal parties |
| International organization participation: | ACP, AsDB, FAO, G-77, IBRD, ICAO, IDA, IFC, IFRCS, IMF, IOC, ITU, MIGA, OPCW, PIF, Sparteca, UN, UNCTAD, UNESCO, WHO, WMO |
| Diplomatic representation in the US: | chief of mission: Ambassador Jesse Bibiano MAREHALAU |
| Diplomatic representation in the US: | telephone: [1] (202) 223-4383 |
| Diplomatic representation in the US: | consulate(s) general: Honolulu and Tamuning (Guam) |
| Diplomatic representation in the US: | FAX: [1] (202) 223-4391 |
| Diplomatic representation in the US: | chancery: 1725 N Street NW, Washington, DC 20036 |
| Diplomatic representation from the US: | chief of mission: Ambassador Suzanne K. HALE |
| Diplomatic representation from the US: | embassy: 101 Upper Pics Road, Kolonia |
| Diplomatic representation from the US: | mailing address: P. O. Box 1286, Kolonia, Pohnpei, Federated States of Micronesia 96941 |
| Diplomatic representation from the US: | telephone: [691] 320-2187 |
| Diplomatic representation from the US: | FAX: [691] 320-2186 |
| Flag description: | light blue with four white five-pointed stars centered; the stars are arranged in a diamond pattern |
