| Government | South Africa |
| --- | --- |
| Country name: | conventional long form: Republic of South Africa |
| Country name: | conventional short form: South Africa |
| Country name: | former: Union of South Africa |
| Country name: | abbreviation: RSA |
| Country name: | etymology: self-descriptive name from the country's location on the continent; "Africa" is derived from the Roman designation of the area corresponding to present-day Tunisia "Africa terra," which meant "Land of the Afri" (the tribe resident in that area), but which eventually came to mean the entire continent |
| Government type: | parliamentary republic |
| Capital: | name: Pretoria (administrative capital); Cape Town (legislative capital); Bloemfontein (judicial capital) |
| Capital: | geographic coordinates: 25 42 S, 28 13 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: Pretoria is named in honor of Andries PRETORIUS, the father of voortrekker (pioneer) leader Marthinus PRETORIUS; Cape Town reflects its location on the Cape of Good Hope; Bloemfontein is a combination of the Dutch words "bloem" (flower) and "fontein" (fountain) meaning "fountain of flowers" |
| Administrative divisions: | 9 provinces; Eastern Cape, Free State, Gauteng, KwaZulu-Natal, Limpopo, Mpumalanga, Northern Cape, North West, Western Cape |
| Independence: | 31 May 1910 (Union of South Africa formed from four British colonies: Cape Colony, Natal, Transvaal, and Orange Free State); 22 August 1934 (Status of the Union Act); 31 May 1961 (republic declared); 27 April 1994 (majority rule) |
| National holiday: | Freedom Day, 27 April (1994) |
| Constitution: | history: several previous; latest drafted 8 May 1996, approved by the Constitutional Court 4 December 1996, effective 4 February 1997 |
| Constitution: | amendments: proposed by the National Assembly of Parliament; passage of amendments affecting constitutional sections on human rights and freedoms, non-racism and non-sexism, supremacy of the constitution, suffrage, the multi-party system of democratic government, and amendment procedures requires at least 75% majority vote of the Assembly, approval by at least six of the nine provinces represented in the National Council of Provinces, and assent of the president of the republic; passage of amendments affecting the Bill of Rights, and those related to provincial boundaries, powers, and authorities requires at least two-thirds majority vote of the Assembly, approval by at least six of the nine provinces represented in the National Council, and assent of the president; amended many times, last in 2013 |
| Legal system: | mixed legal system of Roman-Dutch civil law, English common law, and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of South Africa |
| Citizenship: | dual citizenship recognized: yes, but requires prior permission of the government |
| Citizenship: | residency requirement for naturalization: 1 year |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Matamela Cyril RAMAPHOSA (since 15 February 2018); Deputy President David MABUZA (26 February 2018); note - the president is both chief of state and head of government; Jacob ZUMA resigned the presidency on 14 February 2018Â  |
| Executive branch: | head of government: President Matamela Cyril RAMAPHOSA (since 15 February 2018); deputy president David MABUZA (26 February 2018 |
| Executive branch: | cabinet: Â Cabinet appointed by the president |
| Executive branch: | elections/appointments: president indirectly elected by the National Assembly for a 5-year term (eligible for a second term); election last held on 22 May 2019 (next to be held in May 2024) |
| Executive branch: | election results: Matamela Cyril RAMAPHOSA (ANC) elected president by the National Assembly unopposed |
| Legislative branch: | description: bicameral Parliament consists of: |
| Legislative branch: | National Council of Provinces (90 seats; 10-member delegations appointed by each of the 9 provincial legislatures to serve 5-year terms; note - the Council has special powers to protect regional interests, including safeguarding cultural and linguistic traditions among ethnic minorities) |
| Legislative branch: | National Assembly (400 seats; members directly elected in multi-seat constituencies by proportional representation vote to serve 5-year terms) |
| Legislative branch: | elections: National Council of Provinces and National Assembly - last held on 8 May 2019 (next to be held in 2024) |
| Legislative branch: | election results: National Council of Provinces - percent of vote by party - NA; seats by party - ANC 29, DA 13, EFF 9, FF+ 2, IFP 1; note - 36 appointed seats not filled |
| Legislative branch: | National Assembly - percent of vote by party - ANC 57.5%, DA 20.8%, EFF 10.8%, IFP 3.8%, FF+ 2.4%, other 4.7%; seats by party - ANC 230, DA 84, EFF 44, IFP 14, FF+ 10, other 18; composition - men 237, women 163, percent of women 40.8% |
| Judicial branch: | highest courts: Supreme Court of Appeals (consists of the court president, deputy president, and 21 judges); Constitutional Court (consists of the chief and deputy chief justices and 9 judges) |
